Date,Open,High,Low,Close,Volume
27-May-14,1391.5,1402,1391.5,1399.43,2455167
23-May-14,1402,1402,1378.5,1384.5,2699161
22-May-14,1395.5,1401.5,1384.5,1399.4,3229383
21-May-14,1400.5,1405.5,1395,1402.5,3006031
20-May-14,1398.5,1409.5,1388.16,1394.93,2792835
19-May-14,1408.5,1422.5,1388.5,1394.93,3552827
16-May-14,1390.5,1403,1390.5,1398.09,3264248
15-May-14,1412,1415,1383.5,1390.5,2759382
14-May-14,1409.5,1414,1396.86,1409.93,2245617
13-May-14,1398.5,1413,1391.39,1412,2708281
12-May-14,1372,1391.5,1361.5,1391.5,1855570
9-May-14,1387,1391,1359.5,1369,3198421
8-May-14,1377.5,1417.5,1364.5,1393,3655854
7-May-14,1363,1379,1361.5,1377.5,2825004
6-May-14,1375.5,1376.58,1362.5,1370.93,1830353
2-May-14,1377,1377,1362,1368.5,2420545
1-May-14,1360,1378,1359.5,1373,1300728
30-Apr-14,1352,1359.5,1341.5,1358.36,2376155
29-Apr-14,1338.5,1351.5,1331.38,1351.5,3222135
28-Apr-14,1344,1349,1327,1329.87,2241026
25-Apr-14,1341,1348,1334.5,1342.43,3152333
24-Apr-14,1337.5,1355.5,1331.36,1342.87,2466795
23-Apr-14,1338,1341,1329,1333.37,1607662
22-Apr-14,1330,1344.5,1322.5,1334.63,2724146
17-Apr-14,1299,1327.5,1293.5,1324,3250451
16-Apr-14,1285,1301.5,1281.5,1292,2508262
15-Apr-14,1295.5,1306,1272.5,1274,2564071
14-Apr-14,1297,1303,1277.16,1299.5,2461463
11-Apr-14,1304,1308.5,1288.5,1302.5,2986259
10-Apr-14,1321.5,1333.5,1310,1314.37,3626069
9-Apr-14,1305,1320.5,1298,1319,3568338
8-Apr-14,1313,1315,1281,1298.37,3911327
7-Apr-14,1332.5,1335,1314,1318.5,3167748
4-Apr-14,1320,1350.95,1317.5,1342,2995050
3-Apr-14,1328.5,1331.5,1312,1317.5,4555789
2-Apr-14,1324,1329,1312.5,1324,3892518
1-Apr-14,1276,1317,1268.5,1315.75,5170435
31-Mar-14,1288,1301.94,1265.31,1268.44,4344367
28-Mar-14,1305,1307.9,1223,1280.5,11523640
27-Mar-14,1307.5,1341.34,1304,1314.93,2896756
26-Mar-14,1311.5,1348.34,1311.5,1313.87,3801496
25-Mar-14,1321,1335.5,1318,1331.5,3618894
24-Mar-14,1342.5,1347.5,1315.5,1317.5,3286842
21-Mar-14,1355,1356,1328.31,1338,6398532
20-Mar-14,1336.5,1356,1327.5,1349,5418946
19-Mar-14,1375.5,1375.5,1324,1339.37,8533033
18-Mar-14,1349.5,1376,1340.5,1368.5,4809410
17-Mar-14,1350,1370,1342,1356,4167403
14-Mar-14,1362,1382,1340,1346,6793767
13-Mar-14,1401,1402,1373,1374,4195854
12-Mar-14,1349,1440,1342,1398,6591963
11-Mar-14,1354,1369,1347,1361,3339249
10-Mar-14,1364,1375,1345,1358,3369550
7-Mar-14,1380,1391,1365,1365,4197445
