Date,Open,High,Low,Close,Volume
27-May-14,4509,4536,4414,4428,329412
23-May-14,4523,4543,4469,4505,157767
22-May-14,4475,4551,4475,4509.55,212334
21-May-14,4471,4486,4423,4455,174203
20-May-14,4533,4547,4463,4470,210163
19-May-14,4539,4580,4517,4530,231942
16-May-14,4544,4558,4484,4534,218321
15-May-14,4602,4639,4536,4550.23,246465
14-May-14,4532,4645,4486,4608.23,283789
13-May-14,4600,4630,4552,4591.23,253239
12-May-14,4539,4626,4510,4603.23,237237
9-May-14,4549,4585,4519,4539,289100
8-May-14,4610,4713,4493,4530,390512
7-May-14,4771,4771,4627,4703,428873
6-May-14,4765,4794,4747,4772.24,346428
2-May-14,4685,4752,4657,4739,396020
1-May-14,4715,4717,4644,4678,165686
30-Apr-14,4802,4810,4709,4780,427559
29-Apr-14,4721,4748,4654,4742.47,327623
28-Apr-14,4680,4740,4669,4722.24,333737
25-Apr-14,4630,4712,4610,4676,257028
24-Apr-14,4670,4726,4634,4659,429052
23-Apr-14,4621,4705.34,4600,4700,306723
22-Apr-14,4684,4699,4598,4605,347230
17-Apr-14,4695,4729,4637,4718,299057
16-Apr-14,4745,4767,4674,4701,548291
15-Apr-14,4800,4834,4708,4727,928232
14-Apr-14,4685,4848,4685,4845.48,497374
11-Apr-14,4645,4716,4595,4675,419713
10-Apr-14,4700,4740,4675,4694,565538
9-Apr-14,4761,4791,4598,4627,522181
8-Apr-14,4700,4760,4675,4757,627959
7-Apr-14,4639,4699,4597,4675,329111
4-Apr-14,4582,4680,4582,4666,381952
3-Apr-14,4620,4657,4549,4582,412626
2-Apr-14,4515,4639,4515,4617,410267
1-Apr-14,4530,4538.73,4485,4508.37,324045
31-Mar-14,4549,4599,4482,4502,392389
28-Mar-14,4523,4583,4503,4534,393103
27-Mar-14,4563,4574,4476,4486,600313
26-Mar-14,4722,4747.38,4597,4608,417822
25-Mar-14,4643,4717,4637,4710,534357
24-Mar-14,4836,4836,4626,4627,565347
21-Mar-14,4830,4891.68,4825,4831.24,532136
20-Mar-14,4797,4848.25,4697.62,4831,575547
19-Mar-14,4883,4918,4772,4819.76,503335
18-Mar-14,4914,4923,4827,4884,552713
17-Mar-14,4989,5043.9,4965,4969,332155
14-Mar-14,4929,5060,4899,4996,478502
13-Mar-14,4944,4990,4893,4957,604497
12-Mar-14,4901,4985,4817,4927,630885
11-Mar-14,4898,4983,4847,4870,606570
10-Mar-14,4853,4921,4835,4896,525859
7-Mar-14,5050,5065,4832,4880,699706
6-Mar-14,5040,5110,5040,5065,315824
5-Mar-14,5000,5080,4935,5050,550573
4-Mar-14,4899,4932,4839,4881,756856
3-Mar-14,4865,4999,4842,4953,1021069
28-Feb-14,4810,4837,4726,4747,525681
27-Feb-14,4798,4878,4760,4866,557595
26-Feb-14,4890,4939,4794,4795,652853
25-Feb-14,4872,4887,4787,4871,693569
24-Feb-14,4814,4880,4780,4875,389722
21-Feb-14,4825,4895,4773,4833,517347
20-Feb-14,4753,4807,4714,4786,620874
19-Feb-14,4800,4885,4790,4838,399021
18-Feb-14,4840,4840,4760,4780,542990
17-Feb-14,4825,4938,4809,4857,272350
14-Feb-14,4707,4812,4693,4774,510761
13-Feb-14,4580,4692,4523,4687,658332
12-Feb-14,4692,4742,4599,4618,658435
11-Feb-14,4558,4708,4557,4705,799640
10-Feb-14,4463,4556,4456,4530,445783
7-Feb-14,4358,4448,4346,4424,410018
6-Feb-14,4419,4455,4300,4336,487331
5-Feb-14,4350,4437,4307,4406,532225
4-Feb-14,4383,4411,4293,4319,554775
3-Feb-14,4170,4476,4170,4455,808391
31-Jan-14,4128,4207,4126,4193,545742
30-Jan-14,4220,4235,4120,4142,411917
29-Jan-14,4158,4241,4121,4235,661661
28-Jan-14,4105,4137,4021,4105,593573
27-Jan-14,4233,4271,4142,4157,556804
24-Jan-14,4174,4329,4174,4285.09,1029722
23-Jan-14,4090,4228,4034,4188,644042
22-Jan-14,4128,4193,4077,4121,576993
21-Jan-14,4193,4225,4027,4112,678854
20-Jan-14,3935,4206,3921,4122.43,693109
17-Jan-14,3903,3959,3893,3955,508737
16-Jan-14,3818,3915,3807,3892,535388
