Date,Open,High,Low,Close,Volume
27-May-14,5040,5106.6,5000,5055.25,741148
23-May-14,5035,5090.71,4985,5000.25,632108
22-May-14,5050,5088.2,5025,5039.5,776864
21-May-14,5040,5080,5040,5070.25,538978
20-May-14,5115,5115,5060,5070.25,906540
19-May-14,5085,5120,5060,5099.49,804023
16-May-14,4960,5080,4949,5070.25,1465388
15-May-14,4941,4960,4892,4960,1078104
14-May-14,4897,4941,4874,4935,687880
13-May-14,4839,4888,4807,4888,769954
12-May-14,4839,4845,4794,4824.76,848687
9-May-14,4847,4854,4799,4826,729160
8-May-14,4860,4883,4807,4849,716804
7-May-14,4838,4894,4817,4846,1125325
6-May-14,4852,4860,4810,4834.76,809138
2-May-14,4863,4869,4810,4840,871536
1-May-14,4775,4896,4735,4883,848809
30-Apr-14,4820,4868,4763,4774.52,1327823
29-Apr-14,4846,4866,4822,4845,891786
28-Apr-14,4960,4971,4836,4844.52,1309504
25-Apr-14,4924,4977,4923.25,4957.75,656663
24-Apr-14,4976,4977,4929,4951,607793
23-Apr-14,4979,4994,4934,4956,696144
22-Apr-14,4925,4989,4925,4955.5,958427
17-Apr-14,4915,4925,4865,4915,805292
16-Apr-14,4930,4950,4856,4915,941862
15-Apr-14,4851,4911,4840,4851.51,1097380
14-Apr-14,4739,4914,4716,4833,1376642
11-Apr-14,4749,4805.66,4700,4734,1022085
10-Apr-14,4800,4820,4744,4778.52,681970
9-Apr-14,4762,4794,4747,4783,856201
8-Apr-14,4777,4798,4697,4745,1574570
7-Apr-14,4816,4845,4783,4795,508304
4-Apr-14,4835,4885.75,4813,4841,606666
3-Apr-14,4858,4864,4806,4818,896430
2-Apr-14,4875,4897,4813,4854.51,1113151
1-Apr-14,4897,4926,4852,4905.75,743058
31-Mar-14,4953,4965,4873,4886.76,862697
28-Mar-14,4883,4949,4878.16,4930,743059
27-Mar-14,4840,4865,4828,4854.76,605801
26-Mar-14,4872,4910.19,4850,4856.51,871016
25-Mar-14,4830,4878,4796,4875,788545
24-Mar-14,4842,4842,4805,4825,607610
21-Mar-14,4844,4860,4809,4828.24,1602681
20-Mar-14,4870,4884,4799.75,4846,787429
19-Mar-14,4824,4934,4816,4895,1192502
18-Mar-14,4796,4832,4778,4813,1422406
17-Mar-14,4854,4854,4810,4817,1011177
14-Mar-14,4842,4881,4829,4847,1271749
13-Mar-14,4894,4897,4844,4867,961179
12-Mar-14,4928,4933,4856,4877,761603
11-Mar-14,4863,4971,4845,4953,1181849
10-Mar-14,4809,4858,4782,4840.48,750876
7-Mar-14,4880,4898,4821,4826,851959
6-Mar-14,4921,4921,4855,4871,781831
5-Mar-14,4951,4961,4892,4896,715274
4-Mar-14,4917,4981,4915,4960,848593
3-Mar-14,4860,4937,4850,4875,987352
28-Feb-14,4971,4979,4904,4914,1255721
27-Feb-14,4984,5020,4926,4959,1151504
26-Feb-14,5050,5050,5005,5005,1091658
25-Feb-14,5030,5100,5000,5050,2168482
24-Feb-14,4975,5025,4950,5025,864943
21-Feb-14,4981,5015,4946,4980,1106331
20-Feb-14,4921,4983,4849,4975,1015388
19-Feb-14,4881,4958,4881,4950,1222093
18-Feb-14,4976,5000,4936,4985,1216827
17-Feb-14,4923,5015,4911,4961,1072485
14-Feb-14,4883,4935,4869,4922,814128
13-Feb-14,4865,4900,4826,4890,1002053
12-Feb-14,4800,4906,4799,4855,2097839
11-Feb-14,4750,4843,4748,4827,1306219
10-Feb-14,4784,4821,4769,4776,991186
7-Feb-14,4836,4844,4783,4783,1124366
6-Feb-14,4727,4850,4722,4812,1869520
5-Feb-14,4666,4675,4620,4657,763473
4-Feb-14,4676,4713,4619,4654,1490538
3-Feb-14,4575,4713,4575,4665,1673461
31-Jan-14,4559,4574,4454,4563,1165792
30-Jan-14,4562,4569,4470,4537,948177
29-Jan-14,4670,4693,4539,4578,1224730
28-Jan-14,4667,4689,4615,4637,739229
27-Jan-14,4702,4735,4638,4667,879416
24-Jan-14,4828,4872,4684,4693,1394446
23-Jan-14,4840,4891,4810,4838,1063585
22-Jan-14,4771,4829,4763,4825,952095
21-Jan-14,4681,4799,4681,4754,834317
20-Jan-14,4687,4707,4664,4683,357018
17-Jan-14,4661,4725,4656,4677,932227
16-Jan-14,4705,4705,4631,4648,989120
15-Jan-14,4739,4739,4683,4691,766054
14-Jan-14,4607,4726,4602,4715,743446
13-Jan-14,4677,4684,4600,4649,584142
10-Jan-14,4678,4734,4655,4678,733235
9-Jan-14,4674,4712,4633,4647,705002
8-Jan-14,4703,4705,4657,4683,619933
7-Jan-14,4748,4751,4640,4710,820802
6-Jan-14,4771,4796,4734,4755,728092
3-Jan-14,4717,4801,4717,4785,596789
2-Jan-14,4801,4812,4715,4717,601254
31-Dec-13,4768,4808,4747,4793,145906
30-Dec-13,4807,4815,4758,4787,352538
27-Dec-13,4809,4818,4769,4789,629083
24-Dec-13,4742,4840,4693,4802,170117
23-Dec-13,4677,4745,4677,4741,416994
20-Dec-13,4690,4719,4655,4668,1165142
19-Dec-13,4698,4749,4654,4665,955673
18-Dec-13,4591,4669,4585,4651,1174767
17-Dec-13,4604,4608,4559,4559,913409
16-Dec-13,4576,4641,4566,4624,861516
13-Dec-13,4601,4617,4531,4576,768045
12-Dec-13,4650,4654,4588,4602,1257875
11-Dec-13,4715,4732,4669,4669,848005
10-Dec-13,4778,4788,4714,4714,1068687
9-Dec-13,4782,4797,4751,4781,765548
6-Dec-13,4780,4802,4749,4772,1179947
5-Dec-13,4780,4850,4778,4835,980711
