Date,Open,High,Low,Close,Volume
27-May-14,934.5,942,932.78,934.45,2991147
23-May-14,925,936.82,923,932.5,3736427
22-May-14,915.5,927,913.5,924.5,2718038
21-May-14,914,919.5,912.5,914.5,2658501
20-May-14,909,917,907.28,914,3013239
19-May-14,890,908.5,889,907.5,2527812
16-May-14,878,891.5,877.5,889.5,3584363
15-May-14,889,892,875,878,2541597
14-May-14,885.5,890.5,884.5,889,2199617
13-May-14,885,888,881.5,888,2321275
12-May-14,880,887.5,877,880.5,2173763
9-May-14,871.5,882.5,866.5,879,1708447
8-May-14,873,879,869.5,872,1374678
7-May-14,867,879,867,872.54,2032083
6-May-14,854.5,876.5,854.5,869.04,2090143
2-May-14,884,888,868,876.5,3320950
1-May-14,868,884,868,884,1044266
30-Apr-14,866.5,890.95,851.52,872,4616353
29-Apr-14,881.5,888.5,879,883,2597860
28-Apr-14,885,890.5,878,879,2720041
25-Apr-14,874.5,887,874.5,886.04,2953414
24-Apr-14,877,880.59,869.5,880.59,2808702
23-Apr-14,880.5,895,872.5,874,3734532
22-Apr-14,886.5,890.5,884,885,2588580
17-Apr-14,871,885,869.5,884.5,3113257
16-Apr-14,869,872,866.5,869.5,2297408
15-Apr-14,871.5,878,864.98,866,2266477
14-Apr-14,878,878,866,873,2751556
11-Apr-14,885,889,870.13,881,2718511
10-Apr-14,895,899.56,882.5,891.5,2140573
9-Apr-14,887,894,883.6,892.96,2900072
8-Apr-14,913,914.5,889,892.41,3030061
7-Apr-14,918.5,922.5,912.5,914.5,2138910
4-Apr-14,922,926.5,920,924.5,1671743
3-Apr-14,927,927.5,918.5,919,1818204
2-Apr-14,922,929,922,926,1906566
1-Apr-14,917.5,921.5,917,921.45,1704462
31-Mar-14,917,923.5,915,915.95,2898243
28-Mar-14,920,924,913.5,914,2425395
27-Mar-14,924,929,918.45,918.45,2856404
26-Mar-14,919.5,932,917,929.91,2703587
25-Mar-14,909.5,926,909.5,920.5,3268046
24-Mar-14,912.5,918,905.5,911,2264038
21-Mar-14,916.5,919.5,911.5,915,4986561
20-Mar-14,914.5,918,908.5,916,3026023
19-Mar-14,923.5,924.5,914,918,2442663
18-Mar-14,915,926,911.5,924,2003551
17-Mar-14,904.5,919.5,900.5,917.5,2990838
14-Mar-14,915.5,917,910,913,2817876
13-Mar-14,934.5,936,921.5,921.5,2889830
12-Mar-14,925.5,937.5,921.5,935,3175056
11-Mar-14,921,933,917.5,929.5,3258541
10-Mar-14,927.5,933.5,919.5,921,3009225
7-Mar-14,926,937,926,928.5,2773386
6-Mar-14,920,929.5,919,925,2737079
5-Mar-14,920.5,925.5,916.5,920,3008911
4-Mar-14,901.5,921.5,901.5,921.5,3410531
3-Mar-14,900.5,908.5,893.5,897.5,3443637
28-Feb-14,910,923,905.5,915.5,3865624
27-Feb-14,905,929,901.5,923.5,3241515
26-Feb-14,923.5,925.5,902.5,909,2500054
25-Feb-14,925,928,918,923.5,3444188
24-Feb-14,911,922,910.5,922,1808240
21-Feb-14,917.5,921.5,910.5,911.5,3110554
20-Feb-14,917,919,909.5,913,2937596
19-Feb-14,922.5,926.5,919.5,921,1769753
18-Feb-14,918.5,924.5,916.5,924,2202109
17-Feb-14,908,916,908,915.5,2365899
14-Feb-14,915,918.5,907.5,909,2091846
13-Feb-14,907.5,917,907.5,916,2874314
12-Feb-14,906,909.5,904.5,908,2216587
11-Feb-14,889.5,906.5,889.5,906.5,3295672
10-Feb-14,889,890.5,884,886,1679146
7-Feb-14,888,895,883.5,887,2986141
6-Feb-14,884.5,887,877.5,886.5,2755105
5-Feb-14,883.5,890.5,876,878,2591608
4-Feb-14,889,892,878,883.5,2004107
3-Feb-14,882.5,896.5,882.5,889,1978322
31-Jan-14,889.5,894,875,887,2473446
30-Jan-14,894.5,897.5,888,890,2131550
29-Jan-14,896.5,902.5,885.5,896,3119059
28-Jan-14,891.5,895,889.5,892.5,2468139
27-Jan-14,898.5,903.5,889,893.5,2756147
24-Jan-14,917,923.5,900.5,904,2895734
23-Jan-14,925,930.5,912.5,916,2302364
22-Jan-14,933,938,925,926.5,1979975
21-Jan-14,924,934,921.5,931,1988651
20-Jan-14,925,929.5,919.5,924.5,1538710
17-Jan-14,927,932,920.5,925.5,3502317
16-Jan-14,927,931,925,926.5,2236879
15-Jan-14,922,928.5,921.5,927.5,2398972
14-Jan-14,906,920.5,904.5,918.5,2674208
13-Jan-14,907,910.5,902,907,2017299
10-Jan-14,904.5,914,903.5,907.5,1715347
9-Jan-14,901,912,899,903.5,2727146
8-Jan-14,897.5,906.5,893.5,903,2190595
7-Jan-14,900.5,906.5,899.5,901,1916771
6-Jan-14,897.5,907,896,903.5,1462205
3-Jan-14,900,906.5,892.5,899.5,1522096
2-Jan-14,896.5,903,892.5,902,2013030
31-Dec-13,891.5,899,891.5,899,368893
30-Dec-13,898,898.5,892.5,894,985723
27-Dec-13,899,902,894.5,896,1090550
24-Dec-13,882,899,882,894.5,444680
23-Dec-13,874,889,872,884.5,1663727
20-Dec-13,868.5,873.5,861,873.5,4794835
19-Dec-13,864,870.5,861,865.5,2384233
18-Dec-13,867,871.5,857.5,861,1881410
17-Dec-13,859,868.5,858,865.5,1996602
16-Dec-13,855,863,853,859,1666944
