Date,Open,High,Low,Close,Volume
27-May-14,597.9,599.1,594,594.6,955863
23-May-14,594.56,602.08,590.62,594.56,1264368
22-May-14,587.2,594,586.7,593.4,912980
21-May-14,581.62,589.5,581.62,586.65,1078655
20-May-14,578.25,583.88,574.88,581.59,1126571
19-May-14,579.94,588.38,573.75,575.97,1780020
16-May-14,576.56,579.94,568.69,577.65,1560293
15-May-14,576,581.1,570.4,577.7,1008828
14-May-14,576,578.53,568.69,575.44,942420
13-May-14,567.6,573.2,564.8,573.2,1015840
12-May-14,567,567,562.4,565.3,606039
9-May-14,559.4,566.4,557.3,565.3,710468
8-May-14,553.6,560.5,549.2,559,785756
7-May-14,545.4,553.72,543.09,551.14,890443
6-May-14,568.1,572.6,558.3,560.1,1474545
2-May-14,572.62,573.19,563.31,567,1036500
1-May-14,556.4,575.4,555.2,573.8,693991
30-Apr-14,561.6,563.6,554.5,558,1615168
29-Apr-14,557.66,564.34,557.21,563.06,1022750
28-Apr-14,564.2,565.3,557.2,557.8,1058836
25-Apr-14,563.6,569.8,562.5,565.3,689163
24-Apr-14,571.5,575.4,564.2,567,660337
23-Apr-14,571.5,572.1,563.6,568.1,916058
22-Apr-14,565.31,570.94,563.87,569.25,632461
17-Apr-14,559.2,566.9,555.6,564.8,1032076
16-Apr-14,551.8,559,549,557.8,1006839
15-Apr-14,555,555,543.6,548.8,1343994
14-Apr-14,559.8,560.12,548.66,555.19,1267405
11-Apr-14,565.3,565.3,555.8,562.5,788410
10-Apr-14,569.8,572.6,563.6,567.6,798696
9-Apr-14,558.4,570.9,556.2,567.6,1211570
8-Apr-14,558.79,560.38,550.58,556.09,996188
7-Apr-14,560.6,568.1,557.3,559.7,1004775
4-Apr-14,558,565.9,557.2,565.9,1030276
3-Apr-14,553.4,563.1,551.6,556.9,1257929
2-Apr-14,550.9,557.4,548.2,552.7,1069936
1-Apr-14,550.24,553.72,547.76,551.1,1285776
31-Mar-14,553.8,556.8,546.4,547.6,1130898
28-Mar-14,543.7,557.6,540.6,551.4,1505996
27-Mar-14,551.1,552.6,539.4,540.2,1393708
26-Mar-14,552.5,557.9,550.8,551.7,1314489
25-Mar-14,551.4,554.2,548,551.5,1429937
24-Mar-14,553.4,558.7,550.6,551,1344956
