Date,Open,High,Low,Close,Volume
27-May-14,3283.5,3285,3230,3235.84,3629747
23-May-14,3230,3263,3192.5,3257.5,2291918
22-May-14,3226.5,3256,3164.94,3230.32,2843520
21-May-14,3171,3203.5,3154.5,3189.5,3410483
20-May-14,3219,3242,3186.5,3203,3451283
19-May-14,3211,3246,3208,3225,3723708
16-May-14,3324.5,3345,3260.5,3286.66,4707856
15-May-14,3360,3410.5,3336.49,3369,3566860
14-May-14,3332.5,3390,3313,3374.17,3480383
13-May-14,3348,3372.5,3308,3330.5,3728102
12-May-14,3247,3364,3246.5,3340.17,6028295
9-May-14,3220,3255.5,3188.5,3189,3611933
8-May-14,3250,3258,3202,3205,3771508
7-May-14,3183,3250,3173.5,3247,3050221
6-May-14,3237.5,3241,3187.5,3215.16,2687616
2-May-14,3205,3248,3184,3247,2843147
1-May-14,3150,3217,3150,3200,1757283
30-Apr-14,3199.5,3242,3187,3224.82,3646021
29-Apr-14,3194.5,3220.32,3154,3220,3341500
28-Apr-14,3247,3252,3175.5,3185.5,3691343
25-Apr-14,3282.5,3303.5,3256.5,3278.66,2180654
24-Apr-14,3268.5,3303,3249.58,3278.5,3052105
23-Apr-14,3261.5,3279,3243,3249,2330804
22-Apr-14,3257,3286.5,3236,3257.33,3279042
17-Apr-14,3303,3315.74,3247.5,3288.5,2774540
16-Apr-14,3325.5,3349,3279,3305.5,3341035
15-Apr-14,3364,3385,3291,3302.17,3499781
14-Apr-14,3320,3409.5,3311.5,3408.34,3841180
11-Apr-14,3349.5,3370,3299.5,3330.5,3936510
10-Apr-14,3402.5,3431.5,3359,3382.5,2987982
9-Apr-14,3430,3451,3381,3392.66,3749314
8-Apr-14,3380,3435,3343,3426.5,4917081
7-Apr-14,3362,3397,3321,3343.5,2721555
4-Apr-14,3333.5,3409.32,3330,3380.5,3027780
3-Apr-14,3355,3380,3297.5,3316,4024522
2-Apr-14,3375,3392.5,3359.5,3376.66,4500587
1-Apr-14,3363.5,3400,3337.5,3375.34,3474988
31-Mar-14,3309.5,3362.5,3304.5,3337.33,4925855
28-Mar-14,3300,3349.5,3249,3279.5,3120168
27-Mar-14,3297,3300,3238.5,3274.84,3723405
26-Mar-14,3308.5,3347.5,3298,3303.67,5691328
25-Mar-14,3248.5,3300,3230.5,3283,4470752
24-Mar-14,3236.5,3249.2,3179,3189,3010010
21-Mar-14,3174.5,3223.5,3169,3207,6143825
20-Mar-14,3132.5,3164.5,3105,3157,4119901
19-Mar-14,3178,3200,3132.5,3144.34,3476578
18-Mar-14,3183.5,3219,3151,3190,2627251
17-Mar-14,3148.5,3213,3143,3179.5,3245098
14-Mar-14,3107,3158,3102.5,3140.5,4435887
13-Mar-14,3220,3241.5,3160,3161.68,4915409
12-Mar-14,3132,3194,3108.5,3173.5,5718348
11-Mar-14,3177,3203,3130.5,3154.68,4926382
10-Mar-14,3132,3202.5,3104,3140,7474267
7-Mar-14,3290,3309,3174.5,3200,5978958
6-Mar-14,3293.5,3329,3270.5,3310.5,3189059
5-Mar-14,3315.5,3330.5,3263.5,3277.52,4702098
4-Mar-14,3399,3405,3338,3381.5,3358040
3-Mar-14,3349,3369.5,3316.5,3350.16,4203412
28-Feb-14,3453,3473.5,3399,3433.53,4086893
