Date,Open,High,Low,Close,Volume
27-May-14,998,1005,997.95,997.95,3186810
23-May-14,1002,1010,997.5,998,2093495
22-May-14,999,1007,999,1003,3223277
21-May-14,1005,1014,997.5,1001,4319518
20-May-14,1025,1025,1003,1003.95,2434511
19-May-14,1006,1023,999.5,1020.95,3055450
16-May-14,1028,1033,996,1003,5182903
15-May-14,1020,1028,1014,1022.95,5474344
14-May-14,1035,1036,1021,1029.95,3314062
13-May-14,1011,1030.23,1008,1028,4051952
12-May-14,1001,1008.15,1000,1004,2033957
9-May-14,995,1009,989,1001,4414804
8-May-14,1008,1016,1004,1013,3635571
7-May-14,1040,1040,1004,1008,6167427
6-May-14,1030,1042,1024.64,1039.05,2867544
2-May-14,1037,1042,1023,1026,2952453
1-May-14,1027,1050,1011,1040,3434028
30-Apr-14,1033,1053,1018,1050,5167349
29-Apr-14,1029,1031.8,1017,1021,3366943
28-Apr-14,1038,1044,1023,1025,3277944
25-Apr-14,1029,1045,1025.72,1038,2368409
24-Apr-14,1038,1042,1019.72,1031,3121003
23-Apr-14,1055,1056,1029,1030,4177234
22-Apr-14,1045,1061.27,1045,1060,3355056
17-Apr-14,1025,1049.24,1024.15,1046,2995559
16-Apr-14,1019,1026,1008.59,1022,4332796
15-Apr-14,1024,1028,1008,1009,3550697
14-Apr-14,1025,1033,1005,1019,3844297
11-Apr-14,1050,1054,1028,1033,4006440
10-Apr-14,1071,1071,1054.56,1060,3275025
9-Apr-14,1060,1070.29,1054.75,1069,2891352
8-Apr-14,1067,1076,1042,1053.89,3676078
7-Apr-14,1074,1081,1069,1070,3152890
4-Apr-14,1095,1099.17,1079,1083,3428594
3-Apr-14,1094,1103,1091,1093,1787671
2-Apr-14,1105,1108,1093,1093,3376608
1-Apr-14,1084,1103,1078,1097.68,3543274
31-Mar-14,1077,1088,1073,1074,4277523
28-Mar-14,1082,1093,1074,1077,3381982
27-Mar-14,1078,1087,1073.25,1078,4278763
26-Mar-14,1098,1103.67,1075,1077,4744269
25-Mar-14,1083,1099.5,1080.61,1099,3599925
24-Mar-14,1086,1089,1070,1081,3356591
21-Mar-14,1079,1086,1070,1080,7511878
20-Mar-14,1062,1080,1062,1077,3107946
19-Mar-14,1090,1092,1061,1073,6257043
18-Mar-14,1045,1064,1040,1060,3529109
17-Mar-14,1035,1050.36,1032.96,1047,3263978
14-Mar-14,1004,1037,1000,1033,5697111
13-Mar-14,1036,1038,1010,1010,3885934
12-Mar-14,1047,1050,1021,1034,5317730
11-Mar-14,1044,1068,1044,1052,5139287
10-Mar-14,1050,1064,1034,1043,7781027
7-Mar-14,1044,1049,1021,1026,6779635
6-Mar-14,1025,1043,1000,1039,6330353
5-Mar-14,1039,1047,1021,1025,6271472
4-Mar-14,1011,1041,1007,1031.31,5905510
3-Mar-14,988,1004,980,1000,7265668
28-Feb-14,987.5,1006,987.5,999,6775924
27-Feb-14,965.5,997.5,962.5,992.5,9246337
26-Feb-14,983,986,952,961.5,9345644
25-Feb-14,993.5,994.5,976.5,979,8479743
24-Feb-14,992.5,999.5,986,990,6045735
21-Feb-14,1020,1025,993.5,995,5944988
20-Feb-14,991.5,1015,991,1012.16,5542581
19-Feb-14,980,1002,978,1000.25,7140596
18-Feb-14,1000,1005,976,976.5,10256865
17-Feb-14,1023,1037,1001,1006,5622504
14-Feb-14,1050,1060,1017,1025,12573090
13-Feb-14,1104,1110,995,1045,23832102
12-Feb-14,1211,1219,1201,1210,3956530
11-Feb-14,1199,1213,1195,1205,3438578
10-Feb-14,1175,1192,1175,1189,3277455
7-Feb-14,1184,1201,1174,1177,4912794
6-Feb-14,1171,1185,1164,1180,3276283
5-Feb-14,1159,1177,1154,1165,3459715
4-Feb-14,1164,1169,1148,1160,4234061
3-Feb-14,1185,1200,1161,1165,4623746
31-Jan-14,1174,1191,1159,1187,3989848
30-Jan-14,1191,1191,1172,1174,3707487
29-Jan-14,1215,1216,1183,1193,4447872
28-Jan-14,1190,1218,1188,1209,4555775
27-Jan-14,1172,1188,1160,1184,4185746
24-Jan-14,1207,1219,1163,1172,7622408
23-Jan-14,1236,1237,1203,1204,5596079
22-Jan-14,1250,1256,1233,1234,2688678
21-Jan-14,1240,1255,1236,1246,2848393
20-Jan-14,1251,1252,1245,1249,1601903
17-Jan-14,1250,1255,1248,1250,4293040
16-Jan-14,1245,1254,1242,1247,2992957
15-Jan-14,1250,1256,1243,1246,2652770
14-Jan-14,1234,1242,1233,1241,3634015
13-Jan-14,1239,1248,1237,1245,3226179
10-Jan-14,1248,1250,1237,1239,4545103
9-Jan-14,1275,1287,1241,1248,5409838
8-Jan-14,1289,1289,1271,1286,2773140
7-Jan-14,1284,1292,1274,1289,2850328
6-Jan-14,1272,1294,1269,1289,2197668
3-Jan-14,1264,1275,1263,1271,1119198
2-Jan-14,1277,1277,1261,1266,1679931
31-Dec-13,1260,1277,1260,1275,597396
30-Dec-13,1273,1278,1254,1261,1411102
27-Dec-13,1260,1273,1255,1271,1209219
24-Dec-13,1238,1258,1238,1255,340341
23-Dec-13,1250,1255,1228,1249,2490277
20-Dec-13,1231,1249,1228,1243,3921960
19-Dec-13,1245,1247,1230,1241,3867571
18-Dec-13,1229,1238,1226,1227,2577232
17-Dec-13,1231,1237,1222,1222,2036371
16-Dec-13,1201,1236,1197,1236,2669890
13-Dec-13,1187,1208,1185,1203,2479258
12-Dec-13,1204,1205,1183,1190,2505652
11-Dec-13,1190,1211,1187,1204,2807729
10-Dec-13,1207,1207,1192,1192,2942750
9-Dec-13,1200,1208,1195,1206,2350335
6-Dec-13,1195,1200,1186,1195,1708722
5-Dec-13,1195,1201,1191,1191,2651671
4-Dec-13,1200,1206,1195,1198,2626601
3-Dec-13,1210,1215,1197,1200,3061307
2-Dec-13,1238,1241,1210,1214,3427145
29-Nov-13,1236,1250,1235,1235,1937831
28-Nov-13,1250,1255,1235,1239,1868564
27-Nov-13,1239,1251,1228,1247,2268397
26-Nov-13,1233,1239,1232,1238,2949854
25-Nov-13,1244,1246,1235,1238,1942188
22-Nov-13,1231,1243,1230,1238,1863955
21-Nov-13,1232,1236,1222,1232,2472770
20-Nov-13,1231,1246,1230,1239,2897001
19-Nov-13,1226,1242,1223,1235,2313620
18-Nov-13,1245,1245,1221,1233,3622061
15-Nov-13,1235,1238,1212,1224,2767827
14-Nov-13,1217,1238,1214,1235,3151838
13-Nov-13,1212,1216,1199,1210,2793812
12-Nov-13,1208,1219,1203,1213,2122599
11-Nov-13,1210,1215,1208,1210,2860291
8-Nov-13,1175,1225,1170,1210,5701213
7-Nov-13,1153,1171,1148,1170,5090933
6-Nov-13,1153,1158,1143,1150,2603860
5-Nov-13,1141,1149,1129,1146,3438437
4-Nov-13,1142,1150,1134,1136,2138803
1-Nov-13,1153,1162,1140,1143,2889808
31-Oct-13,1150,1157,1141,1150,3752449
30-Oct-13,1165,1167,1144,1155.89,2592818
29-Oct-13,1154,1164,1151,1160,1938177
28-Oct-13,1175,1175,1154,1159,2231262
25-Oct-13,1171,1175,1165,1171,2705977
24-Oct-13,1147,1178,1146,1174,4499403
23-Oct-13,1134,1145,0,1144,3336068
22-Oct-13,1125,1146,1121,1137,4180489
21-Oct-13,1095,1124,1093,1123,3015925
18-Oct-13,1103,1104,1086,1092,4404754
17-Oct-13,1097,1107,1092,1097,2448258
16-Oct-13,1115,1116,1090,1102,3213190
15-Oct-13,1131,1137,1111,1115,2996321
14-Oct-13,1117,1125,1116,1125,1326087
11-Oct-13,1120,1124,1112,1120,2699405
10-Oct-13,1085,1119,1084,1115,3079080
9-Oct-13,1095,1101,1081,1082,3350778
8-Oct-13,1117,1126,1098,1099,2940121
7-Oct-13,1120,1122,1112,1119,1690613
4-Oct-13,1109,1120,1102,1115,3570511
3-Oct-13,1120,1125,1104,1105,3032411
2-Oct-13,1130,1132,1105,1120,4295655
1-Oct-13,1118,1144,1118,1134,4831090
30-Sep-13,1116,1119,1104,1112,3030694
27-Sep-13,1135,1138,1120,1125,3353180
26-Sep-13,1127,1139,1125,1129,2122850
25-Sep-13,1116,1127,1113,1122,2637417
24-Sep-13,1114,1136,1114,1132,5032408
20-Sep-13,1107,1114,1105,1106,4547473
19-Sep-13,1109,1115,1099,1112,3749786
18-Sep-13,1095,1105,1093,1096,3390062
17-Sep-13,1107,1119,1088,1089,4255576
16-Sep-13,1135,1136,1106,1106,3787630
13-Sep-13,1135,1140,1121,1125,2001668
12-Sep-13,1129,1136,1121,1135,2730448
11-Sep-13,1128,1139,1120,1125,1927248
10-Sep-13,1140,1148,1131,1131,2639523
9-Sep-13,1145,1147,1129,1134,1498253
6-Sep-13,1151,1155,1132,1142,2722822
5-Sep-13,1118,1148,1118,1147,3390732
4-Sep-13,1128,1129,1114,1119,2977107
3-Sep-13,1129,1132,1121,1128,3290842
2-Sep-13,1120,1132,1120,1128,1269461
30-Aug-13,1119,1129,1112,1112,3167280
29-Aug-13,1099,1122,1099,1116,2448290
28-Aug-13,1110,1110,1078,1092,3361599
27-Aug-13,1136,1141,1113,1114,2568919
23-Aug-13,1134,1147,1128,1138,1598736
22-Aug-13,1124,1139,1124,1132,2196606
21-Aug-13,1128,1140,1123,1124,2788091
20-Aug-13,1119,1133,1115,1126,2085556
19-Aug-13,1124,1136,1123,1127,1918872
16-Aug-13,1120,1127,1112,1121,3579460
15-Aug-13,1144,1150,1117,1123,2046975
14-Aug-13,1145,1154,1140,1147,2307911
13-Aug-13,1160,1164,1141,1142,3471555
12-Aug-13,1189,1190,1150,1157,2599914
9-Aug-13,1190,1194,1178,1184,1510504
8-Aug-13,1197,1199,1181,1185,1615391
7-Aug-13,1187,1203,1184,1194,2889653
6-Aug-13,1184,1197,1184,1190,2466607
5-Aug-13,1190,1199,1179,1185,2320918
2-Aug-13,1195,1200,1185,1189,1395370
1-Aug-13,1184,1197,1184,1192,2221750
31-Jul-13,1181,1195,1170,1175,3426155
30-Jul-13,1192,1201,1184,1186,2258182
29-Jul-13,1204,1214,1190,1197,2269380
26-Jul-13,1208,1229,1177,1200,5393349
25-Jul-13,1230,1248,1206,1240,5860651
24-Jul-13,1175,1199,1155,1180,2804914
23-Jul-13,1188,1194,1178,1180,2035945
22-Jul-13,1199,1199,1181,1189,1346902
19-Jul-13,1195,1200,1189.71,1196,2203069
18-Jul-13,1178,1203,1172.7,1200,1859432
17-Jul-13,1190,1198,1166,1182,3454299
16-Jul-13,1208,1216.92,1190,1190,2061087
15-Jul-13,1205,1223,1202,1208,1239486
12-Jul-13,1204,1209,1195,1203,1817251
11-Jul-13,1212,1215.78,1183,1202,2299142
10-Jul-13,1199,1208,1183,1196,2004853
9-Jul-13,1210,1226,1193,1204,2474373
8-Jul-13,1209,1217,1201,1203,1512578
5-Jul-13,1197,1211,1187,1193,2849676
4-Jul-13,1147,1194,1145,1191,3586189
3-Jul-13,1140,1146,1130.88,1138,2508430
2-Jul-13,1160,1162,1141,1161,2355870
1-Jul-13,1146,1164,1139,1164,2398765
28-Jun-13,1153,1170,1134,1134,5682154
27-Jun-13,1129,1150,1122,1146,4082256
26-Jun-13,1126,1140,1115,1133,2283668
25-Jun-13,1126,1135,1118,1125,3620738
24-Jun-13,1153,1156,1112,1113,4165817
21-Jun-13,1159,1185,1154.22,1155,6279744
20-Jun-13,1178,1182,1148,1154,3892129
19-Jun-13,1191,1204,1170,1192,2762479
18-Jun-13,1167,1192,1165,1188,2984047
17-Jun-13,1176,1181.61,1158,1167,3868477
14-Jun-13,1190,1195,1168,1169,2463843
13-Jun-13,1171,1173,1153,1167,2465342
12-Jun-13,1191,1196,1184,1190,2582261
11-Jun-13,1185,1205,1169,1187,3486930
10-Jun-13,1169,1196,1169,1181,2425784
7-Jun-13,1168,1188.56,1149,1174,3371502
6-Jun-13,1190,1196,1162,1163,2157174
5-Jun-13,1184,1195,1180,1190,4126951
4-Jun-13,1193,1195,1172,1190,2332975
3-Jun-13,1203,1203,1183,1187,2063175
31-May-13,1217,1217,1176,1205,3929647
30-May-13,1184,1219,1184,1219,2590850
29-May-13,1216,1219,1186,1191,2269767
28-May-13,1204,1226,1203,1223,2089959
24-May-13,1192,1207,1186.52,1190,1719254
23-May-13,1199,1208,1181.67,1190,1920018
22-May-13,1208,1227,1199,1222,1898425
21-May-13,1194,1210,1192,1210,1382191
20-May-13,1180,1200,1174,1197,1754578
17-May-13,1204,1206.88,1178,1178,3275200
16-May-13,1225,1240,1202,1208,3270399
