Date,Open,High,Low,Close,Volume
27-May-14,336.1,342.8,334,339.1,7387663
23-May-14,331.7,336.13,330.7,334.6,4484853
22-May-14,330.4,332.6,327.8,331.9,5074748
21-May-14,326.5,331.2,325.4,330.5,6267911
20-May-14,324.5,328.6,322.54,327.1,6411346
19-May-14,325,326,317.7,323.73,4997366
16-May-14,324.6,326.8,319.4,322.78,8500265
15-May-14,331.4,336.3,323.7,325.3,11081539
14-May-14,328.4,332.7,327.2,331.8,6591527
13-May-14,328.1,330.4,327,329,7323581
12-May-14,325.8,328.2,323.6,326.2,8256306
9-May-14,330.2,332.82,324.4,325.2,7504445
8-May-14,326,332.6,325.14,331,9637865
7-May-14,323.3,328.8,322.76,325.5,11635369
6-May-14,330.2,335.4,324,325.2,11793254
2-May-14,333,347.76,320,331.7,42465973
1-May-14,299.6,310,299.6,306.6,9203284
30-Apr-14,301,304,298.3,298.8,9971501
29-Apr-14,296,301.4,296,301.2,12099754
28-Apr-14,302.5,305.8,294.7,295.5,10536069
25-Apr-14,306,306.5,301.2,303.2,8571649
24-Apr-14,302.2,305.51,300.8,303.8,10020220
23-Apr-14,302.4,303.3,299.76,301.1,5059697
22-Apr-14,304.8,305.15,301.4,302.23,6961601
17-Apr-14,300.4,304.64,297.9,302.9,9692422
16-Apr-14,301,302.21,298,300.2,7323578
15-Apr-14,304.2,305.4,295.1,297.6,9413932
14-Apr-14,303.8,306.65,299.9,304.2,8078121
11-Apr-14,307,309.04,300.6,306,10492567
10-Apr-14,315,318,308.7,308.7,8549362
9-Apr-14,310.3,314.5,308.3,309.8,5860503
8-Apr-14,312.3,312.88,303.4,309.3,8635427
7-Apr-14,314.8,317.08,311,312,5999255
4-Apr-14,317.3,319.87,315.04,318.3,4749543
3-Apr-14,322.6,323.99,316.2,316.9,7866876
2-Apr-14,318,323.8,317.3,322.9,7468013
1-Apr-14,311.6,319.94,311.4,317.82,9598940
31-Mar-14,308.8,313.2,307.1,311,8914362
28-Mar-14,304.9,310.1,300.82,307.2,8603010
27-Mar-14,303.3,303.8,299.74,301.9,7697002
26-Mar-14,306.7,309.4,302.5,306.1,9160380
25-Mar-14,303.7,309.5,303.7,307.8,12278087
24-Mar-14,300.2,306.6,296.7,303.6,15911848
21-Mar-14,304,307,297.24,299.1,13536228
