Date,Open,High,Low,Close,Volume
27-May-14,2352.5,2359,2342.5,2344.5,4588413
23-May-14,2370,2372.5,2351.5,2353,4024368
22-May-14,2403.5,2405,2357,2368.26,14834931
21-May-14,2350,2354.5,2338,2352.5,3125646
20-May-14,2361,2368,2334,2343,4038804
19-May-14,2353,2365,2340,2358.26,5657411
16-May-14,2356.5,2368,2341,2345.5,4572696
15-May-14,2353,2377.5,2343,2351,4203694
14-May-14,2349.5,2354.78,2334,2347,2412473
13-May-14,2378,2378,2360,2370,3569203
12-May-14,2367,2378.5,2358,2365.5,2766293
9-May-14,2378.5,2378.5,2362.5,2370,2971985
8-May-14,2359,2385,2359,2378.5,6530042
7-May-14,2338,2365.68,2336,2362.5,4116672
6-May-14,2352,2356,2333,2346.5,3040666
2-May-14,2331.5,2354.5,2323,2354,4831759
1-May-14,2351,2864,2330.5,2333.5,3343173
30-Apr-14,2336.5,2381,2330,2347,11866323
29-Apr-14,2256.5,2280,2250.5,2280,4405638
28-Apr-14,2242.5,2260,2237.5,2255.5,2520290
25-Apr-14,2251.5,2255.5,2239,2248.5,2929786
24-Apr-14,2258,2263,2239.5,2254.5,2966907
23-Apr-14,2240,2249.5,2239,2247,2317631
22-Apr-14,2235,2253.5,2226,2240,3987895
17-Apr-14,2228,2244,2215,2244,3825938
16-Apr-14,2237,2244,2216,2225,3337214
15-Apr-14,2218.5,2236.5,2213,2230.5,3278894
14-Apr-14,2189,2213.5,2182.8,2213.5,2248301
11-Apr-14,2200.5,2210.5,2188,2194.5,3009301
10-Apr-14,2211,2221.5,2203,2213,2390483
9-Apr-14,2203.5,2213,2201,2207,2524283
8-Apr-14,2212.5,2216,2198,2204,4350569
7-Apr-14,2207.5,2222.5,2201.2,2216.5,7334716
4-Apr-14,2210.5,2223.5,2208.15,2216,2327399
3-Apr-14,2196.5,2211,2195.5,2209,2623496
2-Apr-14,2206,2206,2187,2195,2711916
1-Apr-14,2191,2213,2189,2209.5,2524491
31-Mar-14,2201.5,2215.5,2188.5,2191,4038838
28-Mar-14,2185.5,2203.5,2178,2193.5,2934768
27-Mar-14,2176.5,2190,1992.64,2187,2897230
26-Mar-14,2183,2202,2175,2183.5,2675205
25-Mar-14,2161.5,2187.19,2156.5,2177,2480108
24-Mar-14,2179.5,2179.5,2151.5,2158,2543890
21-Mar-14,2151.5,2176,2148.5,2173,5940867
20-Mar-14,2154.5,2160,2133,2154.5,3804103
19-Mar-14,2177,2177,2160.5,2166,2141735
18-Mar-14,2154,2188.5,2144.6,2174.5,3437322
17-Mar-14,2145.5,2179,2138,2151.5,6055458
14-Mar-14,2142,2157,2132.5,2143,5936970
13-Mar-14,2171.5,2183,2149,2150.5,4157101
12-Mar-14,2183,2186,2167,2176.5,3392816
11-Mar-14,2190,2202,2180.5,2198,3103404
10-Mar-14,2167,2200,2162.5,2193,3855919
7-Mar-14,2169.5,2185.5,2159.5,2171,4849007
6-Mar-14,2180.5,2183.5,2165.5,2169.5,2373000
5-Mar-14,2190.5,2195,2174.5,2178.5,2737364
4-Mar-14,2167,2195,2167,2195,3952999
3-Mar-14,2153,2178.5,2143,2157,3185677
28-Feb-14,2180.5,2191,2171,2178,6023288
27-Feb-14,2188,2197,2163,2182,3589650
26-Feb-14,2199,2208.5,2183,2189,2742402
25-Feb-14,2222.5,2223,2188,2197.5,9284980
24-Feb-14,2211.5,2222.5,2203.5,2222.5,4518420
