Date,Open,High,Low,Close,Volume
27-May-14,2457,2458.9,2432,2435.38,2865527
23-May-14,2458,2465,2432.5,2444.5,3144504
22-May-14,2500,2537.82,2444.5,2456.5,15532499
21-May-14,2560,2570,2545,2551.37,2676661
20-May-14,2589,2598,2553.37,2553.5,3598881
19-May-14,2575,2613.5,2572,2591.74,4815109
16-May-14,2562.5,2594.4,2550.05,2571.87,3072915
15-May-14,2566,2591.5,2556.5,2564.5,2951861
14-May-14,2562.5,2584.4,2541,2562.37,2552889
13-May-14,2574.5,2587.5,2563.72,2586.5,2993736
12-May-14,2576,2583.5,2557.5,2570.5,2611889
9-May-14,2568.5,2576,2552.5,2576,3833637
8-May-14,2548.5,2576,2516.96,2568,3166046
7-May-14,2515,2557.54,2513,2546,3241904
6-May-14,2528.5,2530.39,2507.86,2512.12,3027979
2-May-14,2500,2565.5,2495,2533,4290462
1-May-14,2505,2540.94,2502.5,2504.5,2637604
30-Apr-14,2500,2555.5,2490,2520,6917518
29-Apr-14,2405,2431,2403.5,2431,3084364
28-Apr-14,2392.5,2413,2387,2409,2058820
25-Apr-14,2405,2412.44,2389.5,2401.5,2334043
24-Apr-14,2405.5,2416.09,2395,2408.5,2038898
23-Apr-14,2385.5,2401.06,2385.5,2400,1858229
22-Apr-14,2390,2402.82,2372.85,2389,2391438
17-Apr-14,2384,2990.5,2365.32,2393,2820455
16-Apr-14,2395,2406.5,2377,2384.5,2889118
15-Apr-14,2375.5,2393.85,2370.84,2390,2801701
14-Apr-14,2337,2373.5,2330.22,2373.5,2624101
11-Apr-14,2346,2357.5,2342.5,2350.5,2963174
10-Apr-14,2356,2369.84,2346.5,2361,2138809
9-Apr-14,2346,2362.66,2343.69,2356.5,2309309
8-Apr-14,2345,2349,2337,2348.5,3557677
7-Apr-14,2344,2362.29,2336.5,2352,2303324
4-Apr-14,2344,2364.18,2344,2359.5,1944451
3-Apr-14,2330,2343.06,2327,2342.5,2628333
2-Apr-14,2341.5,2348,2326.5,2328.5,2836827
1-Apr-14,2340,2356.19,2335.6,2347.32,2435522
31-Mar-14,2345,2362.5,2335,2340.5,5227094
28-Mar-14,2317.5,2353.64,2310,2339.5,3233099
27-Mar-14,2302,2318.5,2302,2318,2514183
26-Mar-14,2310,2329,2305,2308.5,2796867
25-Mar-14,2288,2314.5,2284.5,2306.5,2535450
24-Mar-14,2304,2310.5,2278.5,2287.5,2892281
21-Mar-14,2286,2310,2269.27,2298.5,6738870
20-Mar-14,2286,2295,2264,2288,3587602
19-Mar-14,2298.5,2310,2288,2301.5,2393135
18-Mar-14,2285.5,2319.5,2276.5,2302.5,4367027
17-Mar-14,2291.5,2319.5,2280,2286,4761611
14-Mar-14,2287.5,2305.5,2279,2292,3679099
13-Mar-14,2324,2331.5,2296.5,2300,4197833
12-Mar-14,2333.5,2337,2318,2324,3357952
11-Mar-14,2343,2352.5,2329.5,2345.5,2832142
10-Mar-14,2310,2350.5,2309,2342.5,4323364
7-Mar-14,2321,2336,2311.5,2321.5,3858520
6-Mar-14,2338,2342.5,2320.5,2325.5,4475350
5-Mar-14,2346,2354,2334,2337.5,2849764
4-Mar-14,2320,2348.5,2319.5,2345,3303053
3-Mar-14,2300,2325,2291.5,2305.61,4531024
28-Feb-14,2334,2347,2325.5,2327,6898170
27-Feb-14,2346,2353.5,2324,2336.5,4149558
26-Feb-14,2353.5,2370,2343,2346,3686635
25-Feb-14,2377.5,2384.5,2347,2357.5,8140338
24-Feb-14,2363.5,2379.5,2360.5,2373.5,3777343
21-Feb-14,2368,2380,2356.5,2375,6024211
20-Feb-14,2336,2357,2336,2356.5,4527154
19-Feb-14,2330,2354.5,2330,2343,5034574
18-Feb-14,2293,2340,2292,2336,4861194
17-Feb-14,2278,2305.5,2264,2295,3287097
14-Feb-14,2283,2295.5,2270,2281,3768271
13-Feb-14,2263.5,2289.5,2257.5,2280,8458977
12-Feb-14,2248,2266.5,2241.5,2259,4593466
11-Feb-14,2248.5,2275,2240.5,2275,3980795
10-Feb-14,2235,2237,2220.5,2237,2733525
7-Feb-14,2227,2228.5,2209,2223,3120447
6-Feb-14,2214.5,2229.5,2204,2223.5,3574386
5-Feb-14,2187.5,2214,2183,2197,4209830
4-Feb-14,2201,2208,2182.5,2196.5,4101733
3-Feb-14,2214,2235,2205.5,2208,3903019
31-Jan-14,2260.5,2272,2217,2225,4555470
30-Jan-14,2242,2316,2242,2266.5,8421033
29-Jan-14,2244,2252.5,2216.5,2242.5,4828300
28-Jan-14,2239.5,2249.5,2225.5,2231.5,3082013
27-Jan-14,2256.5,2275.5,2235,2240,4421636
24-Jan-14,2290,2302,2267.5,2272,5319968
23-Jan-14,2292,2307.5,2280.5,2291,4260648
22-Jan-14,2275.5,2289.5,2269.5,2287,4234672
21-Jan-14,2284,2286.5,2259,2273.12,4273652
20-Jan-14,2273.5,2286.5,2256.5,2280.5,2443231
17-Jan-14,2224,2280,2197.5,2279.5,9719928
16-Jan-14,2296.5,2317,2292,2306,3942300
15-Jan-14,2293.5,2302,2283.5,2296.5,3229238
14-Jan-14,2284.5,2297.5,2276.5,2287.5,3456380
13-Jan-14,2303.5,2309,2291,2303,2908302
10-Jan-14,2270.5,2313.5,2268.5,2308,5227074
9-Jan-14,2262.5,2278.5,2255,2264.5,2602958
8-Jan-14,2271.5,2274.5,2253.5,2259,2428235
7-Jan-14,2258,2278.5,2246.5,2269,2835680
6-Jan-14,2268,2274.5,2250,2254.66,2588563
3-Jan-14,2264.5,2287.5,2257,2270.5,1830211
2-Jan-14,2265,2276,2255,2263.5,2625690
31-Dec-13,2267,2280,2255,2280,788489
30-Dec-13,2274.5,2275.5,2260,2266,1879097
27-Dec-13,2266.5,2283,2262,2274.5,2193400
24-Dec-13,2258.5,2270,2258.5,2265.5,502380
23-Dec-13,2228.5,2262.5,2226,2262.5,1950009
20-Dec-13,2216.5,2230.5,2216.5,2228.5,6998721
19-Dec-13,2194.5,2212.5,2188,2211,4058620
18-Dec-13,2174.5,2184,2164.5,2179.5,2559267
17-Dec-13,2169,2178.5,2161.5,2177.5,3168595
16-Dec-13,2145,2177.5,2143.5,2174.5,2568365
13-Dec-13,2163,2164.5,2150.5,2155,3075818
12-Dec-13,2166,2187,2166,2176.5,6238596
11-Dec-13,2162.5,2181.5,2153.5,2174.09,3402274
10-Dec-13,2169.5,2188.5,2164,2164,2933802
9-Dec-13,2160,2172,2147,2166.5,3639634
6-Dec-13,2110,2162.5,2109,2157,5957322
5-Dec-13,2093.5,2101,2082.5,2096,3649444
4-Dec-13,2114.5,2122.5,2091.5,2105.92,3879422
3-Dec-13,2125.5,2132,2103.5,2106.5,2487259
2-Dec-13,2140.5,2144.5,2115.5,2128.5,2467644
29-Nov-13,2144,2152,2137,2144.5,2872201
28-Nov-13,2152,2153,2140,2144.5,2136742
27-Nov-13,2161,2174,2148.5,2148.5,3514017
26-Nov-13,2200,2205,2160.5,2160.5,6958100
25-Nov-13,2201,2205,2188,2200,3274564
22-Nov-13,2199.5,2206.5,2196.5,2203.5,2900105
21-Nov-13,2191,2213,2184,2199,2647985
20-Nov-13,2185.5,2211,2181.5,2197.5,3578728
19-Nov-13,2189.5,2195,2177,2190,2039942
18-Nov-13,2177,2219.5,2174.5,2197,3779497
15-Nov-13,2148.5,2187.5,2146,2185.5,3220052
14-Nov-13,2135.5,2157,2129,2142.5,4325729
13-Nov-13,2138.5,2143.5,2108.5,2138.5,4853590
12-Nov-13,2157,2165,2148,2165,3028671
11-Nov-13,2143.5,2163.5,2143.5,2155.5,2499667
8-Nov-13,2150,2150,2134,2138.02,4355156
7-Nov-13,2176,2184.5,2155.5,2156,3636372
6-Nov-13,2184.5,2191,2174.5,2174.5,3589577
5-Nov-13,2193.5,2193.5,2164.5,2176,3610948
4-Nov-13,2192.5,2202,2186.5,2189,3414523
1-Nov-13,2154,2193.5,2154,2189.5,5410396
31-Oct-13,2210.5,2215,2154.5,2159.5,9311374
30-Oct-13,2268.5,2297,2267.5,2277,4370798
29-Oct-13,2245,2271,2243,2264.5,3611652
28-Oct-13,2238,2243.5,2224.5,2240,2257803
25-Oct-13,2212,2245,2212,2237.5,3430538
24-Oct-13,2211.5,2226,2208,2218.5,2595877
23-Oct-13,2199,2205,0,2200.5,2799061
22-Oct-13,2179,2202,2172.5,2200,2741738
21-Oct-13,2170.5,2180.5,2159.5,2170.99,2221858
18-Oct-13,2149.5,2172.5,2142.5,2164.5,3825911
17-Oct-13,2155,2158.5,2132,2141,3021875
16-Oct-13,2140,2172,2139,2163.5,2992980
15-Oct-13,2134.5,2155,2127,2143,2722060
14-Oct-13,2113,2132,2111.5,2124.5,1670069
11-Oct-13,2116.5,2122,2108.5,2115,1912615
10-Oct-13,2084.5,2110,2080,2105,3302680
9-Oct-13,2081.5,2092.5,2069.5,2077.5,3014744
8-Oct-13,2107.5,2112.5,2087,2088.5,2962648
7-Oct-13,2116,2119.5,2094,2108.5,2401546
4-Oct-13,2113.5,2132,2110,2122.5,1997910
3-Oct-13,2104,2118.5,2098,2115,3139409
2-Oct-13,2107,2110.5,2088,2105,3686085
1-Oct-13,2132,2134,2104.5,2116,3770077
30-Sep-13,2132,2150,2117,2134.5,4179994
27-Sep-13,2155,2155,2136.5,2146,3598049
26-Sep-13,2137.5,2159,2136.5,2159,2352551
25-Sep-13,2151,2155,2134,2139,3611073
24-Sep-13,2152.5,2163,2149,2150,3745042
20-Sep-13,2173,2189,2167.5,2167.5,9341808
19-Sep-13,2166.5,2187,2155,2177,3971590
18-Sep-13,2144.5,2168.5,2143.5,2149,4014039
17-Sep-13,2161.5,2162.5,2147.5,2156.38,4306550
16-Sep-13,2177.5,2185.5,2161,2166.5,2829078
13-Sep-13,2155.5,2168.5,2149,2166.5,2820243
12-Sep-13,2158.5,2173,2153,2165.5,2291802
11-Sep-13,2142.5,2158.5,2140,2158.5,3288153
10-Sep-13,2155,2160.5,2140,2147.5,2963419
9-Sep-13,2162,2162,2136,2144.5,2120461
6-Sep-13,2157.5,2173,2146.5,2161.5,3802330
5-Sep-13,2165.5,2169,2135,2162.5,3759220
4-Sep-13,2160.5,2166.5,2146,2162.5,2747299
3-Sep-13,2165,2171.5,2144,2159.5,3529676
2-Sep-13,2176,2184,2158,2165,2768799
30-Aug-13,2200,2201.5,2166.5,2173,7330819
29-Aug-13,2220.5,2221,2187.5,2206.35,3576599
28-Aug-13,2173,2228,2173,2221,6088312
27-Aug-13,2138,2181,2127.5,2177,4394913
23-Aug-13,2126.5,2153.5,2112,2148,2691886
22-Aug-13,2109.5,2133,2106.5,2128.42,2139675
21-Aug-13,2128.5,2128.5,2108.5,2108.5,3618129
20-Aug-13,2117,2131,2112,2124.74,2931202
19-Aug-13,2135,2140.5,2124,2125,2859743
16-Aug-13,2121.5,2141.5,2117,2134.5,3856026
15-Aug-13,2151.5,2156.5,2122.5,2125.5,3985250
14-Aug-13,2170,2186.5,2150.5,2150.5,3239568
13-Aug-13,2172,2196,2168,2189,3693222
12-Aug-13,2188,2188.5,2160,2172.5,2569339
9-Aug-13,2171,2191,2161.5,2181.5,2495961
8-Aug-13,2151,2174.5,2150.5,2160,3398966
7-Aug-13,2180,2211.5,2149,2149,4193714
6-Aug-13,2178,2189.5,2171.5,2185,4360646
5-Aug-13,2192,2199.5,2169.5,2179.5,4360359
2-Aug-13,2216.5,2223.5,2185,2190.5,4445492
1-Aug-13,2250,2250,2191.5,2218,7048739
31-Jul-13,2293,2340.5,2284.5,2319.5,4071509
30-Jul-13,2303,2321.5,2294.5,2296.5,3111434
