Date,Open,High,Low,Close,Volume
27-May-14,3335.5,3362.5,3303,3310,1474281
23-May-14,3380.5,3382,3298.5,3327.5,1597177
22-May-14,3270,3416.5,3264,3372,3009483
21-May-14,3213.5,3263,3211,3259.34,1161715
20-May-14,3267.5,3267.5,3205,3213.84,1449809
19-May-14,3270,3278,3247,3253.84,1513364
16-May-14,3214,3259.5,3202,3253.34,2743654
15-May-14,3223.5,3238,3190,3213,1251865
14-May-14,3200,3227,3186,3227,1088995
13-May-14,3206,3206,3171.5,3190,1670678
12-May-14,3227,3227,3183.5,3202.16,1260683
9-May-14,3199,3213,3187.5,3212,1208389
8-May-14,3222.5,3242,3199.5,3211,1566925
7-May-14,3206,3234,3190.5,3222.66,1334820
6-May-14,3268,3268,3198.5,3210.16,1445007
2-May-14,3207,3271.5,3195.5,3252.33,1453720
1-May-14,3230.5,3241,3197,3209.5,523800
30-Apr-14,3214.5,3236,3196.5,3220.82,1462514
29-Apr-14,3193,3242,3190,3224.5,1708022
28-Apr-14,3138.5,3208.5,3138.5,3188.32,1621307
25-Apr-14,3103.5,3136.5,3097.5,3131.16,1668584
24-Apr-14,3063.5,3110.5,3049.5,3110.31,1989538
23-Apr-14,3066.5,3085.5,3051,3054,922330
22-Apr-14,3088,3119,3068.5,3070,1314537
17-Apr-14,3030,3075.5,2999,3068.5,1821444
16-Apr-14,3061.5,3073,3039.5,3042,2183016
15-Apr-14,3050,3094,3000.5,3052.5,2992468
14-Apr-14,3104,3153,3099.28,3124,1845479
11-Apr-14,3095.5,3125.18,3077,3110.5,1978256
10-Apr-14,3102.5,3136.5,3095.5,3124,1415125
9-Apr-14,3131,3142.5,3096.5,3099,1730165
8-Apr-14,3090,3134.5,3080,3132.5,1859515
7-Apr-14,3102.5,3122,3078.5,3092.5,1286604
4-Apr-14,3084.5,3125,3073.5,3122.5,1822989
3-Apr-14,2996,3088.5,2996,3070.5,2624446
2-Apr-14,2994.5,3011.5,2976.25,2997,1056578
1-Apr-14,3010,3012,2954.5,2995.12,1892023
31-Mar-14,3044.5,3044.5,2983.5,2995,2630922
28-Mar-14,3009,3036.5,2998,3025,2177965
27-Mar-14,2926,3000,2915.5,2992.5,1656692
26-Mar-14,2980,2993,2930,2938,2076191
25-Mar-14,2900,2980,2891.5,2978,3107618
24-Mar-14,2858.5,2860.5,2814.5,2835,2121286
21-Mar-14,2809.5,2840,2807.5,2832,2262034
20-Mar-14,2801.5,2811,2771,2802.5,1685703
19-Mar-14,2843,2844.5,2819,2819,1414777
18-Mar-14,2809.5,2846,2779.5,2835,1189453
17-Mar-14,2805,2830.5,2784.5,2810,1713735
14-Mar-14,2770,2813,2770,2803,2381457
13-Mar-14,2857.5,2860.5,2771,2779,2983298
12-Mar-14,2878.5,2882.5,2838.5,2854.5,2844520
11-Mar-14,2929,2929,2886,2895.5,1251452
10-Mar-14,2890,2936,2890,2924,1983608
7-Mar-14,2940.5,2946.5,2892,2892,1679164
6-Mar-14,2926.5,2946,2903,2932.5,1648598
5-Mar-14,2931.5,2932.5,2910,2918.5,1851498
4-Mar-14,2930,2940.5,2909,2926.5,1802916
3-Mar-14,2896,2918.5,2865,2893,2143724
28-Feb-14,2901.5,2930,2891,2927,3346046
27-Feb-14,2900,2921,2866,2891.5,1491238
26-Feb-14,2873.5,2916,2870.5,2901.5,2631066
25-Feb-14,2882,2882.5,2843,2869,3435260
24-Feb-14,2833,2883.5,2821.5,2883.5,2641122
21-Feb-14,2803.5,2836.5,2788.5,2830,2988268
20-Feb-14,2787.5,2799.5,2753.5,2799.5,2532427
19-Feb-14,2787.5,2821,2778.5,2816.5,1895146
18-Feb-14,2809,2811,2773,2804.5,1959045
17-Feb-14,2778.5,2813,2762,2810.5,1772803
14-Feb-14,2769.5,2769.5,2736.5,2766,1507905
13-Feb-14,2779.5,2787,2738.5,2756,2176484
12-Feb-14,2787,2790,2750,2781.5,3068702
11-Feb-14,2730.5,2804.5,2725,2778.5,3564000
10-Feb-14,2751,2760,2725,2739,2399743
7-Feb-14,2730,2757.5,2706.5,2739,2673138
6-Feb-14,2682,2721.5,2661.5,2717,3017710
5-Feb-14,2681.5,2695.5,2659,2661,2331753
4-Feb-14,2686,2699,2674.5,2676,2267120
3-Feb-14,2736,2750,2695.5,2702,2510207
31-Jan-14,2740.5,2764.5,2650.5,2740,4623411
30-Jan-14,2787,2787,2726.5,2753,3955736
29-Jan-14,2885,2892,2782,2801.5,4324447
28-Jan-14,2882.5,2882.5,2848,2853,2051612
27-Jan-14,2885.5,2909,2861.5,2879,2631892
24-Jan-14,2980.5,2987,2882.5,2890.5,3365357
23-Jan-14,3006,3019.5,2976,2978,2295185
22-Jan-14,3079.5,3090,3028,3039,1873731
21-Jan-14,3040,3088,3010,3086,2580348
20-Jan-14,3051.5,3100.5,3037,3094,1995174
17-Jan-14,3080,3091.5,3027.5,3051,1851529
16-Jan-14,3025,3082.5,3010,3065,2061193
15-Jan-14,3043,3043,3010,3026,1215237
14-Jan-14,2996,3030,2965,3023.5,1440407
13-Jan-14,3004.5,3023.5,2980,3020.5,1303512
10-Jan-14,2994.5,2999,2975.5,2996,1541140
9-Jan-14,3012.5,3029.5,2976,2983.5,1491630
8-Jan-14,3045,3049,3003,3010.5,1119897
7-Jan-14,3035.5,3056.5,3023.5,3047,1217828
6-Jan-14,3042,3060,3023,3026.5,786720
3-Jan-14,3052.5,3067.5,3027.5,3047.5,632628
2-Jan-14,3090.5,3097.5,3040,3044.5,1317187
31-Dec-13,3071,3101,3044,3101,317967
30-Dec-13,3090.5,3093.5,3053.5,3069,829518
27-Dec-13,3039.5,3084,3038,3080,733998
24-Dec-13,3036,3052.5,3028.5,3039.5,161136
23-Dec-13,2998,3038,2998,3035,878747
20-Dec-13,3035,3040.5,2996,2999,2511082
19-Dec-13,3033,3062,2996,3038.5,1675148
18-Dec-13,2998,3035,2991.5,3003.5,1241496
17-Dec-13,3012.5,3018.5,2988,2995,1216301
16-Dec-13,2988,3041.5,2976,3024,1029577
13-Dec-13,2980.5,3007,2970.5,2981.5,1600294
12-Dec-13,3010,3011.5,2975,2993,2393406
11-Dec-13,3050,3050.5,3014.5,3018,1559775
10-Dec-13,3090.5,3098.5,3050,3050,983292
9-Dec-13,3088.5,3094,3061.5,3084.5,994013
6-Dec-13,3080,3091.5,3051,3078.5,1859834
5-Dec-13,3065,3089.5,3053,3079,1196177
4-Dec-13,3057.5,3101.5,3045.5,3078.5,1722007
3-Dec-13,3113,3113.5,3054,3070.5,1669017
2-Dec-13,3155,3202.5,3101,3117,1579595
29-Nov-13,3162.5,3172,3151,3153,917658
28-Nov-13,3192,3195.5,3162.5,3166,913439
27-Nov-13,3190,3195,3167,3187,1340199
26-Nov-13,3236,3236.5,3173,3175,2115021
25-Nov-13,3258.5,3279,3241,3254.5,1667890
22-Nov-13,3228.5,3229,3174.5,3218,1677708
21-Nov-13,3290,3300,3211.5,3215.5,2748626
20-Nov-13,3219.5,3255,3212.5,3235,1554530
19-Nov-13,3212.5,3234.5,3211.5,3222,1717328
18-Nov-13,3238,3238,3180,3229,1239646
15-Nov-13,3192.5,3201,3166.5,3197.5,1376767
14-Nov-13,3193,3208,3168.5,3179.5,1160521
13-Nov-13,3207.5,3220,3160.5,3167.5,1365582
12-Nov-13,3216,3223.5,3194,3215,768016
11-Nov-13,3211,3227.5,3197.5,3216,1137085
8-Nov-13,3186.5,3203,3164.5,3194,1704258
7-Nov-13,3223.5,3251.5,3197,3203,939516
6-Nov-13,3253.5,3254.5,3219,3227.5,1322879
5-Nov-13,3269.5,3272.5,3208.5,3215,1175827
4-Nov-13,3264.5,3274.5,3243.5,3268,728732
1-Nov-13,3270,3272,3231.5,3246.5,647967
31-Oct-13,3259.5,3276,3243.5,3254,1537658
30-Oct-13,3286,3290,3245,3263.5,986326
29-Oct-13,3278,3304,3274.5,3287,1095977
28-Oct-13,3256.5,3290,3248.5,3276.5,1169654
25-Oct-13,3229.5,3251.5,3215.5,3250,825732
24-Oct-13,3224,3233.5,3195,3233.5,1040030
23-Oct-13,3187.5,3228,0,3219,1560778
22-Oct-13,3147,3203,3137.5,3186,1677739
21-Oct-13,3164.5,3166.5,3115,3139.5,1172298
18-Oct-13,3190,3212,3135.5,3158,2218435
17-Oct-13,3149,3195,3135,3167,3355488
16-Oct-13,3015.5,3053,2989.5,3040,1817292
15-Oct-13,2990,3036.5,2989.5,3031,1740914
14-Oct-13,2985,2994,2964,2970,1619331
11-Oct-13,3017.5,3036.5,3006.5,3014,1070950
10-Oct-13,2975.5,3015.5,2964.5,3000,1222393
9-Oct-13,2978.5,3000,2963,2968,1445061
8-Oct-13,3033.5,3038.5,2983.5,2985,1470376
7-Oct-13,3003.5,3042,2994,3038,1161234
4-Oct-13,2990,3030.5,2989,3013,1169025
3-Oct-13,3010,3024,2984.5,2990.5,2988334
2-Oct-13,3049,3052.5,3014.5,3035.5,2124825
1-Oct-13,3040,3097.5,3015,3055,2984160
30-Sep-13,3126.5,3161,3109.5,3143.5,1461487
27-Sep-13,3231.5,3232,3141,3165,1856036
26-Sep-13,3230,3259.5,3208,3233.5,999965
25-Sep-13,3230.5,3246,3205.5,3223.5,1227677
24-Sep-13,3249,3259.5,3215.5,3231,960147
