Date,Open,High,Low,Close,Volume
27-May-14,1546,1558,1527,1547.92,1874528
23-May-14,1547,1560,1539.64,1544.92,1469629
22-May-14,1559,1563,1538,1541.92,2186212
21-May-14,1575,1577,1536,1559.92,1911396
20-May-14,1570,1577,1559.22,1567.92,1811876
19-May-14,1571,1580,1562,1568.16,1792251
16-May-14,1554,1567.08,1539,1566.92,2071210
15-May-14,1540,1553,1529,1550,2301094
14-May-14,1509,1536,1509,1536,1679311
13-May-14,1514,1515,1496,1509,2001961
12-May-14,1515,1521,1497,1508,1624050
9-May-14,1522,1525,1504,1511,2152071
8-May-14,1540,1550,1521,1532,2154921
7-May-14,1533,1545,1523.72,1545,1638530
6-May-14,1555,1555,1520,1531,1304652
2-May-14,1533,1543.28,1521,1530,1436590
1-May-14,1525,1858,1520,1529.84,523089
30-Apr-14,1524,1533.69,1510.15,1525,1810195
29-Apr-14,1504,1532,1501,1530,2212074
28-Apr-14,1497,1509,1487,1500,1021454
25-Apr-14,1490,1494.07,1485,1494.07,1032433
24-Apr-14,1501,1503,1480,1493,1584350
23-Apr-14,1511,1511.94,1493,1497,1307391
22-Apr-14,1502,1519,1497.22,1509.15,1169266
17-Apr-14,1506,1509,1491.25,1502,1089642
16-Apr-14,1501,1509,1492.12,1505,1475576
15-Apr-14,1472,1502.36,1469,1495,2324495
14-Apr-14,1462,1477,1461,1469,1598525
11-Apr-14,1461,1472,1455.36,1469,1329522
10-Apr-14,1490,1490,1467.08,1472,1578821
9-Apr-14,1479,1487,1472,1486.07,1495278
8-Apr-14,1478,1484,1463.25,1480,1542078
7-Apr-14,1467,1487.28,1460,1482,1311621
4-Apr-14,1463,1479.28,1463,1475,1159722
3-Apr-14,1483,1490,1459,1464,1569730
2-Apr-14,1493,1498,1478,1482,1384244
1-Apr-14,1469,1492,1462,1485.32,1625949
31-Mar-14,1515,1515,1466,1468.93,3365883
28-Mar-14,1490,1520,1486,1511,2016165
27-Mar-14,1507,1509,1471.25,1486.93,3553501
26-Mar-14,1512,1544.58,1497,1517.85,5058560
25-Mar-14,1470,1500,1470,1498,2712302
24-Mar-14,1500,1502,1470.12,1475,2703832
21-Mar-14,1485,1510,1481.12,1510,4485593
20-Mar-14,1462,1490,1457,1486,4837360
19-Mar-14,1439,1442,1428.25,1438,1443539
18-Mar-14,1422,1442.28,1409,1440,1918659
17-Mar-14,1419,1431,1414,1427,1978906
14-Mar-14,1409,1427,1409,1423,1974398
