Date,Open,High,Low,Close,Volume
27-May-14,404.3,417.58,400,413.8,1540048
23-May-14,401.4,406.03,400.1,401.6,1151433
22-May-14,401.9,406.8,400.8,401.5,1788612
21-May-14,402.2,405,399.5,402.2,1599941
20-May-14,399.3,404.4,397.9,402.7,1790542
19-May-14,398.4,402.2,396.1,397.7,2197767
16-May-14,393.2,397.6,386.8,397.5,2950131
15-May-14,400.5,402,386.94,392.4,2604274
14-May-14,403,406.3,399.1,400.1,1730400
13-May-14,403.1,406.8,400.6,406,2517897
12-May-14,397.1,406.7,397.1,403,3007702
9-May-14,398.8,398.8,387.9,396.5,4236806
8-May-14,419.7,419.7,389.3,399.5,5512052
7-May-14,426.1,428.02,420.5,422,2625005
6-May-14,423.5,427.4,422.38,427.4,1784923
2-May-14,424.6,424.6,419.9,422.5,2463435
1-May-14,425.1,428.85,420.6,420.8,1157533
30-Apr-14,418.7,426.4,418.7,426.4,2157639
29-Apr-14,418.6,426.7,416.8,419.9,2751769
28-Apr-14,416.7,421.7,416.1,418.3,1860105
25-Apr-14,414.2,417.1,412.6,417.1,1823855
24-Apr-14,413.6,419.7,410.6,415.8,1629346
23-Apr-14,411.2,412.4,409.4,411.7,1743775
22-Apr-14,403.1,413.9,402.08,411,3093389
17-Apr-14,399.7,403.9,396.2,403,1972244
16-Apr-14,395.6,399.4,395.36,398.7,1971188
15-Apr-14,388.2,393.6,387.5,391.7,2139103
14-Apr-14,388.2,389.7,383.4,389.7,2058890
11-Apr-14,395,395.5,381.9,390.6,2476378
10-Apr-14,405,409.24,399,399,2548771
9-Apr-14,395.3,404.7,394.3,402.2,1749877
8-Apr-14,401.6,403,393.7,395.1,2338254
7-Apr-14,405.3,408.1,402,403.2,1743219
4-Apr-14,413.4,415.3,409.2,410.1,1561147
3-Apr-14,418.2,419.4,413.2,413.9,1351443
2-Apr-14,417.9,422.5,417.6,418.26,1455368
1-Apr-14,419.6,420,415.4,418.24,1903967
31-Mar-14,420.9,422.3,417.3,418.08,1457739
28-Mar-14,418.4,423.2,416.7,420,1568470
27-Mar-14,424.6,426.6,417.2,418.28,2244524
26-Mar-14,430.1,432.7,425.6,427.3,2286573
25-Mar-14,424.2,434.7,423.17,429.9,2775676
24-Mar-14,423.5,433.1,417.2,423.5,2542205
21-Mar-14,419.3,424.4,417.2,424.4,3858585
20-Mar-14,421.8,423.1,416.2,420.2,1694188
19-Mar-14,415.6,426.3,413.7,424.4,2524617
18-Mar-14,410.6,416.4,410,415.9,2172849
17-Mar-14,404.1,413.7,403.2,411.1,1700896
14-Mar-14,407.1,409.2,401.7,403.1,1726904
13-Mar-14,411,412.3,408,409.2,1837670
12-Mar-14,413.6,415,410.2,411.2,1569108
11-Mar-14,418.1,418.1,415.5,416,1419274
10-Mar-14,420.5,421.3,415.8,417.5,1696146
7-Mar-14,424.7,425.4,419,419.4,1892059
6-Mar-14,425.2,426.8,420.8,422.9,1281058
5-Mar-14,423.9,425.4,422.4,423.5,1290625
4-Mar-14,424.7,427.4,423.4,424.4,2273478
3-Mar-14,426,426.5,419,422.8,1558931
28-Feb-14,432.4,433.9,429.8,431.7,2908281
27-Feb-14,434.6,435.2,429.2,433.2,1598513
26-Feb-14,435.7,438.9,433.9,435.3,1550150
25-Feb-14,429.5,436.7,426.8,435.5,3829525
24-Feb-14,423.4,430,420.8,429.4,2204142
21-Feb-14,425.8,426.3,422.4,423.4,2568858
20-Feb-14,420.6,424.3,417.9,424,1923422
19-Feb-14,422.5,424.1,421,422,1176545
18-Feb-14,421.4,423.7,418.5,422.7,1984423
17-Feb-14,414.2,422.2,413.4,420.9,1812791
14-Feb-14,414.7,417.4,414.4,416,1200617
13-Feb-14,417.7,419.9,411.6,415.1,2080783
12-Feb-14,421.2,424.6,418.6,419.6,2989722
11-Feb-14,420.6,428.1,419.8,428.1,2464045
10-Feb-14,415.5,420.2,414.6,420,1621957
7-Feb-14,413,419.9,413,416,1995189
6-Feb-14,407.9,414.1,407.9,412.9,2101798
5-Feb-14,414.3,415.8,406.9,407.2,1915293
4-Feb-14,406.2,417.6,402,414.8,2516362
3-Feb-14,407.1,417.5,407.1,409.5,2467224
31-Jan-14,419.7,419.7,406.4,408.3,3426316
30-Jan-14,418.3,421.5,413.8,420.5,1914497
29-Jan-14,425.8,428.2,416.4,418,2390676
28-Jan-14,415,428,414.8,423.5,2401672
27-Jan-14,421,422.2,412.1,415.5,2516813
24-Jan-14,430.9,433.2,416.8,419.5,3632283
23-Jan-14,426.8,432.2,423.9,431.4,3225842
22-Jan-14,414.4,438.8,414.4,426.9,3803995
21-Jan-14,411,413.7,408.9,413.1,1997258
20-Jan-14,411.7,412.2,409.3,411.7,1055203
17-Jan-14,404.2,411,404.2,410.8,2470670
16-Jan-14,399.5,406,398.6,405.7,1591482
15-Jan-14,394,401.3,393.9,400.5,1901217
14-Jan-14,398.5,402.9,393.2,393.6,2504087
13-Jan-14,400.3,402.2,399.1,401.7,847260
10-Jan-14,397,401.6,396,400.9,1503445
9-Jan-14,397.4,402.4,394.7,396.3,1920294
8-Jan-14,396.4,397.5,389.3,397.5,1829847
7-Jan-14,396.7,396.7,392.5,393.6,1382801
6-Jan-14,400.5,402.3,394.3,395.5,1911360
3-Jan-14,395.1,403.2,393.8,400.7,2091324
2-Jan-14,405.8,406.1,393.8,394.1,2885687
31-Dec-13,403.5,405.8,401.7,403.7,394914
30-Dec-13,406.6,407.8,401.5,401.6,2501781
27-Dec-13,403.1,407.6,402.8,406.2,1203062
24-Dec-13,401.6,404.7,401.6,403.1,212008
23-Dec-13,398.4,403.8,395.5,403.7,1475177
20-Dec-13,393.6,397,390.2,397,3959580
19-Dec-13,389.3,396.3,388.2,392.1,2020149
18-Dec-13,384,386.6,382.3,385.3,1875947
17-Dec-13,375.3,384.5,374.1,382.3,2363285
16-Dec-13,374.1,377.4,373.2,375,1746487
13-Dec-13,373.1,376.9,369.8,375.5,2127745
12-Dec-13,370.6,374.6,369.9,373.4,2408559
11-Dec-13,373.3,376.7,370.7,372.1,1954954
10-Dec-13,371.7,376.4,370.1,373,2086918
9-Dec-13,373,375.6,369.9,371.8,2726243
6-Dec-13,369.8,375.5,368.8,372.1,2100877
5-Dec-13,370,374,368.8,370,4503882
4-Dec-13,361.7,381.3,361.7,372.9,7530162
3-Dec-13,347.8,348.7,346.1,347.4,2062245
2-Dec-13,347.6,349.2,346.1,347.2,1169496
