Date,Open,High,Low,Close,Volume
27-May-14,345.9,345.9,338.5,339,5177888
23-May-14,343.6,346.3,339.9,343.7,4786675
22-May-14,339,343.4,337.1,342.5,6740134
21-May-14,339.7,339.9,334.7,337.7,6240664
20-May-14,345.5,345.5,337,339.5,6476669
19-May-14,349,349,337.4,344.98,6293569
16-May-14,331.4,348.5,329.5,347.68,12838276
15-May-14,328.9,333.5,326.44,332.78,6163285
14-May-14,327.8,328.85,323.8,327.7,5652988
13-May-14,337.9,341.34,336.2,339,7964716
12-May-14,337,337.4,332.4,336,3923576
9-May-14,332.3,336.7,329.97,335.8,4693687
8-May-14,325.5,332.2,320.3,331.2,7529406
7-May-14,340,345,322.1,323.9,14054969
6-May-14,323.1,334.5,320.73,333.4,7945255
2-May-14,324.2,327.3,320.11,321.3,7703852
1-May-14,332,332.1,320.6,324.8,6247317
30-Apr-14,331.5,335.7,328.7,335.7,7196884
29-Apr-14,330.5,334,329.56,333.2,5072177
28-Apr-14,323.5,334,321.3,330.5,6884097
25-Apr-14,323.8,325.2,320,322.1,3841323
24-Apr-14,321.9,325.3,320.85,323.7,4951006
23-Apr-14,320.1,321,316.9,319.8,5160600
22-Apr-14,316.7,321.5,315.82,320.5,4142303
17-Apr-14,322.3,322.3,311.1,314,7089035
16-Apr-14,324.1,324.4,316.8,320.6,7792819
15-Apr-14,326.5,328.2,318.6,319.4,9067928
14-Apr-14,309.2,326.5,308,326.5,9750999
11-Apr-14,308.4,312.3,307.2,309.6,3670884
10-Apr-14,313.5,313.6,307,309.6,5496998
9-Apr-14,309.2,312.9,308.7,312,7151405
8-Apr-14,309.9,311.8,301.5,308.5,12407558
7-Apr-14,309.8,312,308.87,310,5549261
4-Apr-14,310.1,312.3,308.88,311,7111034
3-Apr-14,315,315.1,308.7,309.1,6685551
2-Apr-14,311.3,313.73,307.41,313,5592704
1-Apr-14,316.2,316.3,308.7,309.9,7924045
31-Mar-14,318.4,318.4,315.5,316.1,5839083
28-Mar-14,314.3,317.9,313.8,317.1,5498228
27-Mar-14,312.8,315.2,309.7,313.5,6067979
26-Mar-14,310.3,315.2,309.5,312.9,6187684
25-Mar-14,313.9,314,306.9,310.3,9810922
24-Mar-14,311.7,313.4,307.8,310.4,9277711
21-Mar-14,306.7,310.3,303.51,309.5,21025782
20-Mar-14,308.2,308.9,305.2,306.9,9202237
19-Mar-14,312.4,314.6,308.9,310.5,12145418
18-Mar-14,306,321.4,305.8,313.9,16327230
17-Mar-14,314,314,307.5,311.4,9953270
14-Mar-14,303.3,314.9,301.7,313.6,18231405
13-Mar-14,318,318.1,304.6,304.9,41348866
12-Mar-14,333.6,336.7,329.6,333.2,6065131
11-Mar-14,337.4,338.2,332.6,333.8,11904109
10-Mar-14,339.3,342.4,337.3,337.6,5538671
7-Mar-14,344.2,344.8,339,339,7442162
6-Mar-14,347.2,347.7,344.3,344.3,3597941
5-Mar-14,345.1,346.5,341.4,345.9,3451589
4-Mar-14,338.5,345.1,337.8,344.6,4471151
3-Mar-14,338.9,341.6,335.7,337.2,8242872
28-Feb-14,348.5,350.3,341.8,342.6,7052269
27-Feb-14,346,349,342.9,347.7,5740944
26-Feb-14,350.3,353.2,341.1,345.5,6775620
25-Feb-14,349.1,350.1,345.2,350.1,7803283
24-Feb-14,350.2,351,345.8,347.8,5805650
21-Feb-14,353.3,353.3,349,350.1,6755470
20-Feb-14,348,354,345.6,350.8,7999334
19-Feb-14,345.7,354.4,342,348.1,11633997
18-Feb-14,346.6,347,342.5,345.7,5910956
17-Feb-14,345.8,346.5,341.3,345.2,5210404
14-Feb-14,352.7,353,344.6,345.2,8816261
13-Feb-14,350.8,352.6,346.4,352,5492546
12-Feb-14,353.3,357.2,349,350.8,9954071
11-Feb-14,356.7,360.3,345.8,348.9,12069879
10-Feb-14,352.5,357.4,352.3,356.2,4070286
7-Feb-14,354.4,355.5,349.9,351.1,3409215
6-Feb-14,352.3,354.4,348.5,353.6,9595306
5-Feb-14,347.4,354.6,346.3,349.3,5409499
4-Feb-14,350.2,354.5,346.9,347.3,7629709
3-Feb-14,344.4,349.1,342.6,345.5,4903800
31-Jan-14,349.5,351,341.8,344.9,6795847
30-Jan-14,347.9,351.2,345,349.7,7480301
29-Jan-14,359.7,361.2,335.9,348.5,21461788
28-Jan-14,359,360.4,355.2,356.7,3336949
27-Jan-14,362.5,367.4,356.7,357.4,5864210
24-Jan-14,359.5,364.1,356.2,362.1,8171815
23-Jan-14,364.5,367.2,355.6,358.8,9319620
22-Jan-14,367.1,369,364.3,365.32,3208912
21-Jan-14,367,372.7,364.1,366,8516125
20-Jan-14,368.8,369.7,363.9,366,4023874
17-Jan-14,368,371.5,366,368.6,13572275
16-Jan-14,356.4,362.4,355.5,361.1,9057396
15-Jan-14,362,362.6,356.2,356.2,7610853
14-Jan-14,350.5,360.5,349,360.5,10746788
13-Jan-14,348.4,353.5,348,351.2,7239066
10-Jan-14,353.4,355.3,345.4,346,9723166
9-Jan-14,355,356.4,349.7,351.4,13621016
8-Jan-14,380,383.3,357.6,360,18175996
7-Jan-14,365,368.9,360.5,368.9,8800688
6-Jan-14,374.8,374.8,367.5,367.8,4466348
3-Jan-14,370.6,374.8,367.6,374,5380303
2-Jan-14,366.2,369.4,363.6,367.4,5595628
31-Dec-13,373.5,373.5,365,365,2034432
30-Dec-13,378.1,379.2,369.3,371.1,4270941
27-Dec-13,375.2,378.4,372.5,378.4,2327803
24-Dec-13,372.9,376,371,371.8,845513
23-Dec-13,370.7,372.9,369.5,372.6,2686838
20-Dec-13,368.2,371.8,364.2,370.1,9132116
19-Dec-13,368.4,370,358.8,366,9090046
18-Dec-13,379.2,380,364.3,365.1,12268464
17-Dec-13,396.6,400,376.7,378.6,10579694
16-Dec-13,389.9,395.5,389.1,395.5,3867612
13-Dec-13,388.2,390.4,387.7,389.1,3333589
12-Dec-13,388.9,392.4,386.1,386.9,5304478
11-Dec-13,385.4,389,383.7,388,3749022
10-Dec-13,386.9,392.7,384.1,385.7,4699813
9-Dec-13,390.1,390.9,384.2,386.1,3228652
6-Dec-13,391.2,392.2,387.2,388.9,2864756
5-Dec-13,392.3,392.7,387.2,389.9,3801336
4-Dec-13,397.9,399.9,391.1,393,4040779
3-Dec-13,392.7,398.5,392.7,395.9,4505775
2-Dec-13,406.7,407.2,393.3,396.8,5681316
29-Nov-13,408.7,410.7,406.6,407.4,2341642
28-Nov-13,406.7,408.8,404.5,407.8,1717890
27-Nov-13,405.8,407.4,402.7,406,2209057
26-Nov-13,408.7,408.7,404.1,405.8,4158061
25-Nov-13,407.9,413.5,406,408.9,2377873
22-Nov-13,404.9,407.4,403.8,404.6,1756889
21-Nov-13,404,405.6,402.3,404.8,2167560
20-Nov-13,406.4,409.3,401.4,404.8,3490809
19-Nov-13,410.4,411.7,406.5,411.7,3622782
18-Nov-13,409.1,414.2,405.8,411.5,3852756
15-Nov-13,416.1,417.5,407.8,409,6903308
14-Nov-13,417.9,428,411.5,414.6,16699226
13-Nov-13,404.4,416.7,402.3,410.7,10274003
12-Nov-13,394.7,398.8,394.5,398.8,3886379
11-Nov-13,396.7,396.7,392.8,394,1647910
8-Nov-13,393.1,396.4,392.1,395,2884805
7-Nov-13,397,399.1,392.5,394.2,3260369
6-Nov-13,397.1,398.4,394.8,397,2388573
5-Nov-13,396.3,396.4,393.1,395.7,2058690
4-Nov-13,394,396.6,393.3,395.2,2069574
1-Nov-13,395.7,400.9,392.9,393.9,2703746
31-Oct-13,401.8,401.8,393.3,394.5,3554595
30-Oct-13,399.9,400.6,397.9,400.1,3228313
29-Oct-13,399.8,400.8,397.7,398,2523184
28-Oct-13,397.4,399.5,395.6,398.8,1700863
25-Oct-13,395.9,398,395,396.8,2038667
24-Oct-13,395.7,398.2,393.9,396.1,2276163
23-Oct-13,399.1,0,392.4,396.5,4372855
22-Oct-13,398.7,400.9,395.1,398.5,2457038
21-Oct-13,396.8,399.9,395.4,397.3,4826721
18-Oct-13,397,398.4,394.5,395,4519774
17-Oct-13,398.2,399.6,396.2,396.5,3169858
16-Oct-13,395.9,399.7,393.3,397.6,2340932
15-Oct-13,392.5,397.2,392.5,395.3,2945674
14-Oct-13,388.8,392.1,386.5,390,1953814
11-Oct-13,389.5,390.7,387.5,388.5,1731991
10-Oct-13,385.6,391,384.8,388.7,2694292
9-Oct-13,384.1,385.5,382.6,384.2,2135702
8-Oct-13,388.2,388.2,384.3,384.3,2438252
7-Oct-13,388.7,392.4,386.6,387.7,1893689
4-Oct-13,389.1,391.3,388.8,389.8,2294729
3-Oct-13,387.4,391.1,385.3,388.7,3452129
2-Oct-13,392,393.2,378.6,385.3,4699814
1-Oct-13,390.4,392.4,387.8,390.2,3313456
30-Sep-13,392.9,392.9,389.4,391.5,3048296
27-Sep-13,398.9,399.9,393.5,394.7,2302817
26-Sep-13,395.3,401.1,395,398,3446845
25-Sep-13,400,400,393.1,394.4,3145593
24-Sep-13,395.9,401.9,395.6,398,3651418
20-Sep-13,395,400.8,393.6,396.4,7642868
19-Sep-13,391.8,393.2,389.6,391,2313086
18-Sep-13,394.3,394.7,389.3,389.5,3126611
17-Sep-13,395.6,399.2,393.9,393.9,2688238
16-Sep-13,400.8,403.3,396.5,396.8,2967876
13-Sep-13,400.6,402.7,396.9,397.2,2632048
12-Sep-13,396.5,402,395.8,400.8,3457937
11-Sep-13,397.1,399.2,395.5,396.1,3040874
10-Sep-13,395,399.3,394.8,396.3,3532273
9-Sep-13,393.4,394.2,392.2,392.8,1340660
6-Sep-13,388.9,396,388.9,393.5,1999296
5-Sep-13,390,390.7,384.7,388.4,1926662
4-Sep-13,387.1,389.9,382.2,388.6,2328159
3-Sep-13,387,388.6,385.4,386,4515597
2-Sep-13,387.1,389.3,385.9,387,2361503
30-Aug-13,391.5,391.5,384.6,384.6,3460987
29-Aug-13,393.9,393.9,388.9,390.2,2768491
28-Aug-13,398.1,398.1,390.7,391.3,3139147
27-Aug-13,398.2,400,395.4,398.7,4299744
23-Aug-13,389.5,398.6,388.9,398.2,4962422
22-Aug-13,387.1,390.8,386.5,388.3,1909459
21-Aug-13,388.8,389.4,384.7,386,2779825
20-Aug-13,387.2,387.7,384.4,387.6,2404020
19-Aug-13,383,388.8,381.7,388.4,1980812
16-Aug-13,384.6,386.3,382,383.6,2323755
15-Aug-13,390.2,390.9,380.5,384.5,2248691
14-Aug-13,391.1,392.2,387.6,390.3,1496974
13-Aug-13,392,394.5,388.5,390.8,1630314
12-Aug-13,395,395,390.3,391.9,1744152
9-Aug-13,393,395.3,391.7,395,1933964
