Date,Open,High,Low,Close,Volume
27-May-14,2588,2620,2570,2618.13,261215
23-May-14,2584,2584,2556.72,2571,111893
22-May-14,2569,2579,2543,2574.13,177917
21-May-14,2519,2559.13,2514,2559.13,270788
20-May-14,2488,2525,2488,2517,241479
19-May-14,2508,2514,2477,2491,264379
16-May-14,2600,2608,2482,2501,565271
15-May-14,2624,2711,2593,2597,418031
14-May-14,2635,2637,2611,2617,120855
13-May-14,2617,2635,2610.84,2627,114259
12-May-14,2606,2619,2597,2615,142283
9-May-14,2613,2613,2591,2602,95803
8-May-14,2596,2620,2584,2620,217030
7-May-14,2608,2622,2585,2593,243924
6-May-14,2614,2625,2599,2614,196199
2-May-14,2605,2613,2581,2613,179218
1-May-14,2575,2655.05,2575,2609,111663
30-Apr-14,2550,2594.5,2547,2556,181176
29-Apr-14,2544,2594.57,2537,2558,181688
28-Apr-14,2543,2589.7,2533,2540,203581
25-Apr-14,2545,2582.23,2529,2541,169644
24-Apr-14,2546,2594.56,2526,2549,169004
23-Apr-14,2572,2610.59,2532,2533,177391
22-Apr-14,2566,2587,2562,2571,183146
17-Apr-14,2461,2566,2459.38,2559,237212
16-Apr-14,2484,2485,2444,2454.75,276639
15-Apr-14,2497,2529.85,2451,2457,210792
14-Apr-14,2541,2577.4,2484,2494,270129
11-Apr-14,2596,2606,2533,2553,226205
10-Apr-14,2645,2645,2616,2623,229365
9-Apr-14,2626,2657,2618,2631,258506
8-Apr-14,2668,2668,2610,2621,300172
7-Apr-14,2667,2676,2653,2670,236577
4-Apr-14,2675,2719,2670,2700,207085
3-Apr-14,2689,2698,2671,2678,218842
2-Apr-14,2669,2695,2660,2683,333903
1-Apr-14,2600,2663,2600,2651.64,277230
31-Mar-14,2594,2612,2589.26,2598,363680
28-Mar-14,2576,2595,2568,2578,257898
27-Mar-14,2572,2581,2555,2567,151289
26-Mar-14,2570,2598,2557,2582,216445
25-Mar-14,2586,2608,2568.38,2608,186798
24-Mar-14,2625,2644,2570,2574,308700
21-Mar-14,2675,2679,2629,2629,336220
20-Mar-14,2654,2686,2652,2674,406819
