Date,Open,High,Low,Close,Volume
27-May-14,356.10,360.13,353.90,355.00,2306450
23-May-14,356.30,357.40,350.10,352.30,1797233
22-May-14,350.60,357.08,350.60,355.10,1457416
21-May-14,350.90,352.00,348.30,350.40,2139554
20-May-14,354.90,355.00,349.70,352.00,3176807
19-May-14,350.70,354.70,346.10,354.40,1509151
16-May-14,348.40,351.60,346.40,350.30,2226124
15-May-14,347.60,351.68,335.26,349.50,4438497
14-May-14,349.00,356.30,344.30,352.80,3925379
13-May-14,348.60,351.30,346.00,348.50,1841022
12-May-14,347.70,351.70,340.10,347.30,2518003
9-May-14,351.20,351.50,344.30,346.80,2374785
8-May-14,354.40,357.80,351.00,353.30,2294574
7-May-14,350.50,357.10,348.90,353.50,3533178
6-May-14,355.40,362.90,349.20,350.00,2890649
2-May-14,339.70,357.90,337.80,353.40,3760355
1-May-14,325.00,349.20,315.60,340.00,10446682
30-Apr-14,342.50,343.80,336.33,340.10,4180634
29-Apr-14,335.00,344.50,313.20,343.80,11158439
28-Apr-14,406.00,409.10,401.50,404.50,1021433
25-Apr-14,408.00,408.00,400.10,403.60,1258691
24-Apr-14,410.00,412.70,404.60,407.90,1078455
23-Apr-14,411.90,411.90,406.70,407.10,698270
22-Apr-14,406.00,412.40,405.90,410.70,1471007
17-Apr-14,407.40,408.30,402.00,405.30,1336808
16-Apr-14,415.00,415.80,405.70,407.20,1241938
15-Apr-14,413.70,416.60,409.50,412.70,1135925
14-Apr-14,413.10,418.20,408.32,412.00,1416504
11-Apr-14,418.70,420.10,411.00,414.40,1400957
10-Apr-14,425.90,431.20,419.30,421.20,800643
9-Apr-14,420.50,429.80,420.50,425.00,960330
8-Apr-14,421.50,423.40,416.00,419.50,1413510
7-Apr-14,423.20,427.90,420.00,421.50,1151379
4-Apr-14,423.60,426.80,422.60,425.70,1004942
3-Apr-14,431.10,431.10,420.20,422.50,1133923
2-Apr-14,426.10,429.70,422.50,424.20,1192500
1-Apr-14,423.70,428.90,421.10,424.04,1192819
31-Mar-14,422.70,424.90,416.10,421.00,1713542
28-Mar-14,417.70,423.70,415.30,420.60,1258663
27-Mar-14,420.10,422.00,412.31,415.40,1965061
26-Mar-14,422.40,427.00,418.20,418.30,1396087
25-Mar-14,420.60,423.90,418.20,420.80,1397716
24-Mar-14,427.40,428.00,417.50,418.50,2049864
21-Mar-14,431.50,435.30,425.70,427.30,1966857
20-Mar-14,433.50,435.00,430.00,432.90,1579205
19-Mar-14,434.10,443.30,434.10,436.20,2050887
18-Mar-14,433.00,439.60,433.00,437.50,1295694
17-Mar-14,437.70,437.70,428.30,435.90,1855857
14-Mar-14,432.00,436.90,423.40,436.50,2270718
13-Mar-14,445.10,445.60,433.00,435.10,2276060
12-Mar-14,454.80,454.80,443.20,445.00,2772602
11-Mar-14,472.30,474.50,460.00,462.40,3374634
10-Mar-14,483.50,490.20,470.10,471.50,3356878
7-Mar-14,470.60,484.60,466.30,475.09,1863062
6-Mar-14,468.70,473.10,462.90,470.80,1609122
5-Mar-14,455.00,469.40,449.90,466.90,2510896
4-Mar-14,450.10,475.90,437.60,467.20,4615856
3-Mar-14,456.30,458.60,441.10,449.80,3724287
28-Feb-14,453.00,463.50,434.30,460.50,9230767
27-Feb-14,405.20,411.10,402.20,410.80,1157997
26-Feb-14,413.90,417.70,405.90,405.90,1146664
25-Feb-14,414.10,416.50,408.70,414.40,1657749
24-Feb-14,406.00,414.40,402.90,412.90,1166528
21-Feb-14,400.50,405.00,399.40,404.80,1508021
20-Feb-14,398.40,400.40,395.50,400.00,1008409
19-Feb-14,398.50,400.10,394.80,399.60,1009067
18-Feb-14,398.70,399.30,394.00,398.10,1316960
17-Feb-14,399.70,403.00,393.80,397.60,1201163
14-Feb-14,397.60,400.00,394.00,399.70,1253811
13-Feb-14,403.30,403.90,393.00,395.20,1421268
12-Feb-14,412.10,417.00,401.90,403.00,1301845
11-Feb-14,404.30,412.50,403.40,412.50,2121925
10-Feb-14,396.50,404.10,392.40,404.00,2259601
7-Feb-14,398.70,403.40,394.10,396.20,2545538
6-Feb-14,424.10,427.50,393.30,398.80,4428518
5-Feb-14,424.60,428.10,420.90,424.00,2342955
4-Feb-14,424.90,429.90,419.20,426.30,1776891
3-Feb-14,432.00,436.00,428.50,430.00,2957200
31-Jan-14,412.00,446.20,410.00,437.10,7038215
30-Jan-14,508.00,525.00,419.40,423.20,13944193
29-Jan-14,517.00,522.50,505.50,509.50,1490955
28-Jan-14,513.00,517.00,512.50,515.50,1252006
27-Jan-14,509.50,517.50,505.50,513.00,1534887
24-Jan-14,501.00,510.00,499.90,509.00,1730754
23-Jan-14,508.00,509.50,500.00,502.50,1335096
22-Jan-14,508.50,515.00,507.00,512.00,1082102
21-Jan-14,508.00,515.50,508.00,513.50,986241
20-Jan-14,512.00,512.00,504.50,509.50,1020100
17-Jan-14,513.50,517.50,498.30,510.00,1531454
16-Jan-14,515.50,516.00,508.50,512.00,1201125
15-Jan-14,516.50,520.50,514.00,520.12,1217451
14-Jan-14,513.00,516.50,506.50,508.57,1341737
13-Jan-14,508.50,517.00,507.00,514.50,1379586
10-Jan-14,489.10,505.00,482.00,505.00,2316438
9-Jan-14,504.50,512.00,500.50,503.00,982913
8-Jan-14,504.00,506.00,500.50,505.50,1166199
7-Jan-14,506.50,508.50,497.90,503.96,1282318
6-Jan-14,504.00,515.00,504.00,509.45,998102
3-Jan-14,497.20,511.50,496.20,503.50,1144439
2-Jan-14,498.30,502.00,498.00,495.18,1731554
31-Dec-13,496.20,503.50,496.10,499.20,224742
30-Dec-13,490.10,501.50,488.00,497.60,1313902
27-Dec-13,478.80,491.30,478.80,490.60,1168153
24-Dec-13,487.40,489.20,482.50,482.60,295286
23-Dec-13,478.50,489.00,476.30,485.20,1995848
20-Dec-13,479.10,483.10,469.40,472.31,3543786
19-Dec-13,440.00,487.20,434.00,476.60,11735388
18-Dec-13,442.70,449.40,442.00,448.80,2236896
17-Dec-13,442.80,444.60,439.40,443.20,1931772
16-Dec-13,441.60,445.10,435.60,445.00,1750715
13-Dec-13,438.00,441.70,435.10,437.60,2516547
12-Dec-13,444.10,444.10,433.80,438.50,2656045
11-Dec-13,444.20,448.40,443.30,444.50,1751404
10-Dec-13,442.60,445.70,439.50,443.90,2368371
