Date,Open,High,Low,Close,Volume
27-May-14,1930,1932,1893,1898.91,503365
23-May-14,1939,1941.84,1922,1924,313684
22-May-14,1927,1945,1923,1941.19,379371
21-May-14,1931,1940,1912,1926.9,439570
20-May-14,1926,1935,1916,1928,396398
19-May-14,1914,1929,1905,1918.19,480087
16-May-14,1907,1913,1896,1909,462250
15-May-14,1904,1916,1880,1900.9,469259
14-May-14,1884,1900,1878,1899.91,384142
13-May-14,1895,1897,1872,1887,267491
12-May-14,1871,1894,1863.82,1885,439793
9-May-14,1858,1870.14,1838,1865,426825
8-May-14,1863,1876,1843,1865,352330
7-May-14,1843,1863,1835.44,1861,447027
6-May-14,1833,1850.4,1829,1837,364375
2-May-14,1854,1855.25,1832,1833,385571
1-May-14,1840,1864,1818.98,1848,319814
30-Apr-14,1817,1859,1810,1845,929921
29-Apr-14,1796,1824,1791,1824,357469
28-Apr-14,1801,1801,1776,1794,402294
25-Apr-14,1798,1806,1784,1794.09,333322
24-Apr-14,1809,1815,1790,1800,370652
23-Apr-14,1799,1806.49,1793.32,1800,232165
22-Apr-14,1782,1810,1780,1800.18,289391
17-Apr-14,1798,1805,1782,1782,663251
16-Apr-14,1801,1801,1776,1800,405890
15-Apr-14,1755,1795,1752.05,1787,754755
14-Apr-14,1761,1768,1745,1759,457695
11-Apr-14,1789,1795,1767,1770,480582
10-Apr-14,1806,1811,1792,1801,437392
9-Apr-14,1792,1821,1792,1803,414532
8-Apr-14,1812,1823,1792,1795,450132
7-Apr-14,1823,1832.67,1811,1816,312956
4-Apr-14,1820,1841,1819,1829,344888
3-Apr-14,1856,1863,1816.22,1818,376210
2-Apr-14,1856,1870,1850,1855,338717
1-Apr-14,1825,1857.74,1822.52,1856.1,581742
31-Mar-14,1834,1846,1821,1823,569546
28-Mar-14,1830,1842,1815,1829,509987
27-Mar-14,1858,1862,1821,1823,591279
26-Mar-14,1886,1892,1854,1856,603598
25-Mar-14,1873,1895.17,1868,1883,478036
24-Mar-14,1884,1887.3,1856,1871,640980
21-Mar-14,1857,1891,1850.35,1888,926729
