Date,Open,High,Low,Close,Volume
27-May-14,3407,3454,3388,3441.17,895121
23-May-14,3375,3389,3334,3381,735769
22-May-14,3365,3391,3330,3363,703687
21-May-14,3320,3381,3308,3374,855476
20-May-14,3367,3411,3322,3329,1004029
19-May-14,3283,3362,3250,3352.66,1560722
16-May-14,3280,3292,3227,3265.84,1823215
15-May-14,3336,3352,3256.99,3270,1149793
14-May-14,3356,3363,3314,3340.83,817605
13-May-14,3313,3346,3292,3345,1361176
12-May-14,3327,3624.9,3278,3284.84,1404350
9-May-14,3360,3389,3294,3309,1561551
8-May-14,3315,3402,3315,3400,1468231
7-May-14,3347,3356,3289,3304,1414366
6-May-14,3460,3460,3343,3358.83,2181632
2-May-14,3456,3581,3419.68,3467,2597039
1-May-14,3393,4133,3328,3450,1689717
30-Apr-14,3300,3393,3269,3378,2341907
29-Apr-14,3389,3491,3225,3263,5190383
28-Apr-14,3272,3315,3251,3286,2244505
25-Apr-14,3313,3363,3185,3210,2665827
24-Apr-14,3245,3303,3217,3248,2949491
23-Apr-14,3163,3203,3152,3189,2878057
22-Apr-14,3071,3159.13,2969.3,3145.69,4298409
17-Apr-14,2905,2927,2893,2925,1253336
16-Apr-14,2880,2913,2866,2900.29,1990643
15-Apr-14,2847,2892,2839,2853.71,1401319
14-Apr-14,2856,2885,2827,2864,1364733
11-Apr-14,2902,2905,2843,2875,1901225
10-Apr-14,2932,2990,2928,2937,2280892
9-Apr-14,2903,2933.98,2898,2906,1560978
8-Apr-14,2900,2913,2854,2884,2071120
7-Apr-14,2930,2938,2896,2906,1711575
4-Apr-14,2976,2985,2950.98,2961,1060907
3-Apr-14,2990,2995,2955,2962,1252545
2-Apr-14,2964,2992,2962,2982,1209829
1-Apr-14,2964,2979,2952,2964.55,1689522
31-Mar-14,3000,3034,2937,2945,2295568
28-Mar-14,3050,3075,2937,3021,3719895
27-Mar-14,3049,3062,3031,3035,1636633
26-Mar-14,3010,3075,2997,3055,1628763
25-Mar-14,2985,3039,2985,3005,2085746
24-Mar-14,3056,3066,2995,2997,1864056
21-Mar-14,3114,3123,3063,3064,4258568
20-Mar-14,3139,3148,3095,3111,1495390
19-Mar-14,3130,3161,3128.2,3150,1751347
18-Mar-14,3120,3140,3104,3124,1391457
17-Mar-14,3105,3139,3092,3135,1858933
14-Mar-14,3109,3109,3078,3091,2326200
13-Mar-14,3212,3215,3136,3137,1631148
12-Mar-14,3279,3279,3206,3211,1391378
11-Mar-14,3257,3300,3242,3284,1043630
10-Mar-14,3252,3331,3249,3258.33,1334391
7-Mar-14,3260,3294,3228,3256,1650497
6-Mar-14,3370,3379,3289,3290,1599991
5-Mar-14,3430,3444,3366,3371.56,1542872
4-Mar-14,3325,3441,3325,3439,2175607
3-Mar-14,3279,3303,3260,3297.33,1930418
28-Feb-14,3414,3420,3297,3320,5373711
27-Feb-14,3397,3422,3384,3415,1307924
26-Feb-14,3410,3426,3388,3412,1132532
25-Feb-14,3406,3416,3373,3410,1916996
24-Feb-14,3372,3410,3358,3410,1531322
