Date,Open,High,Low,Close,Volume
27-May-14,950.5,962.5,949,953,1845200
23-May-14,956,959,938,948,1690957
22-May-14,937,958,934.5,956,2819161
21-May-14,922,936,920.5,936,2604075
20-May-14,920.5,926.5,914.5,920,2007908
19-May-14,929,931.5,916.5,918.5,1742404
16-May-14,921.5,927.5,915,927.5,2013133
15-May-14,926,930.5,915.5,920,1057857
14-May-14,930.5,934,920.5,924,1194210
13-May-14,930,934,921,928.5,2054215
12-May-14,913,926.5,909,926.5,1581906
9-May-14,917.5,917.5,908.5,911,1795107
8-May-14,916,923,913.5,918.5,1395260
7-May-14,915,918.64,911,916.17,1244213
6-May-14,916,919.5,909.36,913.5,2363361
2-May-14,904,919,903.5,917.5,2139205
1-May-14,918,924,905,905,1565450
30-Apr-14,929,935.5,912.5,919.5,2640743
29-Apr-14,927.5,938,927.5,933,2489786
28-Apr-14,919.5,931,919,924.5,3155571
25-Apr-14,905.5,919,898,915,4265206
24-Apr-14,881,918,879.5,909,6725286
23-Apr-14,876.5,880.69,872.6,879.5,1613782
22-Apr-14,877,884,871,875.41,2124331
17-Apr-14,866,872.1,862.5,866,1721534
16-Apr-14,869,872.5,858.5,860.5,2233137
15-Apr-14,877.5,883.5,869,871.5,1893707
14-Apr-14,881.5,882.5,872,874.5,1700247
11-Apr-14,896,896,877.5,884,1786337
10-Apr-14,902,910,897.5,901.5,1146923
9-Apr-14,895.5,908.95,895.5,901,1844991
8-Apr-14,908,909.49,896,899.5,2592750
7-Apr-14,912.5,914.5,903.5,910.5,2278230
4-Apr-14,912,920.5,903.5,920,1954889
3-Apr-14,912,917.5,908.5,910.5,1524679
2-Apr-14,918,924,910,911.5,2008011
1-Apr-14,910.5,923.5,909.22,919.85,2143239
31-Mar-14,922.5,926.5,906,909,3123260
28-Mar-14,917,928,912.16,921.5,2344727
27-Mar-14,911,913,899.5,900,2227943
26-Mar-14,919.5,926,911,913.05,2183671
25-Mar-14,911,925,908.25,919.5,1234137
24-Mar-14,920.5,923,911,911,1476506
21-Mar-14,928,930.22,920.5,922,2538137
20-Mar-14,931,933,922.5,925.5,1821179
19-Mar-14,939,942,934,935,1605839
18-Mar-14,925,939.5,923,939.5,2127757
