Date,Open,High,Low,Close,Volume
27-May-14,1325,1339,1296.52,1308,792019
23-May-14,1270,1326,1257,1322,1002445
22-May-14,1315,1322,1309,1314.93,633665
21-May-14,1302,1319.53,1299,1314.93,558707
20-May-14,1305,1309,1301,1303,651331
19-May-14,1305,1315,1299.95,1301.93,622873
16-May-14,1333,1335,1299,1303.93,667676
15-May-14,1342,1349,1328,1333.93,524599
14-May-14,1350,1352,1337,1342,392141
13-May-14,1342,1361,1339.3,1346,587133
12-May-14,1318,1335,1316,1335,463824
9-May-14,1319,1326,1314,1319,413589
8-May-14,1315,1328,1312.42,1321,578108
7-May-14,1317,1323,1309,1310,809658
6-May-14,1325,1338,1320,1320,725339
2-May-14,1340,1344.72,1317,1321,747379
1-May-14,1340,1346,1324,1341,322153
30-Apr-14,1311,1335,1309,1335,1117285
29-Apr-14,1286,1319,1286,1310,1130613
28-Apr-14,1287,1299,1282,1290,1011238
25-Apr-14,1279,1298,1275,1280,734750
24-Apr-14,1276,1303.95,1272,1281,883973
23-Apr-14,1270,1278,1266.07,1268,477414
22-Apr-14,1249,1273,1246,1268,708837
17-Apr-14,1242,1255,1241,1254,516929
16-Apr-14,1247,1249,1239,1240,862830
15-Apr-14,1236,1251,1234,1238,754937
14-Apr-14,1226,1249,1221,1237,957262
11-Apr-14,1244,1250.75,1219,1229,755244
10-Apr-14,1253,1268,1245,1248,656847
9-Apr-14,1249,1264,1243,1250,713210
8-Apr-14,1223,1243,1217,1242,1089060
7-Apr-14,1244,1245,1223,1225,649255
4-Apr-14,1270,1270,1243,1252,992200
3-Apr-14,1273,1278,1266,1266,572403
2-Apr-14,1286,1301,1272,1272,792465
1-Apr-14,1280,1285.55,1272,1279.23,605439
31-Mar-14,1277,1285.49,1269,1272,1288788
28-Mar-14,1275,1281,1265,1271,525909
27-Mar-14,1272,1274.76,1260,1267,723513
26-Mar-14,1283,1287,1266,1275,968419
25-Mar-14,1283,1301,1281,1288,627084
24-Mar-14,1315,1315,1280,1280,1178771
21-Mar-14,1325,1330,1318,1323,1643502
20-Mar-14,1281,1319,1279,1317,1556431
19-Mar-14,1295,1307,1257,1301,2396132
18-Mar-14,1334,1355.82,1329,1351,668791
17-Mar-14,1332,1347,1331,1339,817382
14-Mar-14,1336,1345,1326,1332,644784
13-Mar-14,1355,1355,1343,1343,734311
12-Mar-14,1365,1365,1348,1351,1198652
11-Mar-14,1353,1376,1349,1368,530350
10-Mar-14,1362,1378,1353,1354,728628
7-Mar-14,1374,1381,1362,1362,865027
6-Mar-14,1384,1384,1368,1375,592787
5-Mar-14,1375,1377,1368,1370,838593
4-Mar-14,1356,1380,1356,1373,932080
3-Mar-14,1349,1351,1329,1343,816208
28-Feb-14,1348,1372,1335,1368,1070522
27-Feb-14,1367,1370,1340,1346,1108957
26-Feb-14,1390,1397,1370,1370,693207
25-Feb-14,1400,1404,1381,1386,1261296
24-Feb-14,1373,1402,1359,1399,939115
21-Feb-14,1362,1380,1358,1373,997438
20-Feb-14,1403,1406,1389,1390,742977
19-Feb-14,1398,1429,1392,1410,887027
18-Feb-14,1387,1404,1381,1401,694333
17-Feb-14,1374,1397,1373,1381,259594
14-Feb-14,1374,1383,1372,1377,582282
13-Feb-14,1376,1379,1359,1375,837427
12-Feb-14,1397,1398,1376,1376,958880
11-Feb-14,1393,1393,1378,1391,1097006
10-Feb-14,1406,1408,1381,1386,756773
7-Feb-14,1401,1408,1396,1403,582678
6-Feb-14,1390,1402,1379,1395,809506
5-Feb-14,1397,1397,1372,1375,1203048
4-Feb-14,1404,1412,1391,1396,1011333
3-Feb-14,1435,1452,1410,1411,972111
31-Jan-14,1426,1438,1407,1438,1141260
30-Jan-14,1441,1442,1419,1430,638342
29-Jan-14,1465,1471,1421,1445,929444
28-Jan-14,1431,1451,1430,1451,602663
27-Jan-14,1460,1460,1425,1433,716371
24-Jan-14,1508,1516,1465,1470,537367
23-Jan-14,1526,1530,1498,1504,590967
22-Jan-14,1527,1533,1515,1524,544291
21-Jan-14,1516,1535,1516,1525,488123
20-Jan-14,1524,1524,1516,1520,232105
17-Jan-14,1510,1526,1510,1523,560405
16-Jan-14,1513,1523,1503,1516,384870
15-Jan-14,1524,1528,1512,1515,588937
14-Jan-14,1494,1527,1485,1516,746217
13-Jan-14,1489,1508,1487,1505,443375
10-Jan-14,1491,1500,1480,1490,593864
9-Jan-14,1496,1497,1474,1488,523496
8-Jan-14,1492,1504,1476,1492,806641
7-Jan-14,1469,1483,1469,1480,548110
6-Jan-14,1460,1475,1458,1470,464542
3-Jan-14,1469,1471,1459,1463,748504
2-Jan-14,1489,1489,1468,1471,828069
31-Dec-13,1482,1495,1477,1480,132572
30-Dec-13,1483,1491,1472,1483,291295
27-Dec-13,1483,1492,1479,1490,245586
24-Dec-13,1465,1476,1465,1476,91200
23-Dec-13,1452,1468,1444,1468,343990
20-Dec-13,1430,1454,1425,1452,1058817
19-Dec-13,1432,1434,1416,1430,508923
18-Dec-13,1400,1415,1385,1412,471663
17-Dec-13,1393,1397,1379,1396,640879
16-Dec-13,1363,1398,1363,1396,361369
13-Dec-13,1374,1385,1363,1367,580192
12-Dec-13,1385,1398,1375,1379,674715
11-Dec-13,1394,1415,1386,1390,632875
10-Dec-13,1387,1414,1385,1399,994742
9-Dec-13,1377,1378,1368,1378,528745
6-Dec-13,1342,1371,1336,1371,655905
5-Dec-13,1332,1344,1327,1343,576500
4-Dec-13,1348,1352,1325,1339,539911
3-Dec-13,1362,1362,1337,1348,466214
2-Dec-13,1378,1378,1359,1360,288490
29-Nov-13,1367,1380,1358,1374,362318
28-Nov-13,1370,1389,1370,1371,373861
27-Nov-13,1374,1387,1374,1386,425579
26-Nov-13,1374,1386,1370,1378,560895
25-Nov-13,1364,1376,1364,1375,434635
22-Nov-13,1370,1376,1360,1361,722211
21-Nov-13,1379,1383,1370,1370,423167
20-Nov-13,1384,1396,1375,1382,807388
19-Nov-13,1419,1422,1378,1400,1164715
18-Nov-13,1429,1435,1418,1433,394278
15-Nov-13,1440,1442,1423,1431,620668
14-Nov-13,1419,1441,1419,1440,547975
13-Nov-13,1425,1432,1407,1407,738795
12-Nov-13,1434,1437,1426,1428,727397
11-Nov-13,1442,1445,1435,1437,310762
8-Nov-13,1422,1440,1420,1436,411924
7-Nov-13,1433,1454,1430,1432,545857
6-Nov-13,1419,1436,1419,1431,340551
5-Nov-13,1442,1442,1409,1418,513212
4-Nov-13,1427,1445,1422,1443,539539
1-Nov-13,1435,1435,1417,1423,379410
31-Oct-13,1419,1435,1416,1435,752167
30-Oct-13,1421,1425,1409,1416,498899
29-Oct-13,1399,1415,1398,1414,536626
28-Oct-13,1415,1423,1396,1399,372820
25-Oct-13,1404,1416,1398,1415,604451
24-Oct-13,1397,1415,1397,1405,529006
23-Oct-13,1391,0,1383,1397,679415
22-Oct-13,1441,1456,1428,1455,753106
21-Oct-13,1410,1435,1407,1433,666412
18-Oct-13,1399,1407,1391,1402,639735
