Date,Open,High,Low,Close,Volume
27-May-14,783,793,772.5,790,1672697
23-May-14,770.5,786,767.5,774,1458741
22-May-14,757,771,752.5,769,1300254
21-May-14,722,753,718.5,751,1294194
20-May-14,720.5,728,717,724,1164245
19-May-14,722,727.66,707.5,720,1136220
16-May-14,731.5,738,689,718.5,3248231
15-May-14,772,785,728,730,3026931
14-May-14,772.5,773.38,760.5,762.5,929760
13-May-14,764,776,762,773,1122088
12-May-14,772.5,779.5,758.5,762,814667
9-May-14,781,785.31,767.5,768.5,608241
8-May-14,790,790.1,777.5,783.5,555142
7-May-14,780,791.5,776,789,897902
6-May-14,788,793.5,774.5,782,840353
2-May-14,792,800,785.5,788.5,581485
1-May-14,786,794.5,777.46,794.5,392428
30-Apr-14,775,787,775,783,731364
29-Apr-14,775,782,769,776.5,858558
28-Apr-14,781,787.5,769.5,770.5,633612
25-Apr-14,789.5,793,776.5,779.5,1083249
24-Apr-14,797.5,805,783,789.5,1077258
23-Apr-14,830,835,790.61,797,2051625
22-Apr-14,803.5,830.5,801.5,830,1616037
17-Apr-14,786.5,806.5,785.95,799,1240963
16-Apr-14,760,798.84,760,787.5,2583402
15-Apr-14,745,762,723,745.5,2916773
14-Apr-14,765,769,730.05,740.5,2316089
11-Apr-14,801.5,804.06,770.5,771,1610698
10-Apr-14,823,826,807,810,1473729
9-Apr-14,811,828,808.76,822.5,2003279
8-Apr-14,850,852,791,840,5311910
7-Apr-14,913,917,891.5,893.5,860537
4-Apr-14,915.5,924.5,911,922,656423
3-Apr-14,907,917,899.61,916,1169771
2-Apr-14,893.5,921.68,893.5,917,1334141
1-Apr-14,852.5,893,852.5,892.5,1291144
31-Mar-14,864.5,873.46,844.5,852,797928
28-Mar-14,873.5,881.5,862.5,866.17,526063
27-Mar-14,860.5,869,857,865,573348
26-Mar-14,856.5,866,853.05,860.5,730520
25-Mar-14,839,852.5,838.5,852.5,489265
24-Mar-14,831,844.5,827,838,907469
21-Mar-14,844,845,834.5,835.92,3349688
20-Mar-14,847,854,843,846,866407
19-Mar-14,855.5,859,844,855,763878
18-Mar-14,851.5,862.5,847.5,849.32,837996
17-Mar-14,826,859.5,826,858.5,879537
14-Mar-14,835,837.5,823,825,1168223
13-Mar-14,838,844,836,836,1292472
12-Mar-14,840,843,832,840,1276733
11-Mar-14,810,848,810,838,927244
10-Mar-14,823.5,829,808.5,809,708873
7-Mar-14,812.5,827.5,806.5,822,820759
6-Mar-14,811.5,818,810,812.3,472154
5-Mar-14,823.5,823.5,806.5,812,478708
4-Mar-14,808.5,824.5,806.5,821.5,627999
3-Mar-14,801.5,803.5,786.5,798.5,504539
28-Feb-14,801.5,807.5,796,806.5,453699
27-Feb-14,799,807,785.5,789.25,580128
26-Feb-14,804.5,807.5,797.5,800,553497
25-Feb-14,795,808.5,789.5,804.19,1103638
24-Feb-14,778,793.5,776,793.5,443376
21-Feb-14,779,783.5,772.5,777,547159
20-Feb-14,769.5,779.5,760,776,592723
19-Feb-14,734.5,780.5,725,767,1682189
18-Feb-14,723,723,709.5,716,424090
17-Feb-14,722.5,722.5,715,721,403753
14-Feb-14,715,726,715,719,313579
13-Feb-14,718.5,720.5,708.5,717.5,376239
12-Feb-14,711.5,723.5,707,717,642800
11-Feb-14,693,717.5,689.5,708,880629
10-Feb-14,691.5,695,685,685,519225
7-Feb-14,701.5,704,691,691,736600
6-Feb-14,680,704.5,675,701.5,551781
5-Feb-14,678.5,685.5,673.5,681,487088
4-Feb-14,680,686,675,681.5,556832
3-Feb-14,678.5,688.5,675,680,571545
31-Jan-14,678,684,662.5,684,553278
30-Jan-14,684,689,669,676.59,418627
29-Jan-14,690,697,674.5,679,603388
28-Jan-14,693.5,703,684.5,687,567829
27-Jan-14,715,715,694.5,694.5,405445
24-Jan-14,710.5,717,701,708,553954
23-Jan-14,715.5,715.5,695,706,531971
22-Jan-14,717,720,709,710,363627
21-Jan-14,713.5,717,711.5,713.5,325918
20-Jan-14,710,721,705,714.5,213257
17-Jan-14,726,728,712,712,489910
16-Jan-14,735.5,740,719.5,721,792294
15-Jan-14,737.5,750.5,735.5,745.79,404245
14-Jan-14,745,747,736.5,740,536937
