Date,Open,High,Low,Close,Volume
27-May-14,1344.5,1351.42,1336,1343.93,2669481
23-May-14,1339,1346,1334,1341.07,2418571
22-May-14,1330,1342,1324.82,1339.63,3866756
21-May-14,1336,1336.5,1324.5,1331,2705185
20-May-14,1331,1350.18,1323.5,1339.5,6644346
19-May-14,1331.5,1339.5,1323.5,1333.57,3991157
16-May-14,1310,1339.5,1310,1336,6138182
15-May-14,1309,1326.5,1297.5,1308,4122741
14-May-14,1310,1316,1206.64,1313.93,3251599
13-May-14,1294,1314.5,1289.5,1308,4342191
12-May-14,1297,1297.5,1283,1291.94,2303009
9-May-14,1303,1303,1286,1292,3395520
8-May-14,1283,1329.5,1278.36,1306,6018656
7-May-14,1276.5,1287,1271.62,1280.5,3927401
6-May-14,1287.5,1289,1277.5,1280.5,2406280
2-May-14,1291,1294,1282,1287.5,2414881
1-May-14,1292,1296,1281.75,1289,1320249
30-Apr-14,1305,1305,1274.5,1281.37,4736935
29-Apr-14,1283,1309.5,1282,1305.13,4045467
28-Apr-14,1288,1288.73,1277.5,1282.37,4254222
25-Apr-14,1298.5,1299,1280,1293.44,3814109
24-Apr-14,1295.5,1305.94,1292.5,1301,4051939
23-Apr-14,1307,1307.5,1279,1291.5,6158939
22-Apr-14,1326.5,1327,1309,1311.63,5165462
17-Apr-14,1325,1327,1305,1325.5,4024318
16-Apr-14,1327.5,1328.5,1311.5,1325,2710466
15-Apr-14,1343,1344,1316,1322,6232530
14-Apr-14,1311,1347,1311,1345.63,5121537
11-Apr-14,1320.5,1329.5,1313,1321.5,4322138
10-Apr-14,1319.5,1333.8,1317.5,1328.5,5764789
9-Apr-14,1300,1342.5,1291.23,1327,11006105
8-Apr-14,1260,1298.5,1256.5,1290.5,8873573
7-Apr-14,1260.5,1271.5,1250,1255,4378480
4-Apr-14,1262.5,1272.72,1258,1264,3195411
3-Apr-14,1279,1282.5,1261,1264.5,4621580
2-Apr-14,1265,1286.98,1257,1281,4266560
1-Apr-14,1255,1269.94,1250.5,1265.45,3726353
31-Mar-14,1261,1267.5,1248.5,1253.56,6983605
28-Mar-14,1236.5,1268,1230,1259.5,8015886
27-Mar-14,1235.5,1235.5,1225.5,1232.06,5658152
26-Mar-14,1223.5,1276,1218.5,1235.12,8212779
25-Mar-14,1205,1224.5,1201.5,1221,6597940
24-Mar-14,1209.5,1210,1196.5,1201.5,4969925
21-Mar-14,1185,1206,1185,1200.5,10128287
20-Mar-14,1180.5,1190.5,1176.5,1184.5,4769078
19-Mar-14,1200,1203,1179.82,1185,6316879
18-Mar-14,1193.5,1232.42,1187.5,1197,4282354
17-Mar-14,1188.5,1203,1186.7,1192,3719944
14-Mar-14,1188,1200,1182.5,1190.5,5203667
13-Mar-14,1205.5,1210,1192,1192,5282600
12-Mar-14,1218.5,1222.5,1197.5,1203,7547386
11-Mar-14,1253.5,1257.5,1227,1249,4983489
10-Mar-14,1265,1275,1238,1247.5,5034698
7-Mar-14,1258,1280,1248,1265,4941070
6-Mar-14,1251.5,1261,1220,1259,7340641
5-Mar-14,1276.5,1330,1242.5,1248,10451055
4-Mar-14,1260.5,1281,1259.5,1274.5,4819266
3-Mar-14,1246,1262.5,1235.5,1251.87,6164725
28-Feb-14,1262.5,1271,1242,1265,8454501
27-Feb-14,1287,1287.5,1270.5,1280.5,4035819
26-Feb-14,1282.5,1293,1275.5,1289.5,3973442
25-Feb-14,1299,1301,1270.5,1284.5,7295424
24-Feb-14,1310.5,1313.5,1287.5,1305,5092740
21-Feb-14,1322.5,1322.5,1309,1316,4095886
20-Feb-14,1302.5,1321.5,1299.5,1320,3943816
19-Feb-14,1318,1328.5,1311,1316,3237530
