Date,Open,High,Low,Close,Volume
27-May-14,395.5,399.51,395,399,2213844
23-May-14,397,399.3,393.5,394.6,2186086
22-May-14,392,394.2,389,393.1,2752759
21-May-14,386.7,390.9,385.22,390.9,2023114
20-May-14,388.5,392.6,386.3,386.7,2248422
19-May-14,388.6,390.5,387,388.2,2577675
16-May-14,387.2,388.1,383.92,387.2,3123559
15-May-14,392.5,394.38,386.4,387.2,2659287
14-May-14,391.4,392.74,388.43,390.8,2325889
13-May-14,390.8,391,388.2,390.7,1737856
12-May-14,387.6,390.2,385.32,389.4,2109898
9-May-14,385,386.7,382.02,386.5,2105694
8-May-14,385,388.1,383.33,385.6,1746950
7-May-14,386.2,389.5,380.8,384.1,3080026
6-May-14,387.4,389.8,384,387.98,2625563
2-May-14,386.4,387.05,382.9,384.5,2324267
1-May-14,387.7,395.48,381.8,385.3,1528712
30-Apr-14,385.7,390.56,367.1,382.2,4346748
29-Apr-14,376.2,390.57,376.2,386,3500342
28-Apr-14,378.5,388.79,374.62,376,1911032
25-Apr-14,382.5,392.31,375,377.2,2403045
24-Apr-14,385.3,400.02,380.9,383.4,2602149
23-Apr-14,382.3,383.08,380.82,382.5,1946208
22-Apr-14,379.2,383.6,378.62,382,2276945
17-Apr-14,373.2,378.32,371.72,378,1915717
16-Apr-14,369.7,381.58,368.22,369.21,1879484
15-Apr-14,372,382.27,365.8,367,2224915
14-Apr-14,372.5,381.23,366.2,371.6,2543143
11-Apr-14,375.2,385.94,372,373.7,2498415
10-Apr-14,384.3,393.58,377.6,377.9,3419062
9-Apr-14,375,392.19,375,381.8,3295946
8-Apr-14,392.3,393.2,383.5,385.5,4894308
7-Apr-14,392.8,397,391.3,392.8,2863458
4-Apr-14,392.5,398.1,391.3,396.2,3287340
3-Apr-14,392.8,397.78,389.5,390.6,4246490
2-Apr-14,382.6,389.1,381.3,389.1,5171823
1-Apr-14,379.6,381.2,377.7,380,3770802
31-Mar-14,381.6,383.3,376.6,377.48,5218016
28-Mar-14,384.3,384.7,367.9,380.3,9667047
27-Mar-14,399.9,399.9,383.95,386.3,5397230
26-Mar-14,379.6,400.9,379.4,400,7823408
25-Mar-14,367.1,376.08,367.1,373.8,3670045
24-Mar-14,367.1,368.7,365.4,366.1,4458162
21-Mar-14,363.7,368.8,362.1,366,7652192
20-Mar-14,351.8,362.8,350.92,362.7,7189367
19-Mar-14,366.6,367.4,340.7,354,9258375
18-Mar-14,361.1,368.3,360.45,365.4,3822711
17-Mar-14,359.6,364.05,358.77,362.1,2229339
14-Mar-14,360.7,362.9,357.6,358.4,2996997
13-Mar-14,369.7,369.7,362.6,362.8,2757958
12-Mar-14,368.6,370.7,366.5,366.5,3091345
11-Mar-14,372.5,373.2,369.4,370.1,3045999
10-Mar-14,375.5,378.6,371.8,372,3166833
7-Mar-14,380.4,380.8,375.3,375.7,4487818
6-Mar-14,384.5,384.9,379.6,379.6,3656608
5-Mar-14,386.8,387.7,381.7,381.7,3647476
4-Mar-14,383.8,389.7,383.8,385.6,3561228
3-Mar-14,383.9,384,376.6,379,3369753
28-Feb-14,382.8,390.5,376.6,390,7073597
27-Feb-14,386.2,387.6,370,381.8,4407124
26-Feb-14,389.7,390.4,385.2,385.2,3469414
25-Feb-14,389.3,390.4,387,389.1,7031721
24-Feb-14,385.7,388.8,383.8,388.8,4961118
21-Feb-14,391.6,393.2,385.6,387.4,4219448
20-Feb-14,392.4,394.7,384.5,388.7,3677879
19-Feb-14,388.9,392,386.5,391.9,3024845
18-Feb-14,390.6,390.8,384.9,389.2,4322471
17-Feb-14,385.4,390.3,384.3,389.2,3160752
14-Feb-14,387.1,387.5,384.8,386.7,2032584
13-Feb-14,387.8,388.7,382.9,387,3952712
12-Feb-14,385.8,390.2,384.8,388,4204794
11-Feb-14,380,386.4,379.9,384.9,5180837
10-Feb-14,377.9,379.5,375.2,378.7,2620598
7-Feb-14,376.2,380.5,374.6,377.3,3538482
6-Feb-14,369,376,366.8,375.3,3981519
5-Feb-14,366.4,368.6,364.7,367.1,3949251
4-Feb-14,358.7,366.9,355.9,366,3790492
3-Feb-14,365.7,367,358.9,361,3545078
31-Jan-14,369.9,369.9,358.7,365.6,2984506
30-Jan-14,371.8,372.2,365.1,370.8,3067951
29-Jan-14,375.1,376,367.1,371.9,4261188
28-Jan-14,369.2,372,367.8,371.5,3521949
27-Jan-14,372.9,374.5,366.8,368,3547864
24-Jan-14,382.2,383,370.5,373.8,3970554
23-Jan-14,389.3,390.7,379.3,381.7,4002286
22-Jan-14,387,390.2,386.3,390.1,3279164
21-Jan-14,382,385.9,381.9,383.9,2242417
20-Jan-14,383.6,384.6,381.9,382.2,2031246
17-Jan-14,383.4,386.9,381.8,384.2,3288955
16-Jan-14,387,390.2,380.9,382,2435609
15-Jan-14,383.1,387.5,380.2,385.9,4982220
14-Jan-14,374.8,377.6,372.3,377.1,1866439
13-Jan-14,378.6,380.3,376,377,2236940
10-Jan-14,372,377.2,370.6,376.7,3368599
9-Jan-14,370.6,372.8,367.6,369.4,2819663
8-Jan-14,366.8,371.3,364.9,370.9,3668589
7-Jan-14,360.1,366.6,360.1,365.8,3137854
6-Jan-14,363,364.4,358.4,360.1,2243714
3-Jan-14,356,362.7,355.5,362,3044994
2-Jan-14,361.1,361.1,354.2,354.8,2208583
31-Dec-13,360,360.3,356.3,359.6,651471
30-Dec-13,357.4,359.8,356.4,358.9,1438646
27-Dec-13,358.2,358.7,354.7,357.3,1776217
24-Dec-13,357.1,360,356.5,357,857179
23-Dec-13,353.3,358.3,352.5,356.8,2207078
20-Dec-13,353.8,355.1,350.6,353.8,4338136
19-Dec-13,345.4,353.1,344,352.7,3780596
18-Dec-13,341.5,343.5,339.9,340.3,2467981
17-Dec-13,341,341.3,338.7,339.9,2662618
16-Dec-13,336.5,342.5,335.4,341.8,2428560
13-Dec-13,335.1,338.1,333.8,336.3,2489375
12-Dec-13,337.9,338,331.7,334.4,2520829
11-Dec-13,338,339.6,336.3,338,3897118
10-Dec-13,341.4,341.6,337.5,338.5,3072746
9-Dec-13,343.2,344.1,337.6,341.2,2660755
6-Dec-13,340,341,336.2,340.4,3361745
5-Dec-13,337.8,342.1,336.5,337.9,3082841
4-Dec-13,339,341.4,336.7,338.9,3761433
