Date,Open,High,Low,Close,Volume
27-May-14,408.5,413.4,408.5,410.5,1727750
23-May-14,408.1,410,403.2,405.2,921635
22-May-14,402.7,410,402.5,407.82,1690611
21-May-14,400.5,410.5,398.3,402.82,3002639
20-May-14,407,409.1,396.5,402.02,3871214
19-May-14,408.3,413.6,401.4,406.02,2607600
16-May-14,423.8,424,404.7,407.7,3019673
15-May-14,433.8,438.6,420.4,423.82,1848866
14-May-14,435,437.1,428.5,432.6,1552750
13-May-14,445.4,449.8,430.1,433.8,2613053
12-May-14,446.6,446.67,438.8,441.6,1294483
9-May-14,438.4,445.7,433.9,444.5,1716461
8-May-14,438.7,440,435.5,437.82,767472
7-May-14,433.4,439.3,432,436.6,1507633
6-May-14,432.3,437.4,431.1,433.89,1011767
2-May-14,435.8,435.8,430.3,431.8,835213
1-May-14,429.7,436.1,429.7,434.4,356248
30-Apr-14,426.7,430.1,424,427.8,1670668
29-Apr-14,424,429.1,424,428.2,1514944
28-Apr-14,428.4,429.5,420.4,421.8,962546
25-Apr-14,427.1,428.4,423.9,426,782934
24-Apr-14,430,430.6,421.9,428.2,1024741
23-Apr-14,427.2,431.5,424.9,427.9,845695
22-Apr-14,422.8,428.6,420.2,413.56,1109741
17-Apr-14,415.4,422.3,414.8,417.8,1500383
16-Apr-14,415.3,416.8,411.8,414.3,1176212
15-Apr-14,415.4,420,408.5,412,1770472
14-Apr-14,420.8,421.8,407.7,414.9,1750278
11-Apr-14,429.1,430.1,421,423.76,2481017
10-Apr-14,436.3,442.7,432,432.7,1740523
9-Apr-14,424.2,435,424.1,434.1,2132054
8-Apr-14,437.7,438.2,421.9,422.9,2132304
7-Apr-14,437.8,438.9,433.7,435.8,942673
4-Apr-14,441,443,439.8,440.9,1014371
3-Apr-14,445.1,445.1,439.3,440.4,1150931
2-Apr-14,444.8,447.4,441.3,441.9,878110
1-Apr-14,438.9,446.8,438.9,443.93,1596265
31-Mar-14,439.3,442,437.2,438,1346339
28-Mar-14,444.1,445.5,435.8,437.3,1418318
27-Mar-14,441.2,442.4,439.5,442,1351476
26-Mar-14,439.7,448.2,436.5,442.7,1874366
25-Mar-14,430.1,442.02,429.7,439.9,2473684
24-Mar-14,436.2,437.7,428.4,429.1,2244435
21-Mar-14,439.6,442.5,435.8,435.8,4151979
20-Mar-14,438.8,440.2,433.6,440,1276111
19-Mar-14,441.9,442.9,439.2,442,1938036
18-Mar-14,432.8,440.6,431.5,435.12,2512708
17-Mar-14,425.9,433.1,425,429.99,1285960
14-Mar-14,425.8,427.4,421.3,424.36,1582917
13-Mar-14,433.6,434.2,428.1,431.48,1339045
12-Mar-14,428,432.8,427.8,432.2,1397088
11-Mar-14,430.4,434,427.6,429.5,952612
10-Mar-14,430.3,434.2,428.2,429.8,1652799
7-Mar-14,431.7,433.2,426.6,430,1358808
6-Mar-14,440,440.6,428.7,430.8,1564178
5-Mar-14,438.9,442.3,434.5,435.1,1505445
4-Mar-14,440.2,450.8,440.2,450,1318213
3-Mar-14,441.7,441.7,433.7,437.8,1288617
28-Feb-14,445.9,448.3,443.4,447.3,1637616
27-Feb-14,445.2,447.3,441.8,445,1292943
26-Feb-14,447.9,448.2,444.3,445.4,1308695
25-Feb-14,447,448.4,443.8,447.9,1938114
24-Feb-14,441.9,446.6,441.2,446.6,1352809
21-Feb-14,442.3,445.7,441.8,443.5,1862452
20-Feb-14,439.7,442,433.8,442,2581856
19-Feb-14,449.1,450.7,441.3,441.6,2321187
18-Feb-14,444.8,450.9,442.4,448.6,2882532
17-Feb-14,438.4,444.5,438.4,443.3,746078
14-Feb-14,441.4,443.3,439.1,439.8,1179276
13-Feb-14,438.5,442.9,436,442.3,1324322
12-Feb-14,438.3,440,436.2,438,1553329
11-Feb-14,434.4,438.5,433.3,436.9,1623396
10-Feb-14,435.7,438.4,432.2,433,1013089
7-Feb-14,425.6,436.9,424.6,433.5,2621663
6-Feb-14,424.2,428.5,413.5,423.8,2899505
5-Feb-14,420.5,425.7,419.3,424.4,2371475
4-Feb-14,421.6,425,416.5,421.2,1469760
3-Feb-14,423.8,428.4,419.6,423,2131149
31-Jan-14,425.5,428.1,416.2,425.4,2007937
30-Jan-14,420.8,426,417.4,425,1576195
29-Jan-14,419.4,428.4,416.6,422,2526910
28-Jan-14,408.3,418.5,408.2,418,2097620
27-Jan-14,412.3,412.3,405,408.1,1449957
24-Jan-14,421.7,426.9,411.1,412.4,1967437
23-Jan-14,426.6,429.8,419.1,420,1127178
22-Jan-14,424.2,427.5,423.4,426.8,1509861
21-Jan-14,428.3,431.5,421.1,423.8,1310561
20-Jan-14,428.7,431.6,427.6,428.8,862986
17-Jan-14,428.6,434.8,427.7,428.5,1534098
16-Jan-14,427.5,429.4,425.2,427.1,1448312
15-Jan-14,420.4,430.3,419.9,427.5,2018324
14-Jan-14,417.3,422.2,415.1,421.3,1445381
13-Jan-14,414.4,422.3,414.4,421.3,1566637
10-Jan-14,411.5,417.6,411.5,414.4,1546556
9-Jan-14,413.7,418.6,409.5,411.3,1705965
8-Jan-14,413.7,415.8,412.6,413.5,1124073
7-Jan-14,416,416,411.2,413.7,2067435
6-Jan-14,412.8,416.1,409.5,415.3,1014177
3-Jan-14,403.5,414,403.5,412,1326656
2-Jan-14,413.2,413.2,404.5,404.8,1068679
31-Dec-13,410.1,413.1,407.4,413.1,534545
30-Dec-13,407.9,410.1,405.7,408.2,762693
27-Dec-13,406.5,409.3,403.1,409.3,803021
24-Dec-13,406,407.3,403.3,404.6,136683
23-Dec-13,398.6,405,398.2,405,788060
20-Dec-13,399.3,403.2,392.9,398.1,3460084
19-Dec-13,398.7,401.6,398.2,400.5,1809188
18-Dec-13,392.1,398,392.1,396,1956559
17-Dec-13,390.5,395.3,389.8,391.9,2138000
16-Dec-13,383.6,392,380.7,390,1913935
13-Dec-13,377.7,386.3,376.6,383.7,2517292
12-Dec-13,376.8,379.4,372,379.4,2216024
11-Dec-13,380,384.2,376.6,376.9,1811662
10-Dec-13,396.7,396.7,371.8,378.3,3038287
9-Dec-13,379.2,384.6,377.4,384,1943135
6-Dec-13,375,378.8,374.7,378.1,3055478
5-Dec-13,366.8,378.4,366.4,374.6,4020461
4-Dec-13,371.3,374.8,368.2,368.3,1760708
3-Dec-13,375.8,376.7,369.7,371.5,1619509
2-Dec-13,368.1,376.1,366.3,375.3,2244420
29-Nov-13,369.7,374.3,367.3,367.3,3300055
28-Nov-13,365.8,370.2,365.5,369.7,2315949
27-Nov-13,361.3,363.5,360.5,362.8,2503736
26-Nov-13,363.1,368.8,361.6,361.6,2837878
25-Nov-13,362,364.9,358.5,362.8,3711839
22-Nov-13,368,371.1,359,359,12831057
21-Nov-13,386.8,391.3,385.5,389.3,1106004
20-Nov-13,388.8,389,384.2,388.1,1003789
19-Nov-13,385,389.2,384.9,388.2,1230152
18-Nov-13,386,392.1,386,387.2,1360780
15-Nov-13,381.5,390.1,380.4,388.4,1423448
14-Nov-13,380.3,385.9,379.1,381.1,1005633
13-Nov-13,382.7,383.1,376,377.7,873657
12-Nov-13,382.4,383.7,380,382.3,987607
11-Nov-13,383.9,384.2,381.4,381.9,609844
8-Nov-13,378.9,382.2,374.5,382.2,1000995
7-Nov-13,384.7,384.9,378.5,379.7,841791
6-Nov-13,377.9,387.8,377.4,383.6,1836602
5-Nov-13,380.4,381.4,374.5,375.1,1308663
4-Nov-13,380,381.1,375.3,379.2,1685896
1-Nov-13,386.4,386.4,379.6,380,1043506
31-Oct-13,386,389.6,383.8,385,1439542
30-Oct-13,383.8,389.5,383.6,385.5,1513772
29-Oct-13,381.7,384.3,380.6,384,952650
28-Oct-13,385.7,387.3,380.8,381.8,933607
25-Oct-13,380.6,385.2,380.6,385.2,1141228
24-Oct-13,381,385.1,380.3,382.6,966664
23-Oct-13,379.6,0,378.6,380.5,689537
22-Oct-13,380.7,380.9,377.8,380.8,1042965
21-Oct-13,380.7,383.1,378.6,382.2,1175083
18-Oct-13,375.1,379.1,372.4,379.1,1452342
17-Oct-13,367.2,374.7,365.3,373.2,2227315
16-Oct-13,373.4,379.2,371.6,376.8,1799389
15-Oct-13,371.9,375.9,371.6,375,1134004
14-Oct-13,368.3,369.8,365.8,369.7,774187
11-Oct-13,364,369.9,363.7,369.6,1103783
10-Oct-13,360,366.4,360,365,1767814
9-Oct-13,361.1,361.2,357.6,359.2,1046200
8-Oct-13,368.8,369.8,360.3,361.9,1594104
7-Oct-13,365.1,369.1,363.3,369.1,1172269
4-Oct-13,369.2,370.3,365,368.3,1060632
3-Oct-13,363.4,370.1,362.8,369.8,1229289
2-Oct-13,367.3,368.4,363.2,364.8,1362297
1-Oct-13,368.7,370.7,365.8,368.5,1297642
30-Sep-13,363.1,368.5,361.8,367.7,1821911
27-Sep-13,372,372,364.9,368.2,1968323
26-Sep-13,362,370.4,360.1,370.4,3685113
25-Sep-13,355.4,357.6,351.7,356.4,1692874
24-Sep-13,357.9,360.3,354.9,356.5,1612734
20-Sep-13,360.4,364.7,359.3,360.9,1888887
19-Sep-13,360.5,366.3,359.2,361.5,1590330
18-Sep-13,356.7,358.2,353,357.1,1086329
17-Sep-13,359.1,361.1,356.9,357.1,1079362
16-Sep-13,358.2,361.6,357.3,358.8,984901
13-Sep-13,356.1,357.6,351.1,353.5,1469497
12-Sep-13,361,364.4,355.4,356,2397544
11-Sep-13,353.7,356.2,352.6,354.58,1431553
10-Sep-13,348.3,355.5,347.7,354.4,2678523
9-Sep-13,338.8,348.3,337.9,347.4,2532500
6-Sep-13,333.4,338.9,333.4,338.2,1687611
5-Sep-13,336.9,340.9,332.8,335.4,2720813
4-Sep-13,339.8,339.8,329.2,334.6,3379235
3-Sep-13,347.6,350.9,344,345.7,2007229
2-Sep-13,345.5,352.5,345.5,348.3,989559
30-Aug-13,349,349.2,343,344.4,1514543
29-Aug-13,341.1,348.9,341.1,348.3,1627929
28-Aug-13,342.1,345.6,336.5,341.3,3587529
27-Aug-13,357.6,360.1,343.9,343.9,2395539
23-Aug-13,357.7,360.3,355.7,357.4,1422255
22-Aug-13,354.3,361,354.3,357.5,1685038
21-Aug-13,359,359,354.6,354.6,1319672
20-Aug-13,359.6,359.7,354.6,357.5,1286108
19-Aug-13,359.7,363.5,357.3,361.6,1252876
16-Aug-13,361.1,363.3,356.3,359.4,2742545
15-Aug-13,378.1,383.1,361.8,362.7,2851217
14-Aug-13,379.5,385.5,379.5,383.7,1637363
13-Aug-13,380.2,383.4,378,380,1386308
12-Aug-13,377.6,381.2,375.2,380.2,1583496
9-Aug-13,382.5,382.5,376,376.8,1536879
8-Aug-13,380.5,386.4,378,380.4,1837146
7-Aug-13,397.6,398.2,375.7,380.8,4686278
6-Aug-13,391.6,401.5,391.6,401.5,3332896
5-Aug-13,389.7,392,387.5,392,1074673
2-Aug-13,387,390.5,384.7,387.8,1542491
1-Aug-13,383.1,386.8,382.6,386.1,2038413
31-Jul-13,376.9,383.8,376.9,379.88,1815492
30-Jul-13,372.3,380.9,372.2,379.7,2083958
29-Jul-13,371,375.6,369.2,370.1,756437
26-Jul-13,374.5,376.1,368.4,369.6,738424
25-Jul-13,371.3,376.6,369,374.1,1286392
24-Jul-13,366.4,377.8,364.2,377.3,1952681
23-Jul-13,368.4,370,364.2,367.38,1268888
22-Jul-13,366.5,369.4,365.6,367.3,1179106
19-Jul-13,372.4,372.94,366.9,367.1,1120889
18-Jul-13,365,374.4,364.8,373.7,1520035
17-Jul-13,368.2,368.2,362.7,365.4,1271449
16-Jul-13,376.4,377.5,359.7,365.5,1807537
15-Jul-13,374.4,378.3,374.4,376.6,998656
12-Jul-13,372.2,374.9,371.2,374.1,1256189
11-Jul-13,380.3,380.4,370.4,370.8,1399385
10-Jul-13,376,381.74,374.36,376.4,1492455
9-Jul-13,377.1,379.9,373.6,376.6,1479331
8-Jul-13,373,377.6,371,373.7,854919
5-Jul-13,370.8,377.8,367.4,370.1,2229230
4-Jul-13,364.1,370.6,359.03,369.9,1903496
3-Jul-13,354,360.2,352.9,360.2,1652763
2-Jul-13,366.1,368.6,354.6,356.1,2359024
1-Jul-13,359.4,365.7,355.5,364.9,1577379
28-Jun-13,360.6,362.5,351.8,356.9,2324795
27-Jun-13,352.4,364.7,351.2,361.9,1687466
26-Jun-13,344.6,357.3,344.6,351.7,2238819
25-Jun-13,337.1,345.7,334.7,344.6,2266936
24-Jun-13,344.9,345.9,334,335.6,2031537
21-Jun-13,341.6,352.84,341.6,345.5,4264042
20-Jun-13,343.3,347.44,339.9,340.4,1386084
19-Jun-13,352,352.7,346.4,348.9,1120485
18-Jun-13,346.1,351.2,345.25,348.5,1531476
17-Jun-13,346.1,350.8,346.1,346.1,1159024
14-Jun-13,342.5,348.1,340.8,346.3,1951062
13-Jun-13,335.1,342.3,333.3,341,1807543
12-Jun-13,340.4,343.4,338.2,339.4,1010296
11-Jun-13,344.9,345.2,337.6,340.3,1253393
10-Jun-13,343.4,348.7,341.5,346.2,2110894
7-Jun-13,336.5,344.5,336.3,343.5,1753284
6-Jun-13,341.4,345.7,335,335,1899817
5-Jun-13,354.2,355.09,341.1,341.1,2531535
4-Jun-13,356,361.2,353.5,354.9,1708429
3-Jun-13,355.5,358.2,353.3,353.9,2058489
31-May-13,362,362,356.7,358.5,2201528
30-May-13,358.4,363.3,357.6,362.67,1730365
29-May-13,368.7,370.6,359.2,359.6,2735159
28-May-13,365,374.1,365,369.2,2815145
24-May-13,364.7,366.6,355.1,358.5,2140688
23-May-13,366,371.7,361.7,362.6,4170842
22-May-13,369.8,374.7,369.8,373.2,2126736
21-May-13,371.4,372.3,365.03,370.9,2842955
20-May-13,372.6,372.6,368,372.2,1454545
17-May-13,368.9,372.4,367.1,371.8,2373097
16-May-13,355.8,372.1,355.4,368.8,4923385
15-May-13,350.1,356.8,349.51,355.4,3490719
14-May-13,345,350,342,347.2,3427898
13-May-13,348.4,350.7,346.2,350.5,3028487
10-May-13,350,352.2,342.4,346.9,3675907
9-May-13,337.2,342.8,335.7,340.6,1964130
8-May-13,333.8,338.3,331.1,338.2,1988652
7-May-13,324.5,338.4,324.1,335,3289765
3-May-13,316.9,325.9,316.9,324.1,1404749
2-May-13,316.1,317.9,312,317,1706766
1-May-13,316.1,319.3,314.3,319,791406
30-Apr-13,319.9,322.2,311.6,314.3,2255593
29-Apr-13,318.3,321.2,317.3,318.7,1760880
26-Apr-13,316.8,318.9,312.5,318,1308904
25-Apr-13,314.3,318.8,312.7,318,1340608
24-Apr-13,317.6,317.6,312.8,314.8,1398573
23-Apr-13,304.8,318.8,303,318.3,2514214
22-Apr-13,304.3,310.2,304.2,304.8,1784838
19-Apr-13,304.5,304.5,300.7,303.8,2462701
18-Apr-13,303.6,305.8,300,303.7,2359826
17-Apr-13,306.7,307.2,301.1,303.4,2822795
16-Apr-13,305.7,307,302.3,305.3,1503099
15-Apr-13,312.2,313.5,306.7,308,1592551
