Date,Open,High,Low,Close,Volume
27-May-14,680.5,683.5,664.5,668.5,1412583
23-May-14,690,691,680.5,680.5,734719
22-May-14,688,694,687.5,688,438284
21-May-14,685.5,695,685.5,688,1028013
20-May-14,691,691,678.5,686,722890
19-May-14,689,693.5,686.5,689,825132
16-May-14,688,693.5,686.48,690,1130466
15-May-14,690.5,692,674,688,982901
14-May-14,694.5,697.5,686.5,689.5,648040
13-May-14,696,702,686,692.5,1258359
12-May-14,694.5,696.5,685,694,1028653
9-May-14,693,696.5,688.5,692,834581
8-May-14,701,701.5,688.83,692.5,947636
7-May-14,700,700.5,690,698,944725
6-May-14,703.5,706.5,697,706,829968
2-May-14,701,701,691,700.5,646440
1-May-14,703.5,707,692,697.5,286529
30-Apr-14,699.5,705,695.65,701,1187867
29-Apr-14,695,707.5,693.5,702,1449888
28-Apr-14,706.5,707.25,683,692.5,1297758
25-Apr-14,680,721,676,704,3747082
24-Apr-14,661.5,672,658,669.5,1456163
23-Apr-14,656.5,659,654.5,657,662097
22-Apr-14,657,660.5,653.6,656,682857
17-Apr-14,656.5,656.5,646.5,654.5,532332
16-Apr-14,651,658,645.5,655,998079
15-Apr-14,656.5,657,646,647.5,1015194
14-Apr-14,663,672.5,652,655,1389829
11-Apr-14,665.5,670.5,664.5,664.5,829251
10-Apr-14,673.5,674,665,670,1191728
9-Apr-14,653,675,652.04,670.5,1819120
8-Apr-14,654.5,657,646.5,651.5,1397170
7-Apr-14,653.5,660,652,655.5,777761
4-Apr-14,651,658,647.95,655.5,1003157
3-Apr-14,650,650,641.46,646.5,1561415
2-Apr-14,655.5,660,647,650.5,1826372
1-Apr-14,670.5,671.5,655.5,657,1310277
31-Mar-14,670,672.07,662,667.5,1882719
28-Mar-14,669,671.5,665,667.5,782369
27-Mar-14,666,668,660.5,665.5,1058948
26-Mar-14,661,669,655.5,667.5,1178038
25-Mar-14,648.5,661,647,658.5,1272832
24-Mar-14,650.5,653,645,649,1306139
21-Mar-14,644.5,660.5,644,649.5,13819286
20-Mar-14,632.5,646.5,632.5,643.5,1858440
19-Mar-14,638.5,640,632.5,636,1303848
18-Mar-14,632.5,639.85,630,637.5,1457544
17-Mar-14,634.5,638.24,631.88,637,1559271
14-Mar-14,621.5,636.5,618.5,635,2021276
13-Mar-14,632,634.5,624,624,1786492
12-Mar-14,640.5,642,630.5,631,1874354
11-Mar-14,642,646.5,637,643.5,1726936
10-Mar-14,637,643.5,636,642.5,1983171
7-Mar-14,639,640.5,633.5,636.5,1828434
6-Mar-14,638.5,645,634,639.5,1567906
5-Mar-14,648.5,650,638,638.5,1742893
4-Mar-14,635,650.5,633.5,649.5,1779406
3-Mar-14,633.5,635.5,622,630.5,1806377
28-Feb-14,638,642.5,635,642,2074123
27-Feb-14,635.5,641,634.5,637.5,1786025
26-Feb-14,644,646.5,636.5,636.5,1678518
25-Feb-14,647,650.5,640.5,643,2643712
24-Feb-14,646,650,640.5,648.5,1772285
21-Feb-14,651.5,655,645,648.5,2167587
20-Feb-14,640,652,635.5,651,2205258
19-Feb-14,642.5,648,640,643.5,2427559
18-Feb-14,657,657,642.5,644,2633827
17-Feb-14,657.5,660.5,653.5,656.5,1474217
14-Feb-14,664,665,655,657.5,2292724
13-Feb-14,700,700,646.5,660,6939017
12-Feb-14,788.5,790,783.5,786.5,725759
11-Feb-14,785,788.5,781.5,786,954055
10-Feb-14,778,784,771.5,783,861306
7-Feb-14,780,787,772.5,774.5,1625932
6-Feb-14,756.5,761,750,761,1598028
5-Feb-14,771.5,772.5,755,755.5,1422596
4-Feb-14,750.5,776.5,749,772.5,1802118
3-Feb-14,754.5,761.5,750.5,754.5,738378
31-Jan-14,757,759.5,744,757.5,1118681
30-Jan-14,754,760,748,760,833749
29-Jan-14,767.5,768.5,752.5,757.5,1015829
28-Jan-14,754,765,752,761.5,902207
27-Jan-14,767.5,771,751,753,895202
24-Jan-14,776,778,763,765.5,634223
23-Jan-14,785,788.5,773,776,746214
22-Jan-14,795,797,784.5,786.5,627815
21-Jan-14,788,795,785.5,792,733837
20-Jan-14,784.5,788,780,786.5,411813
17-Jan-14,779.5,787.5,779.5,782.5,771449
16-Jan-14,780,786.5,775.5,779,799146
15-Jan-14,786,786,778,783.5,485672
14-Jan-14,769.5,786,767,785,864200
13-Jan-14,777,780.5,772,775.5,582152
10-Jan-14,768.5,776,766,775.5,735621
9-Jan-14,770,774.5,757,765,1412136
8-Jan-14,799,800,768.5,773,1873149
7-Jan-14,791.5,801.5,788,800.5,775836
6-Jan-14,794.5,798,790,792,963368
3-Jan-14,795.5,801.5,795,797,788264
2-Jan-14,809,809.5,795.5,797,751130
31-Dec-13,813,813,805,809,155754
30-Dec-13,816,816,807,807.5,412046
27-Dec-13,810.5,815.5,807,812.5,395803
24-Dec-13,796.5,807,796.5,807,118678
23-Dec-13,790,800,790,799,400533
20-Dec-13,789,800,784.5,790.5,1040072
19-Dec-13,779,790,779,789,709714
18-Dec-13,778.5,782.5,774.5,776.5,598655
17-Dec-13,786,786,774,775.5,747862
16-Dec-13,771.5,785,764.5,785,748005
13-Dec-13,775,779,771,772.5,698346
12-Dec-13,782.5,785,770.5,778,951819
11-Dec-13,780.5,786,779,782.5,1000965
10-Dec-13,776.5,782.5,773.5,778.5,713878
9-Dec-13,782,782.5,774,779.5,610968
6-Dec-13,780,783,774.5,782.5,361854
5-Dec-13,776,782.5,774,777.5,1209963
4-Dec-13,783,783,760,779,2236756
3-Dec-13,779.5,788,777.5,786.5,1627443
2-Dec-13,786.5,788,778,780,971751
