Date,Open,High,Low,Close,Volume
27-May-14,306.35,306.5,301.65,302.78,8960258
23-May-14,303,306,301.75,304.13,8987940
22-May-14,303.2,305.15,301.3,303.45,12718681
21-May-14,306.3,310,300.85,303.78,12936248
20-May-14,310,310,304.45,306.05,17373329
19-May-14,311.4,320.75,302.6,312.03,17140649
16-May-14,302.6,311.1,301.55,310.43,21643607
15-May-14,296.6,303.3,295.5,302.55,20753050
14-May-14,296.7,297.5,293.5,296.29,8895139
13-May-14,294.85,296.5,294,295.75,10970163
12-May-14,297.35,298.02,292.65,293.95,11534015
9-May-14,295.5,298.05,293.02,297,13483864
8-May-14,286.55,295.4,283.7,295,22517022
7-May-14,288.2,289.45,283.8,286.05,20903163
6-May-14,286,288.28,285.12,287.79,16694030
2-May-14,285.2,295.33,283.9,285.5,16347141
1-May-14,291.2,296.98,284.4,286.55,14080117
30-Apr-14,292.6,302.33,291.1,292.95,15883707
29-Apr-14,301.2,306.4,301.2,303.3,18871899
28-Apr-14,299.05,305.15,298.95,302.35,18434161
25-Apr-14,300.1,300.6,297.95,299.39,9509315
24-Apr-14,299.25,300.4,297.5,300.4,15205439
23-Apr-14,291.8,298.28,291.75,297.35,19633834
22-Apr-14,288.45,294.15,288.45,292.4,18549103
17-Apr-14,295,295.45,286.2,289.7,23009752
16-Apr-14,300,302,290.6,293.8,27565928
15-Apr-14,289.35,291.9,285.9,286.3,19399512
14-Apr-14,280,289.35,279.6,289.35,21571432
11-Apr-14,282.7,284.5,280.63,281.05,14921182
10-Apr-14,285.85,286.15,283.05,284.05,14591236
9-Apr-14,289,289.75,284,284.2,22596104
8-Apr-14,283,287.95,278.5,287.85,27747729
7-Apr-14,285.55,289.9,283,283.3,18345327
4-Apr-14,290,292.12,286.45,287.4,18377104
3-Apr-14,293.15,294.7,290.69,291.7,10390076
2-Apr-14,294.2,294.4,292,292.65,11927731
1-Apr-14,296.05,296.54,291.86,292.88,14301404
31-Mar-14,299.2,300.3,294.95,295.39,15499218
28-Mar-14,295.4,298.85,295.14,297,15137710
