Date,Open,High,Low,Close,Volume
27-May-14,1675,1731,1670,1724,648879
23-May-14,1678,1679,1659.99,1670,496738
22-May-14,1675,1689,1653,1671,469661
21-May-14,1648,1678.59,1633,1671,718092
20-May-14,1640,1649,1631,1649,773316
19-May-14,1638,1657,1603,1616,1090695
16-May-14,1657,1696.84,1605,1629,801657
15-May-14,1746,1750,1669,1669,635069
14-May-14,1756,1760.55,1734.7,1740,241532
13-May-14,1749,1758,1741,1756,420372
12-May-14,1724,1746,1710,1732.52,443483
9-May-14,1732,1732.45,1711,1715,348313
8-May-14,1753,1753,1725,1730,540642
7-May-14,1760,1766,1736,1745,437397
6-May-14,1770,1784.55,1756,1760,482912
2-May-14,1755,1777,1743,1758,857075
1-May-14,1710,1749,1708,1748,239419
30-Apr-14,1701,1718,1688,1705,710420
29-Apr-14,1745,1755,1711.36,1720,834620
28-Apr-14,1790,1794.34,1743,1744,597271
25-Apr-14,1768,1793,1751,1788,706971
24-Apr-14,1870,1875,1761,1763,1042338
23-Apr-14,1823,1836,1809,1821.58,703280
22-Apr-14,1809,1826.7,1795,1822,443511
17-Apr-14,1775,1806,1759,1803,708283
16-Apr-14,1730,1775,1711,1775,872227
15-Apr-14,1729,1741,1709,1711,401812
14-Apr-14,1760,1763.95,1697,1726,642561
11-Apr-14,1805,1809,1762,1769,597123
10-Apr-14,1853,1858,1821,1826,623621
9-Apr-14,1793,1855,1790.8,1851,582886
8-Apr-14,1836,1838,1771,1787,619528
7-Apr-14,1854,1862.55,1834,1837,405437
4-Apr-14,1893,1897,1871,1873.21,716048
3-Apr-14,1899,1903.3,1882,1893,599247
2-Apr-14,1898,1920,1894.05,1903,508032
1-Apr-14,1891,1899.85,1881,1892.08,473911
31-Mar-14,1885,1895,1879,1885,625662
28-Mar-14,1889,1895,1869,1876,364547
27-Mar-14,1888,1898,1882,1883,513441
26-Mar-14,1872,1906.37,1872,1895,707363
25-Mar-14,1840,1875,1838,1862,856732
24-Mar-14,1815,1829,1793,1802,806918
21-Mar-14,1852,1852,1812,1820.82,3065311
20-Mar-14,1858,1872,1845,1852,786741
19-Mar-14,1899,1900,1866,1874,489412
18-Mar-14,1871,1907,1854,1897,593847
17-Mar-14,1865,1884,1863,1878,455859
14-Mar-14,1825,1856,1819,1851,650173
13-Mar-14,1872,1882,1839,1839,757107
12-Mar-14,1880,1880,1855,1861,720972
11-Mar-14,1878,1886,1866,1882,416815
10-Mar-14,1886,1902,1863,1875,559741
7-Mar-14,1925,1925,1882,1882,599190
6-Mar-14,1949,1960,1916,1916,505245
5-Mar-14,1957,1957,1936,1945,505104
4-Mar-14,1924,1966,1924,1961,744620
3-Mar-14,1925,1944,1894,1904,548633
28-Feb-14,1961,1972,1949,1955,684162
27-Feb-14,1898,1963,1881,1912.44,778834
26-Feb-14,1965,1970,1906,1926,1095536
25-Feb-14,1985,1993,1953,1962.61,1283763
24-Feb-14,1977,2000,1976,1981.69,654453
21-Feb-14,1970,1988,1970,1976.34,791276
20-Feb-14,1926,1970,1916,1966,650105
19-Feb-14,1945,1948,1925,1933,650600
18-Feb-14,1917,1947,1897,1945,581918
17-Feb-14,1878,1918,1878,1903,547742
14-Feb-14,1872,1885,1868,1883,386752
13-Feb-14,1873,1878,1855,1874,539439
12-Feb-14,1885,1885,1865,1869,684961
11-Feb-14,1852,1881,1842,1881,907250
10-Feb-14,1846,1854,1837,1847,568517
7-Feb-14,1824,1846,1814,1846,589205
6-Feb-14,1781,1839,1771,1825,579082
5-Feb-14,1773,1802,1766,1774,717122
4-Feb-14,1750,1788,1739,1773,766056
3-Feb-14,1744,1782,1744,1760,774503
31-Jan-14,1736,1759,1714,1739,660743
30-Jan-14,1749,1753,1731,1742,617149
29-Jan-14,1764,1793,1732,1757,875290
28-Jan-14,1724,1765,1720,1755,632537
27-Jan-14,1753,1754,1708,1719,620278
24-Jan-14,1779,1788,1747,1751,681258
23-Jan-14,1815,1827,1774,1782,681267
22-Jan-14,1856,1867,1817,1820,438428
21-Jan-14,1862,1874,1852,1858,400485
20-Jan-14,1858,1873,1850,1864,200446
17-Jan-14,1853,1878,1848,1855,614289
16-Jan-14,1880,1887,1848,1853,361243
15-Jan-14,1877,1894,1872,1886,474354
14-Jan-14,1859,1874,1852,1871,549407
13-Jan-14,1884,1893,1877,1880,322763
10-Jan-14,1876,1900,1870,1884,554038
9-Jan-14,1870,1895,1855,1860,456874
8-Jan-14,1887,1893,1858,1868,422097
7-Jan-14,1896,1903,1874,1881.63,398709
6-Jan-14,1882,1912,1878,1896,415339
3-Jan-14,1866,1898,1858,1890,430819
2-Jan-14,1881,1886,1846,1873,560575
31-Dec-13,1847,1888,1847,1872,152307
30-Dec-13,1838,1855,1825,1848,368761
27-Dec-13,1828,1833,1813,1832,210453
24-Dec-13,1803,1827,1803,1814,39948
23-Dec-13,1802,1815,1796,1813,180233
20-Dec-13,1779,1806,1764,1805,823685
19-Dec-13,1771,1779,1759,1772,442150
18-Dec-13,1770,1771,1741,1749,588411
17-Dec-13,1722,1747,1720,1732,522283
16-Dec-13,1690,1728,1684,1728,550592
13-Dec-13,1708,1718,1695,1699,415100
12-Dec-13,1728,1733,1701,1701,656844
11-Dec-13,1741,1767,1739,1741,523604
10-Dec-13,1735,1763,1731,1745,419610
9-Dec-13,1726,1747,1724,1735.75,353478
6-Dec-13,1702,1736,1702,1726,406144
5-Dec-13,1697,1711,1687,1707,484052
4-Dec-13,1728,1743,1704,1704,732569
3-Dec-13,1788,1788,1720,1723,679805
2-Dec-13,1797,1800,1780,1781,495057
29-Nov-13,1783,1804,1777,1796,430963
28-Nov-13,1825,1846,1776,1783,756208
27-Nov-13,1805,1840,1805,1832,371689
26-Nov-13,1800,1822,1785,1820,538681
25-Nov-13,1804,1823,1795,1804,324343
22-Nov-13,1771,1813,1769,1796,1006161
21-Nov-13,1738,1776,1729,1771,930772
20-Nov-13,1721,1755,1719,1748.15,680474
19-Nov-13,1707,1727,1699,1722.27,377864
18-Nov-13,1709,1719,1697,1712.65,365346
15-Nov-13,1726,1739,1718,1719,301707
14-Nov-13,1723,1746,1723,1729,578067
13-Nov-13,1733,1740,1700,1707,635909
12-Nov-13,1748,1748,1733,1735,354664
11-Nov-13,1760,1760,1734,1739.58,444628
8-Nov-13,1753,1756,1730,1744,678468
7-Nov-13,1791,1795,1745,1759,1217022
6-Nov-13,1808,1824,1791,1804,793067
5-Nov-13,1868,1868,1818,1822,589169
4-Nov-13,1842,1875,1842,1858,402320
1-Nov-13,1855,1864,1834,1840,443830
31-Oct-13,1865,1875,1836,1856,682548
30-Oct-13,1808,1857,1808,1848,802637
29-Oct-13,1788,1816,1783,1812.18,396849
28-Oct-13,1802,1810,1777,1790,381628
25-Oct-13,1802,1814,1793,1804,313748
24-Oct-13,1807,1815,1794,1815,331813
23-Oct-13,1775,1816,0,1805,617517
22-Oct-13,1792,1799,1778,1782,405325
21-Oct-13,1800,1811,1791,1794,511225
18-Oct-13,1770,1801,1751,1791,799073
17-Oct-13,1750,1770,1713,1749,762416
16-Oct-13,1768,1788,1752,1786,625905
15-Oct-13,1775,1783,1765,1772,517757
14-Oct-13,1709,1765,1704,1763,854881
11-Oct-13,1638,1684,1626,1678,617842
10-Oct-13,1597,1625,1591,1625,567575
9-Oct-13,1570,1601,1557,1586,629506
8-Oct-13,1636,1650,1577,1578,784547
7-Oct-13,1678,1679,1636,1640,527367
4-Oct-13,1674,1686,1657,1685,464119
3-Oct-13,1658,1675,1657,1672,415007
2-Oct-13,1677,1680,1659,1665,292588
1-Oct-13,1653,1688,1647,1675.81,616806
30-Sep-13,1626,1650,1608,1646.66,538955
27-Sep-13,1682,1685,1644,1662.61,589389
26-Sep-13,1664,1666,1648,1650,342911
25-Sep-13,1652,1669,1624,1661,706174
24-Sep-13,1603,1632,1601,1623,348637
20-Sep-13,1623,1637,1613,1615,561718
19-Sep-13,1628,1641,1625,1630,547855
18-Sep-13,1626,1626,1585,1608.54,396481
17-Sep-13,1628,1637,1620,1620,471779
16-Sep-13,1631,1638,1624,1626,325105
13-Sep-13,1610,1621,1608,1611,285758
12-Sep-13,1630,1630,1605,1612,293324
11-Sep-13,1635,1646,1618,1623,418781
10-Sep-13,1615,1639,1610,1635,456037
9-Sep-13,1605,1614,1601,1606,472920
6-Sep-13,1600,1610,1575,1602,572485
5-Sep-13,1592,1616,1591,1605,567574
4-Sep-13,1596,1596,1558,1587,634138
3-Sep-13,1600,1611,1582,1596,309233
2-Sep-13,1587,1610,1586,1602,307351
30-Aug-13,1600,1601,1572,1581.77,504751
29-Aug-13,1600,1613,1579,1598,668643
28-Aug-13,1570,1575,1538,1559,616462
27-Aug-13,1614,1617,1571,1573,729644
23-Aug-13,1585,1621,1580,1613,733650
22-Aug-13,1570,1608,1570,1589,459393
21-Aug-13,1573,1582,1570,1575,335055
20-Aug-13,1569,1571,1545,1567.16,352720
19-Aug-13,1581,1589,1567,1575.11,438638
16-Aug-13,1556,1588,1552,1578,1041393
15-Aug-13,1632,1633,1547,1553,843985
14-Aug-13,1621,1639,1621,1628,293485
13-Aug-13,1639,1644,1612,1622,490297
12-Aug-13,1668,1677,1631,1636,322794
9-Aug-13,1675,1675,1661,1667.41,400245
8-Aug-13,1668,1682,1663,1668,432844
7-Aug-13,1685,1690,1644,1659,723822
6-Aug-13,1700,1710,1675,1681,858105
5-Aug-13,1709,1719,1692,1700,774361
2-Aug-13,1716,1721,1701,1711,431775
1-Aug-13,1707,1718,1700,1713,625886
31-Jul-13,1692,1709,1682,1702,569831
30-Jul-13,1700,1709,1698,1700,536496
29-Jul-13,1698,1707,1685,1698,553308
26-Jul-13,1670,1714,1670,1703.71,687773
25-Jul-13,1701,1719,1688,1701,644996
24-Jul-13,1681,1728,1665,1712.22,755380
23-Jul-13,1690,1695,1672,1675,385539
22-Jul-13,1689,1702,1683,1689,351882
19-Jul-13,1688,1704,1682,1693.94,615857
18-Jul-13,1627,1699,1627,1686.41,621190
17-Jul-13,1631,1639,1622,1633.2,331163
16-Jul-13,1662,1669,1629,1630,452880
15-Jul-13,1639,1664.58,1634.05,1656,457755
12-Jul-13,1635,1652,1629,1633,428782
11-Jul-13,1634,1640.37,1623.05,1636,526295
10-Jul-13,1617,1628,1605,1620,522750
9-Jul-13,1599,1622,1594.03,1622,779213
8-Jul-13,1570,1594,1558,1592,618929
5-Jul-13,1531,1576.09,1526,1556,687229
4-Jul-13,1520,1531,1510,1525,856078
3-Jul-13,1491.96,1513,1478,1511,629635
2-Jul-13,1533,1535,1494,1502,809801
1-Jul-13,1471,1533,1467,1531,701057
28-Jun-13,1462,1471,1443,1456.49,703673
27-Jun-13,1449,1473,1437,1453.91,451414
26-Jun-13,1440,1451,1433,1446,608158
25-Jun-13,1425,1445.36,1406,1431.85,829300
24-Jun-13,1460,1462,1402,1410,731051
21-Jun-13,1470,1512,1463,1487.26,5982010
20-Jun-13,1508,1521,1453,1460,900218
19-Jun-13,1519,1536,1497,1526.63,757570
18-Jun-13,1490,1521,1483.24,1510.21,650508
17-Jun-13,1529,1543.54,1515,1519.58,591284
14-Jun-13,1515,1531,1511,1520,623404
13-Jun-13,1521,1529,1502,1510,627194
12-Jun-13,1527,1543,1527,1538,546558
11-Jun-13,1542,1542,1506,1526,614845
10-Jun-13,1536,1543,1526,1534,482800
7-Jun-13,1507,1536,1502,1530,543442
6-Jun-13,1534,1534,1503,1504,589337
5-Jun-13,1547,1558,1524,1532,954211
4-Jun-13,1581,1590,1540,1550,804686
3-Jun-13,1590,1595,1554,1570,882965
31-May-13,1573,1611,1532,1611,12601616
30-May-13,1550,1568,1537,1567,803160
29-May-13,1608,1608,1558,1561,654085
28-May-13,1587,1611,1587,1606,842499
24-May-13,1592,1600.2,1556,1566,561152
23-May-13,1583,1587,1558,1582,908803
22-May-13,1550,1612,1546,1604,849751
21-May-13,1543,1550,1536,1547,495483
20-May-13,1552,1554,1532,1542,512133
17-May-13,1545,1549,1523,1539,1120531
16-May-13,1520,1566,1516,1543,2299024
15-May-13,1442,1488,1438,1484,817569
14-May-13,1440,1456,1432,1442,413944
13-May-13,1443,1457,1430,1456,378117
10-May-13,1457,1468,1437,1440,475340
9-May-13,1458,1460,1451,1459,446381
8-May-13,1450,1460,1441,1457,565693
7-May-13,1459,1459,1442,1448,548157
3-May-13,1450,1462.79,1435,1458,447582
2-May-13,1449,1461,1434,1443,466261
1-May-13,1444,1456,1425,1456,245752
30-Apr-13,1468,1475,1433,1434,736536
29-Apr-13,1477,1494,1456,1459,630390
26-Apr-13,1508,1510,1476,1483,1065997
25-Apr-13,1466,1531,1466,1511,1088547
24-Apr-13,1462,1467,1450,1463.52,444432
23-Apr-13,1437,1463,1430,1463,610858
22-Apr-13,1446,1454,1431,1436,343583
19-Apr-13,1422,1441,1413,1428.92,403330
18-Apr-13,1422,1438,1415,1429,446958
17-Apr-13,1430,1438,1390,1420,614164
16-Apr-13,1430,1446,1417.93,1417.93,602965
15-Apr-13,1446,1452,1414,1440,445929
12-Apr-13,1463,1466,1424,1449,700275
11-Apr-13,1438,1487,1433,1463,595066
10-Apr-13,1405,1444,1405,1424.9,552154
9-Apr-13,1379,1410,1378,1397,580274
8-Apr-13,1383,1390,1370,1380,431074
5-Apr-13,1396,1404,1365,1374,481441
4-Apr-13,1458,1461,1393,1393,771890
3-Apr-13,1457,1465,1449,1456,490181
2-Apr-13,1447,1466,1447,1465,663776
28-Mar-13,1416,1462,1416,1454,544484
27-Mar-13,1432,1440,1414,1419,481939
26-Mar-13,1426,1439,1408,1437,931931
25-Mar-13,1455,1463,1423,1423,601938
22-Mar-13,1440,1461,1420,1440,598412
21-Mar-13,1402,1447.05,1401.05,1443,772268
20-Mar-13,1389,1412,1365.56,1409,640122
19-Mar-13,1364,1387,1357,1381,567206
18-Mar-13,1341,1371,1334,1369,509229
15-Mar-13,1336,1360.26,1326,1356.8,1018874
14-Mar-13,1332,1340,1327,1329,454002
13-Mar-13,1338,1342,1321,1328,320484
12-Mar-13,1333,1344,1323.96,1339,293791
11-Mar-13,1333,1336,1314,1332,254050
8-Mar-13,1334,1348,1326,1335,330429
7-Mar-13,1322,1328,1315,1322,370437
6-Mar-13,1320,1328,1311,1321,330629
