Date,Open,High,Low,Close,Volume
27-May-14,835,851.82,833.9,846.46,1898479
23-May-14,841.5,844,832.75,840.96,2266789
22-May-14,843.5,853.61,839,851.46,2015894
21-May-14,840,845.5,839,844.96,1629341
20-May-14,850.5,853,836,838.96,1587496
19-May-14,848.5,859.5,847,853,1406932
16-May-14,863,866,844,845,2323423
15-May-14,882,882.02,852.5,860.5,3024322
14-May-14,890.5,894,877.5,883.5,1807864
13-May-14,899,900.5,885.27,890.5,1838282
12-May-14,900,901.53,894.5,897.5,1320343
9-May-14,895.5,906.5,891.82,899,1870439
8-May-14,900,900.5,890,895,1329975
7-May-14,896.5,918.78,890.5,896,3479595
6-May-14,877,898,877,898,1816113
2-May-14,879,888.5,877,884,2098367
1-May-14,883,892.3,870.7,880.5,1204356
30-Apr-14,870,897.5,870,880,4505194
29-Apr-14,852.5,865.5,849,865.5,2753230
28-Apr-14,845,854,838.5,850.59,3006558
25-Apr-14,840,847,831.5,839.54,4364527
24-Apr-14,865.5,869.1,853,861.09,1956133
23-Apr-14,866,871,858,862,1248369
22-Apr-14,871,873,860,865.09,2290195
17-Apr-14,876.5,885,858,867.5,2031758
16-Apr-14,868,877,853.5,875.59,2123481
15-Apr-14,874.5,876,849,859.59,2235950
14-Apr-14,823,859,823,859,2007957
11-Apr-14,836,839,821.5,827,1585510
10-Apr-14,850.5,856,834,843,2992316
9-Apr-14,820,851.5,819.28,850,3798861
8-Apr-14,800,820,796.5,819.5,3127261
7-Apr-14,794.5,805.5,788.5,800,2208449
4-Apr-14,803,803.95,748.3,800,2837088
3-Apr-14,770.5,800,770.5,800,6356155
2-Apr-14,747,756.75,745.5,753,2627380
1-Apr-14,752.5,753.75,743.5,752.5,1515798
31-Mar-14,764.5,767,747.5,748.5,2183855
28-Mar-14,761,769,755.5,760,1400370
27-Mar-14,767,769,746.5,759,3983836
26-Mar-14,779,792,775,777,1583902
25-Mar-14,763,778.8,760.5,777,2029329
24-Mar-14,775,786.91,758,761,1696660
21-Mar-14,782,788,774.46,775,3232681
