Date,Open,High,Low,Close,Volume
27-May-14,2672,2685.3,2651.7,2661.13,2112525
23-May-14,2664,2685.84,2649,2664,1265246
22-May-14,2695,2699,2660.35,2668,2814615
21-May-14,2684,2699,2678,2694.87,1503634
20-May-14,2729,2734,2681,2694,1716507
19-May-14,2710,2742.35,2699,2725.73,2668379
16-May-14,2677,2731.36,2668,2704,3320674
15-May-14,2656,2692.35,2649,2687,2615994
14-May-14,2651,2663,2631,2657.13,1586873
13-May-14,2650,2664,2631,2653,1660321
12-May-14,2640,2646.13,2623,2646.13,1520211
9-May-14,2609,2640,2603,2639,1589122
8-May-14,2603,2616,2598,2612,1836862
7-May-14,2573,2598,2568,2597,2602107
6-May-14,2616,2617,2588,2592,1930942
2-May-14,2624,2627,2594,2606,1844709
1-May-14,2648,2649.95,2618,2621,1221492
30-Apr-14,2633,2659,2619,2645.65,3772256
29-Apr-14,2626,2638,2615,2628,3479198
28-Apr-14,2600,2619,2597,2615,2326222
25-Apr-14,2577,2601.3,2568,2597.13,2423890
24-Apr-14,2630,2630,2564,2590,3537146
23-Apr-14,2616,2635,2612,2634,2119512
22-Apr-14,2619,2630.35,2607,2609,2004406
17-Apr-14,2622,2623,2579.7,2617,3659118
16-Apr-14,2638,2649,2606,2622,3459867
15-Apr-14,2656,2665,2625,2632,2658860
14-Apr-14,2626,2674,2621,2663,3061263
11-Apr-14,2602,2636,2602,2635,2986278
10-Apr-14,2612,2630,2599,2622,1740266
9-Apr-14,2609,2629,2602,2612,2605912
8-Apr-14,2538,2607,2538,2606,3689317
7-Apr-14,2522,2541,2520,2537,1466074
4-Apr-14,2545,2545,2528,2538,2453065
3-Apr-14,2546,2550,2532,2539,1905783
2-Apr-14,2551,2562,2527,2547,2152019
1-Apr-14,2562,2562,2532,2549.68,2493894
31-Mar-14,2565,2577.3,2555.65,2560.87,3586292
28-Mar-14,2509,2559,2478.29,2557,4310374
27-Mar-14,2470,2506,2457,2505,2275966
26-Mar-14,2475,2500,2471,2482,2234131
25-Mar-14,2435,2469,2428,2469,2836425
24-Mar-14,2414,2428,2374.51,2426,2368550
21-Mar-14,2379,2420,2379,2420,4347687
20-Mar-14,2372,2382,2353,2377,1743233
19-Mar-14,2385,2395.3,2376,2389,1889325
18-Mar-14,2363,2396,2348.7,2390,2727600
17-Mar-14,2363,2376,2351,2370,2195996
14-Mar-14,2352,2379,2352,2371,3624715
13-Mar-14,2381,2388,2355,2355,2239834
12-Mar-14,2383,2384,2357,2374,3678584
11-Mar-14,2407,2411,2379,2385,3876519
10-Mar-14,2423,2443,2408,2414,2632812
7-Mar-14,2434,2450,2421,2421,2761011
6-Mar-14,2450,2450,2428,2432,3298468
5-Mar-14,2457,2459,2433,2445,1437239
4-Mar-14,2420,2464,2420,2463,1897782
3-Mar-14,2415,2424,2389,2395,2297264
28-Feb-14,2445,2459,2433,2441,3336858
27-Feb-14,2447,2455,2414,2443,2411181
26-Feb-14,2473,2476,2446,2447,2709712
25-Feb-14,2463,2474,2441,2471,4702391
24-Feb-14,2439,2474,2436,2474,2711086
21-Feb-14,2448,2452,2427,2439,2476720
20-Feb-14,2406,2438,2398,2438,1992082
19-Feb-14,2413,2435,2408,2423,1900861
18-Feb-14,2394,2419,2379,2415,2287858
17-Feb-14,2353,2391,2337,2387,1092463
14-Feb-14,2363,2366,2341,2349,1989407
13-Feb-14,2353,2374,2343,2360,1966972
12-Feb-14,2398,2403,2360,2363,2698555
11-Feb-14,2380,2396,2372,2396,2205781
10-Feb-14,2375,2383,2366,2375,1505585
7-Feb-14,2360,2367,2328,2363,1731862
6-Feb-14,2317,2354,2308,2349,2365141
5-Feb-14,2310,2317,2292,2306,2175174
4-Feb-14,2337,2345,2314,2328,2543903
3-Feb-14,2342,2360,2330,2339,3692224
31-Jan-14,2355,2375,2299,2339,3794558
30-Jan-14,2380,2381,2332,2358,3218818
29-Jan-14,2435,2443,2373,2391,2443360
28-Jan-14,2437,2444,2405,2412,2075908
27-Jan-14,2469,2490,2428,2434,2947188
24-Jan-14,2499,2508,2461,2467,2548109
23-Jan-14,2507,2516,2485,2492,2331589
22-Jan-14,2500,2520,2494,2505,2495331
21-Jan-14,2520,2558,2474,2480,5094891
20-Jan-14,2418,2437,2413,2437,1661576
17-Jan-14,2439,2454,2408,2424,3686444
16-Jan-14,2404,2434,2402,2432,2844775
15-Jan-14,2400,2406,2378,2406,2414282
