Date,Open,High,Low,Close,Volume
27-May-14,850.5,858.5,845.5,858.46,1633826
23-May-14,848,851,840,845.96,1639443
22-May-14,858.5,862,849.5,854.95,1131087
21-May-14,856,862,847,852.46,1436402
20-May-14,851,858.33,849,853.96,1338521
19-May-14,840,849.5,836,848.08,1376964
16-May-14,843.5,844.5,833,837.5,1875969
15-May-14,835.5,842.5,831,840.46,1239869
14-May-14,834,846,834,836,1695344
13-May-14,843,843,831,834.5,1293284
12-May-14,821,839.5,817,839.5,1441767
9-May-14,817,822.5,809,822.5,1376836
8-May-14,817.5,827.5,810,819,1558222
7-May-14,804.5,816.5,801.94,816.5,1598851
6-May-14,797,807,795.5,804,1055996
2-May-14,796.5,803,792,794,1150206
1-May-14,795.5,802.48,792.66,794,439293
30-Apr-14,790,800.6,787.05,796,1543571
29-Apr-14,786,793,784,792.5,1293961
28-Apr-14,779,785.18,775.5,781.5,1208157
25-Apr-14,778.5,781,773.5,777.54,1062460
24-Apr-14,778,782,773,779.5,767790
23-Apr-14,774.5,779,771.5,775.5,604669
22-Apr-14,769,780.5,767.5,776.58,833049
17-Apr-14,777,777,767,769.5,1523697
16-Apr-14,775,777,767.71,775,1527021
15-Apr-14,754,773.5,754,769.5,1744136
14-Apr-14,758,759.26,749.68,753.5,1180097
11-Apr-14,760.5,763,751.5,758.5,1387276
10-Apr-14,772,773,763.5,766,1676014
9-Apr-14,770,776,767.86,770,1717729
8-Apr-14,785.5,787.75,769,770,2031298
7-Apr-14,790,794.5,786.5,788,1032349
4-Apr-14,789,799.5,788.5,793.5,1216985
3-Apr-14,794.5,797.82,786,788.5,1145947
2-Apr-14,800.5,807.76,795,795,1511482
1-Apr-14,790.5,805.5,788,801,1561058
31-Mar-14,799,799.5,785,788,1589494
28-Mar-14,795.5,799.5,789.5,796.5,1310394
27-Mar-14,798.5,799.17,787.5,792,1515693
26-Mar-14,799,809.5,795,799,1365201
25-Mar-14,797,805.43,793,798.5,1464966
24-Mar-14,802,804,790.12,796.5,1246356
21-Mar-14,792,805,789.55,804.5,3616289
20-Mar-14,791,791,780.36,790,1692957
19-Mar-14,799,802,792.5,795,1867395
18-Mar-14,791.5,803,789.35,799.5,1738358
17-Mar-14,787,795.84,783.5,792.5,1500035
14-Mar-14,785,791.5,780.5,786.5,2540757
13-Mar-14,807,807,793,794,2195041
12-Mar-14,800.5,806,798,804,1815294
11-Mar-14,795.5,801,790.5,801,2346428
10-Mar-14,787,798.5,785,795,2111256
7-Mar-14,783,791,779,787,2178836
6-Mar-14,793.5,795,781,783,1649900
5-Mar-14,787,795,786.5,793,1617204
4-Mar-14,781.5,788.5,777,786.5,1629658
3-Mar-14,771,781.5,767.5,779.92,2021732
28-Feb-14,779,784,777,779.5,2111341
27-Feb-14,782,782,774,780,2835651
26-Feb-14,778,783,770.5,780.5,2960141
25-Feb-14,781.5,789.5,779,785.6,3478105
24-Feb-14,776,782.5,774.5,781,2245630
21-Feb-14,776.5,779.5,768,776.5,2787876
20-Feb-14,762.5,773.5,760,773,1773405
19-Feb-14,761,766,756,765.5,1595280
18-Feb-14,756.5,762,749.5,760,2182915
17-Feb-14,750.5,760.5,750.5,757,1271596
14-Feb-14,748.5,753,744,753,1652266
13-Feb-14,744.5,745.5,737.5,745.5,1858618
12-Feb-14,752.5,752.5,742,745,2214843
11-Feb-14,741,752.5,737.5,752.5,2385235
10-Feb-14,734.5,738.5,729,738.5,1271152
7-Feb-14,727,733.5,724.5,733,1765196
6-Feb-14,718,729.5,713.5,725.5,2026201
5-Feb-14,713.5,715.5,704.5,714,1597217
4-Feb-14,721,724,713,713.5,1816237
3-Feb-14,715,727.5,713.5,722.5,1396112
31-Jan-14,723,729,705,716,1866382
30-Jan-14,720.5,732.5,715,723.5,1945800
29-Jan-14,741,741,712.5,719,3491279
28-Jan-14,722,737,706.5,737,3535057
27-Jan-14,703.5,717.5,684.5,713.5,4129535
24-Jan-14,706,708.5,696,700.5,2467202
23-Jan-14,702.5,724,700.5,705.5,3640348
22-Jan-14,698,704,696,703,1739070
21-Jan-14,689,700,686,696,1747583
20-Jan-14,689.5,691,686.5,690,1480330
17-Jan-14,691,695.5,682.5,688,1772725
16-Jan-14,690,693,678,689,4453540
15-Jan-14,666.5,668,656,659,1259333
14-Jan-14,655,665,655,665,910943
13-Jan-14,659.5,661.5,655.5,659.5,1627487
10-Jan-14,663,665,657.5,659.5,1254639
9-Jan-14,658.5,661,653.5,658.5,1495336
8-Jan-14,667.5,668,654.5,659.5,1887197
7-Jan-14,671.5,674,664,666,1873390
6-Jan-14,674.5,677.5,672.5,672.5,791705
3-Jan-14,672,678.5,670.5,675,1094656
2-Jan-14,672,677.5,668.5,670,1521827
31-Dec-13,675,678,671.5,671.5,467583
30-Dec-13,672.5,678.5,667,671.5,741709
27-Dec-13,672.5,677.5,667,669,906784
24-Dec-13,658,668,658,665,174740
23-Dec-13,652.5,662,652,661.5,1440859
20-Dec-13,655.5,656.5,650.5,652,2042979
19-Dec-13,656.5,657,643,655,3095829
18-Dec-13,657,662.5,650.5,650.5,1732855
17-Dec-13,664,673,662.5,668,2504745
16-Dec-13,657,664.5,655,663,1681924
13-Dec-13,658.5,659,651,657,2035784
12-Dec-13,646,659.5,645,655.5,3082300
11-Dec-13,644.5,648,641,644.5,1080563
10-Dec-13,645,649.5,641,641.5,1245014
9-Dec-13,646,648,643.5,646.5,1290345
6-Dec-13,647,649.5,644,645.5,1121112
5-Dec-13,646,656,644,647,2356398
4-Dec-13,650,655.5,648,648.5,1981384
3-Dec-13,653,658,650,651.5,2807343
2-Dec-13,660,660.5,650.5,650.5,2096897
29-Nov-13,659.5,662.5,657,658.5,1327456
28-Nov-13,658.5,663.5,650,659,1790080
27-Nov-13,657.5,671,655.5,656.5,2057372
26-Nov-13,667.5,670,656,657,2462175
25-Nov-13,666.5,671,665,665.5,1831742
22-Nov-13,674,676,664,666,1498236
21-Nov-13,675,675.5,665.5,673.5,2076771
20-Nov-13,679.5,685,672.5,675,2007478
19-Nov-13,691,693.5,682,684.5,1773774
18-Nov-13,689.5,695,687,691.5,1369515
15-Nov-13,696.5,696.5,689,692.5,1476037
14-Nov-13,695,697.5,687,692.5,1391466
13-Nov-13,687.5,693.5,682,692,1562415
12-Nov-13,687.5,688.5,682.5,688.5,1384891
11-Nov-13,686.5,687.5,682,686,727561
8-Nov-13,676,686,674,684,1516796
7-Nov-13,689,693,678,680.5,1707788
6-Nov-13,693,695,687.5,691,1607477
5-Nov-13,694,696,685,691,1998448
4-Nov-13,700,700,690,692,1775905
1-Nov-13,707,707,698.5,702,999271
31-Oct-13,713.5,716,701.5,704.5,1806786
30-Oct-13,717.5,721.5,710,714,1117781
29-Oct-13,717.5,720.5,714,718.5,1043030
28-Oct-13,720,722,706,713,1804291
25-Oct-13,717,722,715.5,718.5,801484
24-Oct-13,718,720,712.5,718,1001244
23-Oct-13,701.5,722.5,0,716.5,2075851
22-Oct-13,705,708.5,700,705,2084694
21-Oct-13,710,714.5,706.5,707.5,1071954
18-Oct-13,707,712.5,703.5,710,2250455
17-Oct-13,703,706.5,699.5,700,1386784
16-Oct-13,703,706,700,705,1096962
15-Oct-13,706,707.5,697,703.5,997701
14-Oct-13,696,703.5,696,699.5,819065
11-Oct-13,695,702.5,689,700,1029617
10-Oct-13,692,697,687,695,1069728
9-Oct-13,685,690.5,684.5,688.5,893181
8-Oct-13,697,697,685.5,685.5,1267783
7-Oct-13,693.5,698,691,695.5,1040207
4-Oct-13,692.5,698,691,696,815516
3-Oct-13,703.5,707,693,694.5,1154167
2-Oct-13,699.5,706,693.5,705,1707183
1-Oct-13,691,700,690,700,1992967
30-Sep-13,685,695,685,691,2580298
27-Sep-13,693.5,696.5,688.5,689.5,1001287
26-Sep-13,693.5,697,688.5,692,1085511
25-Sep-13,703,704,692,695.5,1381064
24-Sep-13,699,704,699,703,942720
20-Sep-13,703,712.5,702.5,704,2812822
19-Sep-13,700,713.5,695,707.5,3999822
18-Sep-13,705,712,688.5,691.5,3392522
17-Sep-13,688.5,706.5,688.5,703,3643161
16-Sep-13,686,691.5,684,687.5,796611
13-Sep-13,684.5,685,677.5,680.5,1034580
12-Sep-13,678,690,678,684,1540873
11-Sep-13,679.5,687.5,677.5,680,1875966
10-Sep-13,677.5,682.5,676,681,1579302
9-Sep-13,681,683,671,673,1374942
6-Sep-13,682,685.5,673.5,680.5,2403596
5-Sep-13,682,684,678,681.5,1270859
4-Sep-13,683,686.5,678,680,1804489
3-Sep-13,683,686.5,678,681.5,1665214
2-Sep-13,683,686,680.5,682.5,1245991
30-Aug-13,694.5,694.5,678.5,678.5,1957251
29-Aug-13,682.5,694,680.5,693,1090185
28-Aug-13,680.5,686.5,680.5,683,1281847
27-Aug-13,691,692,680.5,681,1477117
23-Aug-13,688,690.5,684.5,690.5,827518
22-Aug-13,685.5,693,684.5,686.5,1204117
21-Aug-13,688.5,690.5,683.5,684,1101558
20-Aug-13,681,691,681,688,977745
19-Aug-13,687,687.5,681,684,1511477
16-Aug-13,688.5,693,683,686.5,1724305
15-Aug-13,704.5,705.5,684.5,688,1870731
14-Aug-13,707,711,701.5,705,1003463
13-Aug-13,709,712,700,707.5,1692521
12-Aug-13,714.5,714.5,702.5,708,1325244
9-Aug-13,720,720,709.5,714,1569625
8-Aug-13,717,722,716.5,717.5,1391287
7-Aug-13,721.5,726.5,716,716,1649352
6-Aug-13,727,728.5,720.5,724.5,1285379
5-Aug-13,725.5,735.5,721.5,726.5,986170
2-Aug-13,724.5,730.5,722.5,725,1117205
1-Aug-13,722,724.5,715.5,722.5,1151614
31-Jul-13,721,728,719.5,721.5,1545628
30-Jul-13,716,728.5,716,721.5,1143479
29-Jul-13,717.5,727.5,708.5,714,1147310
26-Jul-13,718,721.5,712,716.5,1002069
25-Jul-13,712,721,708,717.5,1939084
24-Jul-13,713.5,717.5,707.5,710.5,1366607
23-Jul-13,720,721.5,713,713,1080308
22-Jul-13,727,727.5,716.5,716.5,1016398
19-Jul-13,717,729,717,727.5,1905708
18-Jul-13,709.5,723,708.5,720,1226282
17-Jul-13,718,720,707.5,710,1135176
16-Jul-13,710.5,718,708.5,713,1461337
15-Jul-13,706.5,715,706.5,711.5,1192006
12-Jul-13,719.5,722,704,706,1290316
11-Jul-13,715.5,719.5,707,719.5,1767634
10-Jul-13,714.5,715.21,706,711,1593614
9-Jul-13,709,717.5,707,716,1295877
8-Jul-13,706.5,707.5,698.82,704.5,1631745
5-Jul-13,701,709,694.5,702.5,1629840
4-Jul-13,689.5,707,688,701.5,1810906
3-Jul-13,692,698,683.78,686,1791219
2-Jul-13,685.5,696,681.5,695,1906189
1-Jul-13,685,689.81,681.5,685,1673820
28-Jun-13,680,688,675.5,684,3025267
27-Jun-13,674,684.5,671.5,680,2509333
26-Jun-13,669.5,676,648.76,672,2982145
25-Jun-13,657.5,669,656,665.5,3502513
24-Jun-13,649.5,662.31,647,655.5,3347038
21-Jun-13,666.95,688.38,649,649,6034419
20-Jun-13,687.5,703.88,665.43,665.5,3384608
19-Jun-13,709,725.88,691,692,3099216
18-Jun-13,724.5,730.5,722.5,726.5,2283371
17-Jun-13,731.5,738.1,724.5,724.5,2588229
14-Jun-13,736,739,723,729.5,2154793
13-Jun-13,722,734.18,721.5,730.5,2361798
12-Jun-13,715,736.88,715,728,4014591
11-Jun-13,732,740.5,714.86,732,2795687
10-Jun-13,746,746,714.43,734.5,2600802
7-Jun-13,740,752.5,731.5,749,4329629
6-Jun-13,747,754.5,737,737,2018986
5-Jun-13,754,758,746,746,1878497
4-Jun-13,748,757.5,745.5,754,2267245
3-Jun-13,754,759.5,748,755.5,2487510
31-May-13,758.5,763.37,755.5,756,2892067
30-May-13,755.5,765.32,753,758.5,2227643
29-May-13,784,784.47,750.5,755,3676298
28-May-13,790.5,793,779.86,787,3348258
24-May-13,793.5,793.5,784,787,2375125
23-May-13,780,795,775.5,787.5,2826042
22-May-13,785,786.5,779.5,781.5,2303506
21-May-13,785,787,781,787,1967225
20-May-13,782,785,774,784.5,2510311
17-May-13,763,767.44,757.5,765,1846610
16-May-13,762.5,768,758.5,761.5,2813251
15-May-13,748.5,763.5,748,762.5,2181504
14-May-13,775,789.5,758.5,760.5,5364282
13-May-13,740,740.5,737,739.5,1167236
10-May-13,743.5,748.5,734.68,738.5,2068014
9-May-13,742,745.5,740,743.5,1068051
8-May-13,741,748.5,739.66,744,1658825
7-May-13,742.5,750,738.56,741,2027382
3-May-13,739.5,748,738,740.5,2105406
2-May-13,744.5,748.5,735.4,739,2229544
1-May-13,750,750,741,745.5,948137
30-Apr-13,741.5,746,740,740.5,3307301
29-Apr-13,732,743.5,732,741,2151699
26-Apr-13,730,739.5,726,732.5,2334208
25-Apr-13,737,741.24,732,736,2228193
24-Apr-13,745.5,749,736.82,738.5,2183900
23-Apr-13,742,748,740.5,746.5,2084057
22-Apr-13,743.5,744.5,738.5,742,1911436
19-Apr-13,738,743,730.69,742.5,1867393
18-Apr-13,745.5,745.5,736.36,736.5,1950747
17-Apr-13,737.5,740.5,733.18,740,2695284
16-Apr-13,737,738.5,729.5,731.5,2001032
15-Apr-13,740,744.5,730,739,2781062
12-Apr-13,720,725.38,717.06,721,1488393
11-Apr-13,718,723.5,716,719.5,1686488
10-Apr-13,710.5,719.5,706.36,717.5,2284901
9-Apr-13,714.5,715.5,707.5,709,2099430
8-Apr-13,706.5,709.31,702.5,706,1384709
5-Apr-13,714,717,703.93,705,1400914
4-Apr-13,713,717,709,711,2028757
3-Apr-13,709,715,707,708,2002005
2-Apr-13,711.5,717.5,705.5,706.5,1446626
28-Mar-13,703.5,710,703.5,708.5,1786785
27-Mar-13,709,709,696.15,704,2253043
26-Mar-13,706,709,703.36,705.5,1625312
25-Mar-13,705,705,685,703.5,2286051
22-Mar-13,710.5,711.28,703.54,709,1745855
21-Mar-13,700,714,696.5,709,3143285
20-Mar-13,704,706,694.5,695.5,3944929
19-Mar-13,684,699.91,683.86,695.5,3789179
18-Mar-13,683,687.5,673.5,684,1366744
15-Mar-13,703.5,703.5,684.43,689,6094434
14-Mar-13,716,716,700.82,702.5,3825750
13-Mar-13,715,719.5,713,714.5,1515079
12-Mar-13,722.5,727,711.93,714,2139025
11-Mar-13,712.5,726,712,723.5,2853643
8-Mar-13,726.5,728.95,707,711.5,4217292
7-Mar-13,745,749.5,725,726,2661851
6-Mar-13,747.5,747.5,739.32,742,1402442
5-Mar-13,749,750.5,741.5,747.5,1692570
4-Mar-13,739,750.5,737.42,745,1396530
1-Mar-13,739,740.5,732,739,1373474
28-Feb-13,738.5,741.75,733.5,741,1798256
27-Feb-13,730.5,738,728.5,736,1606372
26-Feb-13,731,735.5,727,730,1632039
25-Feb-13,740,743.5,731,735.5,1463640
22-Feb-13,735.5,740.35,733.5,740,1527458
21-Feb-13,735,736.5,730,733,1800175
20-Feb-13,727,737.5,725,736.5,2258013
19-Feb-13,722,726.15,719.5,725.5,1780351
18-Feb-13,722.5,726.15,717.65,723.5,2114807
15-Feb-13,718,723.5,711.68,720,2156727
14-Feb-13,729.5,731,718,718.5,1677224
13-Feb-13,728.5,734,723.5,729.5,1492814
12-Feb-13,727.5,735,727.5,730,1303907
11-Feb-13,727.5,734.83,720.52,728,1291878
8-Feb-13,729,735,727,727.5,2100765
7-Feb-13,736,743.5,726,726,1596262
6-Feb-13,735,740.5,731.5,736.5,1568385
5-Feb-13,731,742,730,733,1939791
4-Feb-13,733.5,741,729.5,729.5,2139051
1-Feb-13,735,742,730.5,731.5,2960239
31-Jan-13,742,750.27,729.57,732,3573118
30-Jan-13,743,752.04,740,740,2393181
29-Jan-13,745.5,751.5,737,740,2037962
28-Jan-13,747.5,749,739.12,743,1562021
25-Jan-13,749,757,738.12,745,3546196
24-Jan-13,720,749,719.5,747.5,6029548
23-Jan-13,725,755,714.5,717.5,8432111
22-Jan-13,721,723.44,712,717,2342904
21-Jan-13,714.5,723.5,711.92,720.5,2987530
18-Jan-13,712,717,709,711,2526311
17-Jan-13,713,718.5,708.5,711,2246168
16-Jan-13,697.5,715,695.5,712,4170035
15-Jan-13,686,698.18,686,697.5,2948470
14-Jan-13,698,698.5,685,685,1856418
11-Jan-13,695,695.5,686,695,2660815
10-Jan-13,690,700.91,688.5,692.5,4812499
9-Jan-13,676.5,691,617,687,6097652
8-Jan-13,676,681.5,675,675,1841683
7-Jan-13,682.5,685,670.5,676,2008396
4-Jan-13,689,691.12,680.35,684.5,2230397
3-Jan-13,687.5,690,685,688,1848356
2-Jan-13,680.5,686.5,677,685.5,2019209
31-Dec-12,673,675.29,669,673.5,390252
28-Dec-12,677,679.5,669,674.5,1249374
27-Dec-12,685,687,676,677,794291
24-Dec-12,681.5,688,679,682,980963
21-Dec-12,675.5,693.94,674.5,682,3938179
20-Dec-12,688,690.94,671.5,674,3029531
19-Dec-12,693,705.44,686,688,2092313
18-Dec-12,707,713,699,699.5,2704481
17-Dec-12,703.5,708,699,704.5,2136914
14-Dec-12,704,713,700,703,2861161
13-Dec-12,690.5,704,689,701,2505519
12-Dec-12,695,698.21,687,689.5,1725713
11-Dec-12,691,696,688,692.5,1115685
10-Dec-12,689.5,693,685,685.5,1688044
7-Dec-12,692,693,684.51,689.5,1094273
6-Dec-12,690.5,694.3,685,690,1758871
5-Dec-12,685.5,693.23,684,689,2287343
4-Dec-12,683.5,691.38,682.5,685,1778960
3-Dec-12,684,688.5,681,685,1955021
30-Nov-12,695,700,681,681.5,2743266
29-Nov-12,690,695,684,693.5,2442252
28-Nov-12,674,695,674,686.5,3911707
27-Nov-12,672.5,674.5,667.5,669,2442065
26-Nov-12,674,674.8,669,669.5,1513834
23-Nov-12,671,675,667.5,672.5,1434395
22-Nov-12,674,679.5,669,670.5,2453591
21-Nov-12,662,677.5,662,671.5,4786039
20-Nov-12,651,660.5,650.5,659,2128101
