Date,Open,High,Low,Close,Volume,,
27-May-14,1083,1090.25,1062,1063,413955,440034165,
23-May-14,1048,1086,1047,1078,397763,428788514,
22-May-14,1065,1110,1047,1050,857600,900480000,
21-May-14,1053,1084,1038,1059,867013,918166767,
20-May-14,1012,1058,1009,1058,1012978,1071730724,
19-May-14,990,1026,976.5,1015,969555,984098325,
16-May-14,990,1009,974,978,621825,608144850,
15-May-14,977,982,941,966,402233,388557078,
14-May-14,973.5,989.5,965.5,985,440231,433627535,
13-May-14,963,997,963,990,528784,523496160,
12-May-14,914,970,914,968,443691,429492888,
9-May-14,916,923,900.44,907,333034,302061838,
8-May-14,927,937.31,914,921.5,303200,279398800,
7-May-14,929,937,919.31,933,204332,190641756,
6-May-14,949,949,927.5,934,301076,281204984,
2-May-14,947.5,951.5,921.5,947,254292,240814524,
1-May-14,923,939.5,915.5,925.5,140164,129721782,
30-Apr-14,940,946.5,930,946,259096,245104816,
29-Apr-14,939,941.5,926,939,282079,264872181,
28-Apr-14,939,939.5,928,936,209053,195673608,
25-Apr-14,941,947,921,931.5,268983,250557664.5,
24-Apr-14,933,959,933,949,303776,288283424,
23-Apr-14,937.5,941,927.5,931.5,216070,201269205,
22-Apr-14,928.5,969.5,922.22,937.5,531018,497829375,
17-Apr-14,913.5,919.5,901.5,919,252634,232170646,
16-Apr-14,928,938,908.36,917,361443,331443231,
15-Apr-14,934,950,914.5,916.5,523509,479795998.5,
14-Apr-14,931.5,941,924.5,939.5,323761,304173459.5,
11-Apr-14,931.5,940.5,923.5,937.5,334206,313318125,
10-Apr-14,937,945,919,943,595358,561422594,
9-Apr-14,923.5,946,920,937,444623,416611751,
8-Apr-14,925.5,937,911.5,919,559499,514179581,
7-Apr-14,913,929.99,913,928.5,392459,364398181.5,
4-Apr-14,905,927.5,897.5,923,331444,305922812,
3-Apr-14,918,921.52,884,898.5,815304,732550644,
2-Apr-14,907,928,907,923,426284,393460132,
1-Apr-14,914,916,904.5,909.69,514477,468014582.13,
31-Mar-14,888,908.5,880.5,902,398110,359095220,
