Date,Open,High,Low,Close,Volume,,
27-May-14,208.4,208.75,206.26,208.14,49751645,10355307390.3,
23-May-14,204.5,207.37,203.5,206.19,49940410,10297213137.9,
22-May-14,206.1,206.1,203.3,204.13,46845850,9562643360.5,
21-May-14,202.2,204.94,202.19,204.6,90084374,18431262920.4,
20-May-14,210,213.93,204.25,205.3,138920785,28520437160.5,
19-May-14,215.5,217.76,213.3,217.15,57977007,12589707070.05,
16-May-14,217.1,217.6,214.55,217.15,64850253,14082232438.95,
15-May-14,219.75,220.5,214.85,217,75959906,16483299602,
14-May-14,220,222.5,219.35,222.09,55045581,12225073084.29,
13-May-14,221.95,222.75,217.75,219.85,85849037,18873910784.45,
12-May-14,226.7,226.95,223.4,224.45,51447945,11547491255.25,
9-May-14,226.4,227.05,225.5,227,26741209,6070254443,
8-May-14,225.35,227.15,222.5,227,48719571,11059342617,
7-May-14,224.7,227.07,223.75,226.75,41796514,9477359549.5,
6-May-14,224,226.61,222.57,223.89,43354871,9706722068.19,
2-May-14,221.55,224.85,220.79,222.9,45543215,10151582623.5,
1-May-14,219,267,216.65,220.65,55667022,12282928404.3,
30-Apr-14,222.1,225.35,221.65,223.95,49318869,11044960712.55,
29-Apr-14,219.25,223.46,219.25,223.05,48285225,10770019436.25,
28-Apr-14,218.7,220.4,216.87,218.85,38918900,8517401265,
25-Apr-14,216.35,218.98,215.73,217.34,54465790,11837594798.6,
24-Apr-14,215.9,216.55,214.61,216.4,42001225,9089065090,
23-Apr-14,217.5,217.5,214.65,214.85,40519688,8705654966.8,
22-Apr-14,215.55,217.27,214.95,217.03,47188713,10241366382.39,
17-Apr-14,212.1,215.15,211.2,214.15,41511376,8889661170.4,
16-Apr-14,212.4,213.24,210.6,212,40764954,8642170248,
15-Apr-14,212.45,213.7,210.25,211,39646403,8365391033,
14-Apr-14,213,214.1,210.85,212.95,59695991,12712261283.45,
11-Apr-14,216,217.25,213.25,213.8,66630940,14245694972,
10-Apr-14,223.05,223.05,217.25,217.85,57652072,12559503885.2,
9-Apr-14,215.3,220.3,214.8,220,59602778,13112611160,
8-Apr-14,217.3,220.35,213.6,215,67959576,14611308840,
7-Apr-14,219.5,222.34,217.35,217.6,48243469,10497778854.4,
4-Apr-14,219,221.25,215.85,219.8,81836006,17987554118.8,
3-Apr-14,221.5,221.5,217.32,219.15,48400073,10606875997.95,
2-Apr-14,221.35,222.8,220.3,221.13,49589151,10965648960.63,
1-Apr-14,221.05,222.16,219.95,220.28,38500937,8480986402.36,
31-Mar-14,220.45,221.97,219.55,220.3,65583506,14448046371.8,
28-Mar-14,218,220.3,217.95,219.1,57614489,12623334539.9,
27-Mar-14,220.6,220.6,217.9,218.01,81238796,17710869915.96,
26-Mar-14,224,224,222.12,223.15,63274503,14119705344.45,
25-Mar-14,222.25,224,221.79,222.8,46303843,10316496220.4,
24-Mar-14,227.6,228.41,221.5,222.15,55262886,12276650124.9,
21-Mar-14,227.85,229,226.86,227.21,75338886,17117748288.06,
20-Mar-14,226.95,228.15,224.75,226.8,53914956,12227912020.8,
19-Mar-14,227,229.1,226.35,227.71,55249108,12580774382.68,
18-Mar-14,225.65,226.81,222.75,226.6,55585820,12595746812,
17-Mar-14,223.3,226.58,222.6,226.02,51430749,11624377888.98,
14-Mar-14,223.8,225.2,220.85,221.51,79448141,17598557712.91,
13-Mar-14,230,230,224.4,224.42,59454628,13342807615.76,
12-Mar-14,226.3,230.75,225.7,228.98,92063054,21080598104.92,
11-Mar-14,230,230.3,225.3,226.25,115683458,26173382372.5,
10-Mar-14,238,239.15,229.65,234.07,122233521,28611200260.47,
7-Mar-14,247.05,247.9,238.65,241.76,72149744,17442922109.44,
6-Mar-14,247.1,248,244.95,246.13,38479187,9470882296.31,
5-Mar-14,248.7,248.7,246.05,247.25,33422662,8263753179.5,
4-Mar-14,246,249.15,245.5,249,55887707,13916039043,
3-Mar-14,246.8,247.9,243.3,243.57,38515161,9381137764.77,
28-Feb-14,248,250.8,244,248.75,70580422,17556879972.5,
27-Feb-14,245,247.45,241.9,246.46,63017830,15531374381.8,
26-Feb-14,247.3,247.5,244.65,246.17,71169978,17519913484.26,
25-Feb-14,247.45,248.45,246,246.73,141715245,34965402398.85,
24-Feb-14,242.4,252.3,241.7,250.71,201291941,50465902528.11,
21-Feb-14,432.48,434.04,424.6,433.58,148375843,64332798007.94,
20-Feb-14,408.8,422.4,408.8,420.9,62717982,26397998623.8,
19-Feb-14,408.01,410.67,407.64,409.48,60138594,24625551471.12,
18-Feb-14,409.93,410.94,401.13,410.67,57689586,23691382282.62,
17-Feb-14,400.4,410.76,400.4,407.92,34948169,14256057098.48,
14-Feb-14,404.8,405.62,398.48,400.4,71398625,28588009450,
13-Feb-14,403.33,405.99,400.03,405.99,51378293,20859073175.07,
12-Feb-14,407.92,407.92,403.24,405.17,45534228,18449103158.76,
11-Feb-14,408.01,408.92,405.26,412.59,42097343,17368942748.37,
10-Feb-14,408.8,409.4,403.5,407,37863358,15410386706,
7-Feb-14,408.83,411.4,406.36,407,35905011,14613339477,
6-Feb-14,401.5,412.96,399.21,410.48,61205228,25123521989.44,
5-Feb-14,400.49,403.33,395.36,401.59,53039135,21299986224.65,
4-Feb-14,405.08,405.08,400.68,404.42,47940389,19388052119.38,
3-Feb-14,412.59,416.62,406.08,407.18,39601653,16125001068.54,
31-Jan-14,414.79,416.44,404.52,415.34,50676461,21047961311.74,
30-Jan-14,416.72,416.99,411.31,413.69,33483235,13851679487.15,
29-Jan-14,416.2,422,404.1,414.9,86504585,35890752316.5,
28-Jan-14,411.31,411.95,407.28,409.38,38288593,15674584202.34,
27-Jan-14,402.42,413.05,395.54,409.84,126613069,51891100198.96,
24-Jan-14,430.92,433.4,424.51,426.34,45439876,19372836733.84,
23-Jan-14,430.83,433.22,427.35,428.91,38787292,16636257411.72,
22-Jan-14,435.97,437.8,434.5,435.32,28594170,12447614084.4,
21-Jan-14,439.91,440.18,435.23,435.78,30762826,13405824314.28,
20-Jan-14,441.47,441.92,436.98,439.91,21929419,9646970712.29,
17-Jan-14,436.33,440.18,432.02,440,48251104,21230485760,
16-Jan-14,436.3,436.3,432.7,434.9,28778333,12515697021.7,
15-Jan-14,434.32,437.16,430.19,437.16,28286009,12365511694.44,
14-Jan-14,425.61,432.67,424.51,432.48,21566893,9327249884.64,
13-Jan-14,429.82,432.02,426.52,428.54,27788310,11908402367.4,
10-Jan-14,432.94,435.97,430.19,430.19,30322741,13044539950.79,
9-Jan-14,433.68,438.26,431.11,432.12,33451996,14455276511.52,
8-Jan-14,434.7,435.8,432.3,432.7,25758032,11145500446.4,
7-Jan-14,431.93,436.98,431.93,436.15,18025877,7861986253.55,
6-Jan-14,430.47,434.5,427.81,432.39,23218942,10039638331.38,
3-Jan-14,434.22,435.88,432.12,432.12,18474832,7983344403.84,
2-Jan-14,435.32,436.33,433.58,434.87,19805863,8612975642.81,
31-Dec-13,435.51,437.07,433.49,434.5,8296419,3604794055.5,
30-Dec-13,437.16,438.81,429.64,433.95,14285625,6199246968.75,
27-Dec-13,434.96,436.33,434.04,436.24,12714245,5546462238.8,
24-Dec-13,431.8,436.3,431.8,433.4,4184696,1813647246.4,
23-Dec-13,431.93,433.86,430.83,432.94,16352042,7079453063.48,
20-Dec-13,429.92,431.48,427.81,430.28,57341389,24672852858.92,
19-Dec-13,421.3,428.36,420.84,428.36,35970749,15408430041.64,
18-Dec-13,419.47,421.48,417.54,417.82,25804973,10781833818.86,
17-Dec-13,414.33,419.56,414.33,419.01,35613878,14922571020.78,
16-Dec-13,413.14,419.74,412.87,417.45,29372183,12261417793.35,
13-Dec-13,418.28,419.28,413.05,416.5,35921722,14961397213,
12-Dec-13,420.93,421.67,418.09,419.19,28187680,11815993579.2,
11-Dec-13,423.87,425.88,422.12,422.58,24753867,10460489116.86,
10-Dec-13,427.17,430.56,421.58,422.95,36383855,15388551472.25,
9-Dec-13,424.78,429.64,422.22,427.99,46763275,20014214067.25,
6-Dec-13,417.63,423.22,416.17,423.22,32740697,13856517784.34,
5-Dec-13,411.68,414.52,410.76,414.42,24268700,10057434654,
4-Dec-13,414.7,415.89,410.3,412.32,25698144,10595858734.08,
3-Dec-13,413.88,416.17,413.05,413.97,26141212,10821677531.64,
2-Dec-13,416.53,417.54,413.97,414.33,20349286,8431319668.38,
29-Nov-13,418.09,421.85,415.8,415.8,19658853,8174151077.4,
28-Nov-13,419.01,422.4,418.28,419.01,9820144,4114738537.44,
27-Nov-13,418.73,423.13,418.73,419.74,17996367,7553795084.58,
26-Nov-13,420.29,422.22,418.09,419.65,37949969,15925704490.85,
25-Nov-13,422.4,424.42,420.02,421.21,15405526,6488961606.46,
22-Nov-13,422.95,423.78,418.64,419.92,17947371,7536460030.32,
21-Nov-13,413.14,421.76,413.05,421.58,25122277,10591049537.66,
20-Nov-13,419.28,420.2,414.98,416.53,29176784,12153005839.52,
