Date,Open,High,Low,Close,Volume
27-May-14,1279,1292.11,1279,1288.94,3139341
23-May-14,1269,1284,1268,1279,3001080
22-May-14,1267,1269,1256,1265,2646261
21-May-14,1239,1260,1238,1257.94,3407885
20-May-14,1219,1244,1219,1239,3251046
19-May-14,1210,1227,1209,1222,4055928
16-May-14,1221,1222.7,1199,1212,4045551
15-May-14,1246,1246,1214,1217,4433300
14-May-14,1256,1263,1239,1243,3216291
13-May-14,1275,1275,1257.64,1260,4883948
12-May-14,1274,1274,1262,1267,1984310
9-May-14,1286,1294,1263,1266,4555275
8-May-14,1270,1283,1263,1277,3264777
7-May-14,1259,1273,1257,1268,2990450
6-May-14,1291,1298,1256,1263.06,3599578
2-May-14,1293,1296,1279,1286.13,3093024
1-May-14,1285,1565,1275.42,1286,1773104
30-Apr-14,1235,1274.13,1233,1274.13,5024795
29-Apr-14,1240,1255,1231,1236,4098211
28-Apr-14,1260,1270,1233,1235,3581958
25-Apr-14,1282,1295.68,1243,1260.06,4896535
24-Apr-14,1278,1282.39,1262,1274,2787531
23-Apr-14,1278,1279,1259,1272,2696100
22-Apr-14,1269,1283,1262,1274.87,3018041
17-Apr-14,1253,1265,1249,1262,3385563
16-Apr-14,1227,1247,1227,1245,3717187
15-Apr-14,1214,1227,1212,1218,4033342
14-Apr-14,1212,1220,1187,1218,3632827
11-Apr-14,1228,1235.89,1214,1219,3734162
10-Apr-14,1250,1252,1229,1242,3433531
9-Apr-14,1227,1252,1219,1241,3644564
8-Apr-14,1239,1241,1199,1219,4398123
7-Apr-14,1253,1261,1238,1240,3248093
4-Apr-14,1261,1270,1255,1261,3609972
3-Apr-14,1259,1270,1250,1259,3797762
2-Apr-14,1250,1255,1234,1252,3970952
1-Apr-14,1241,1255,1239,1244.19,5712031
31-Mar-14,1227,1252,1212,1236.94,6454724
28-Mar-14,1215,1221,1209,1215,2950852
27-Mar-14,1201,1216,1197,1209.94,3991208
26-Mar-14,1205,1213,1198.83,1201.88,3877429
25-Mar-14,1198,1208,1195,1203,3782992
24-Mar-14,1217,1220.21,1194,1198,3676329
21-Mar-14,1214,1222,1209,1218,6305845
20-Mar-14,1227,1228.92,1212,1218,3749710
19-Mar-14,1226,1241,1217,1238,3492137
18-Mar-14,1215,1234.92,1205,1229,4248464
17-Mar-14,1206,1229,1203,1223,3200086
14-Mar-14,1204,1215,1190,1207,4413650
13-Mar-14,1208,1235,1208,1209,4274534
12-Mar-14,1215,1236,1211,1231,4190550
11-Mar-14,1223,1232,1200,1228,4368339
10-Mar-14,1257,1260,1212,1221,6677940
7-Mar-14,1265,1271,1247,1257,3377540
6-Mar-14,1279,1285,1257,1257,4991341
5-Mar-14,1293,1293,1266,1269,3359786
4-Mar-14,1267,1298,1262,1289,4098773
3-Mar-14,1281,1287,1249,1253.87,6185553
28-Feb-14,1279,1318,1278,1308,6118313
27-Feb-14,1250,1290,1236,1285,9188268
26-Feb-14,1343,1345,1330,1331,2706542
25-Feb-14,1349,1353,1329,1343,4018446
24-Feb-14,1342,1349,1327,1349,2464367
21-Feb-14,1365,1370,1342,1343,2875793
20-Feb-14,1348,1357,1338,1357,1994513
19-Feb-14,1351,1363,1344,1357,1986568
18-Feb-14,1365,1367,1353,1358,2596200
17-Feb-14,1344,1363,1344,1360,1582315
14-Feb-14,1345,1351,1338,1346,2444740
13-Feb-14,1344,1348,1332,1343,3747573
12-Feb-14,1344,1351,1325,1351,3828433
11-Feb-14,1314,1336,1311,1334,3119005
10-Feb-14,1307,1311,1300,1307,2007233
7-Feb-14,1310,1314,1295,1302,2448576
6-Feb-14,1284,1302,1271,1300,3387238
5-Feb-14,1271,1286,1264,1272,2880676
4-Feb-14,1264,1284,1244,1267,4650395
3-Feb-14,1270,1284,1259,1265,3389033
31-Jan-14,1279,1291,1243,1277,3743765
30-Jan-14,1291,1291,1263,1274,3565605
29-Jan-14,1299,1314,1271,1287,3076172
28-Jan-14,1280,1299,1280,1291,3181733
27-Jan-14,1300,1304,1268,1272,3704541
24-Jan-14,1326,1332,1299,1300,3560851
23-Jan-14,1343,1344,1319,1320,2658446
22-Jan-14,1351,1364,1339,1343,1756983
21-Jan-14,1354,1366,1348,1350,2289065
20-Jan-14,1353,1363,1348,1353,1615690
17-Jan-14,1370,1374,1350,1353,2605464
16-Jan-14,1380,1386,1362,1365,1992637
15-Jan-14,1372,1391,1370,1383,2220344
14-Jan-14,1344,1364,1334,1364,2500641
13-Jan-14,1368,1371,1356,1359,1640615
10-Jan-14,1344,1370,1342,1364,2424940
9-Jan-14,1347,1363,1334,1335,1983409
8-Jan-14,1360,1360,1341,1345,2786882
7-Jan-14,1367,1371,1354,1367,1681774
6-Jan-14,1380,1385,1359,1361,2461888
3-Jan-14,1371,1385,1359,1382,1258545
2-Jan-14,1387,1391,1371,1371,1802847
31-Dec-13,1373,1382,1373,1380,347853
30-Dec-13,1382,1387,1369,1377,1021649
