Date,Open,High,Low,Close,Volume
27-May-14,2546,2608,2546,2604,572598
23-May-14,2521,2531,2509,2526,321665
22-May-14,2497,2531.07,2497,2522.87,311307
21-May-14,2508,2526,2496,2504.87,629387
20-May-14,2521,2561,2519,2520,502655
19-May-14,2516,2543,2492,2523,677593
16-May-14,2598,2609,2477,2514.87,1190219
15-May-14,2686,2701,2587,2597.87,558770
14-May-14,2693,2708,2688,2695,259368
13-May-14,2711,2724,2690,2696,276852
12-May-14,2668,2711,2666,2695.02,250629
9-May-14,2651,2668,2625,2665,278240
8-May-14,2644,2677,2633.05,2652,358379
7-May-14,2679,2692,2634,2638,563429
6-May-14,2659,2706,2656.05,2688,419514
2-May-14,2626,2674,2589,2654,561486
1-May-14,2821,2835.81,2559,2634,524015
30-Apr-14,2678,2700,2652,2690,506307
29-Apr-14,2713,2737,2701.78,2729,431723
28-Apr-14,2666,2700,2653,2700,425542
25-Apr-14,2649,2672,2640,2662,346148
24-Apr-14,2666,2733,2650,2663,786207
23-Apr-14,2628,2660,2620,2639.73,483864
22-Apr-14,2565,2641,2552,2627,568113
17-Apr-14,2543,2571,2532,2563,290125
16-Apr-14,2553,2581,2495.03,2535,776847
15-Apr-14,2528,2573,2528,2539,448795
14-Apr-14,2484,2535,2460,2535,432423
11-Apr-14,2537,2538,2474,2496,557485
10-Apr-14,2593,2603,2560,2567,497241
9-Apr-14,2552,2595,2546,2577.15,595378
8-Apr-14,2512,2550,2496,2544,611835
7-Apr-14,2515,2569.95,2510,2517,424440
4-Apr-14,2499,2553,2487.05,2511.1,480298
3-Apr-14,2530,2532,2491,2494,619739
2-Apr-14,2520,2536,2520,2524,1166384
1-Apr-14,2478,2541,2412,2506.68,3716238
31-Mar-14,2559,2574,2536,2536,568033
28-Mar-14,2531,2565,2529.88,2553,360816
27-Mar-14,2528,2540,2505,2525,346377
26-Mar-14,2511,2555,2507,2535,522815
25-Mar-14,2448,2518,2448,2513,607670
24-Mar-14,2440,2456,2413,2446,554424
21-Mar-14,2458,2482,2439.35,2440,693140
20-Mar-14,2451,2467,2430,2451,544324
19-Mar-14,2523,2523,2468,2468,680720
18-Mar-14,2500,2516,2492.05,2511,571474
17-Mar-14,2449,2517,2448,2506.04,509136
14-Mar-14,2418,2460,2408,2451,637694
13-Mar-14,2464,2481,2437,2437,476255
12-Mar-14,2494,2496,2447,2464,776465
11-Mar-14,2506,2538,2499,2504,741910
10-Mar-14,2530,2572,2502,2512,799066
7-Mar-14,2565,2575,2523,2528,784012
6-Mar-14,2563,2578,2527,2575,586238
5-Mar-14,2539,2567,2525,2549,715177
4-Mar-14,2524,2546,2514,2536,726041
3-Mar-14,2538,2549,2501,2505,1127961
28-Feb-14,2531,2586,2502,2567,833643
