Date,Open,High,Low,Close,Volume
27-May-14,4147,4226,4147,4198,409181
23-May-14,4145,4150,4104,4124,219804
22-May-14,4100,4161,4050,4149,521432
21-May-14,3989,4072,3972,4072,559532
20-May-14,3952,4033,3947.6,3993,365425
19-May-14,3925,3964,3889.1,3942,565255
16-May-14,4046,4057,3875,3921,649647
15-May-14,4163,4197,4005,4025.2,476098
14-May-14,4185,4197,4152,4160.21,273868
13-May-14,4187,4192,4150,4191,231018
12-May-14,4104,4169,4091,4167.21,331025
9-May-14,4109,4109,4074,4099,249575
8-May-14,4071,4110,4057,4100,472215
7-May-14,4080,4089,4041,4064.2,349825
6-May-14,4081,4135,4057,4080.2,408349
2-May-14,4080,4102,4052.16,4070,517790
1-May-14,4096,4990,4050.1,4069,199979
30-Apr-14,4076,4093,4018.22,4080,634751
29-Apr-14,4200,4200,4050,4081,537953
28-Apr-14,4048,4088,4018,4061,364288
25-Apr-14,4049,4069,4017,4046.2,259637
24-Apr-14,4078,4094,4029,4056,383655
23-Apr-14,4102,4108.37,4049,4072.41,308699
22-Apr-14,4060,4093,4036,4083,255327
17-Apr-14,3911,4061,3899,4055,473674
16-Apr-14,3889,3915,3839,3900,483033
15-Apr-14,3895,3956,3843,3846,584918
14-Apr-14,4005,4024.9,3829,3890,606547
11-Apr-14,4089,4101,4003,4030,329269
10-Apr-14,4151,4183,4102,4128,282019
9-Apr-14,4084,4141.85,4082,4129,402420
8-Apr-14,4166,4176.68,4028,4069,416235
7-Apr-14,4268,4282,4164,4165,260779
4-Apr-14,4211,4301,4194,4301,468226
3-Apr-14,4185,4220,4185,4200,344250
2-Apr-14,4238,4263,4178,4182,283387
1-Apr-14,4172,4234.64,4158,4227.64,290898
31-Mar-14,4236,4266.15,4156,4161.79,292739
28-Mar-14,4273,4307,4208,4223,314265
27-Mar-14,4204,4264,4185.2,4252.21,305764
26-Mar-14,4234,4266,4200,4219.42,294258
25-Mar-14,4168,4239,4160.1,4220,263390
24-Mar-14,4200,4204,4136,4156,234811
21-Mar-14,4216,4220,4166.15,4198,469038
20-Mar-14,4239,4239,4180,4220,336837
19-Mar-14,4322,4329,4269,4269,272461
18-Mar-14,4315,4342,4275,4310,352691
17-Mar-14,4244,4325,4244,4322,387503
14-Mar-14,4209,4248,4179,4234,447559
13-Mar-14,4305,4311,4232,4232,365389
12-Mar-14,4318,4319,4260,4290,319007
11-Mar-14,4349,4358,4312,4329,364083
10-Mar-14,4365,4402,4333,4345,341853
7-Mar-14,4384,4418,4354,4361,361488
6-Mar-14,4448,4456,4371,4372,342743
5-Mar-14,4417,4440,4403,4435,465240
4-Mar-14,4400,4405,4347,4399,629308
3-Mar-14,4449,4451,4361,4378,504766
28-Feb-14,4440,4498,4406,4487,592037
27-Feb-14,4316,4431,4250,4397,926267
26-Feb-14,4201,4208,4150,4191,267958
25-Feb-14,4197,4221,4153,4192,765344
24-Feb-14,4154,4179,4140,4178,401266
21-Feb-14,4172,4180,4139,4157,349419
20-Feb-14,4145,4166,4124,4157,362060
19-Feb-14,4178,4183,4140,4164,301526
18-Feb-14,4135,4221,4122,4197,521796
17-Feb-14,4077,4145,4077,4124,275562
14-Feb-14,4073,4083,4040,4077,303349
13-Feb-14,4036,4088,4011,4083,364613
12-Feb-14,4073,4090,4019,4035,520971
11-Feb-14,3974,4067,3967,4067,522173
10-Feb-14,3949,3970,3930,3970,611619
7-Feb-14,3833,3935,3833,3935,605794
6-Feb-14,3785,3836,3759,3817,440128
5-Feb-14,3744,3762,3718,3754,310643
4-Feb-14,3704,3753,3663,3742,323081
3-Feb-14,3745,3787,3707,3714,298565
31-Jan-14,3762,3780,3689,3751,542741
30-Jan-14,3762,3782,3733,3767,337552
29-Jan-14,3800,3810,3740,3771,474913
28-Jan-14,3769,3804,3753,3794,372901
27-Jan-14,3828,3832,3759,3759,496887
24-Jan-14,3904,3904,3798,3824,653766
23-Jan-14,3942,3975,3878,3910,422516
22-Jan-14,3949,3978,3916,3953,503969
21-Jan-14,3921,3941,3895,3926,399777
20-Jan-14,3944,3966,3919,3920,205615
17-Jan-14,3934,3995,3915,3951,528076
16-Jan-14,3976,3977,3921,3925,345706
15-Jan-14,3912,3989,3908,3976,398897
14-Jan-14,3871,3915,3864,3915,348554
13-Jan-14,3882,3909,3847,3891,280989
10-Jan-14,3873,3905,3842,3880,586610
9-Jan-14,3843,3894,3823,3884,514786
8-Jan-14,3836,3846,3824,3838,496583
7-Jan-14,3780,3836,3772,3836,503147
6-Jan-14,3739,3789,3717,3789,414916
3-Jan-14,3724,3755,3717,3744,272653
2-Jan-14,3761,3761,3711,3737,273085
31-Dec-13,3730,3761,3713,3751,171333
30-Dec-13,3724,3749,3720,3730,176986
27-Dec-13,3717,3735,3669,3730,171420
24-Dec-13,3679,3735,3670,3699,51567
23-Dec-13,3652,3704,3652,3704,145302
20-Dec-13,3620,3675,3596,3652,442297
19-Dec-13,3560,3614,3553,3613,429997
18-Dec-13,3550,3580,3542,3558.48,348624
17-Dec-13,3530,3561,3521,3539,226875
16-Dec-13,3486,3550,3486,3539,246052
13-Dec-13,3507,3509,3488,3499,356815
12-Dec-13,3492,3536,3481,3510,367351
11-Dec-13,3484,3545,3464,3510,300986
10-Dec-13,3546,3577,3419,3475,497870
9-Dec-13,3500,3534,3477,3525,499371
6-Dec-13,3539,3541,3483,3492,375917
5-Dec-13,3515,3556,3504,3546,317010
4-Dec-13,3537,3553,3507,3518,232601
3-Dec-13,3577,3583,3523,3523,346721
2-Dec-13,3571,3596,3552,3576,288479
29-Nov-13,3517,3600,3514,3567,342149
