Date,Open,High,Low,Close,Volume
27-May-14,338.3,343.3,337.51,342.1,3212893
23-May-14,338.9,339.7,332.3,335.52,2431007
22-May-14,335.1,339,333.7,337.62,2803245
21-May-14,326.7,335.7,325.4,334.42,2938018
20-May-14,330.6,331.28,325.5,326.02,2894413
19-May-14,328,331.99,322.6,331.4,3147768
16-May-14,337.2,339.8,324.9,325.22,6275558
15-May-14,347.3,348.3,332.5,336.42,5303504
14-May-14,349.5,350.8,345.5,348.02,2201826
13-May-14,354.1,354.7,347.9,349.1,2682718
12-May-14,352,354.2,351,352.4,1710905
9-May-14,351.1,352.1,348.5,350.9,2961466
8-May-14,348.9,351.02,347.72,350.9,3128242
7-May-14,349.9,351,347.9,348,4230108
6-May-14,355.6,357.9,349.3,349.7,3948735
2-May-14,361.7,362.7,354.8,355.6,3936856
1-May-14,358.1,364.5,357.32,360.6,2235118
30-Apr-14,338,365.9,334.8,354.7,11166345
29-Apr-14,348.6,351,345,347.2,3714363
28-Apr-14,342.2,350.7,339.68,348.1,6558025
25-Apr-14,332.9,342.8,332.9,340,6085255
24-Apr-14,335.9,337.08,329.7,333.1,3424994
23-Apr-14,334,337.5,331.6,335.1,3334431
22-Apr-14,322.4,335.6,321.2,332.4,4115568
17-Apr-14,317,322.5,314.52,322.1,4200890
16-Apr-14,322.8,328,320.1,320.7,2268121
15-Apr-14,321.4,324.7,319.6,320.3,2259722
14-Apr-14,323.1,324.58,319.06,322.1,2360354
11-Apr-14,327.4,327.84,322.6,323.8,1965165
10-Apr-14,332,333.1,327.9,330.4,3853516
9-Apr-14,331.8,333.8,329.8,331.9,3679678
8-Apr-14,340,341.08,330.2,330.6,3048237
7-Apr-14,341.2,342,338.2,340.1,2140502
4-Apr-14,346.9,347.28,343.4,344.7,3598914
3-Apr-14,345.3,346.9,343.7,346,2459599
2-Apr-14,342.3,347.4,340.5,345.9,3115847
1-Apr-14,342,343.9,341.1,342.05,1814173
31-Mar-14,343.3,345.1,340.1,341,3368033
28-Mar-14,347.8,349.2,342.5,342.7,1692107
27-Mar-14,347.6,347.87,344.2,346.7,2296603
26-Mar-14,345.5,351.2,345,348.7,6049379
25-Mar-14,335.2,340.4,334.2,339.3,3452931
24-Mar-14,337.2,338.44,330.9,335.9,4879961
21-Mar-14,346.5,347.42,337.56,339.1,4855326
20-Mar-14,348.8,349.78,339.9,346.6,6064340
19-Mar-14,376.8,382,340.6,351.5,13740403
18-Mar-14,374.2,379.3,372,377.2,2649181
17-Mar-14,375.6,378.7,373.4,376.4,2421380
14-Mar-14,376.5,378.2,372,375.8,2374962
13-Mar-14,381.8,385,379.1,379.9,3360587
12-Mar-14,374.4,384.3,373.2,381.4,5013880
11-Mar-14,375.1,378.9,370.3,376.1,2754634
10-Mar-14,378.2,383.1,373,373.9,3901084
7-Mar-14,386.7,387.9,375.7,377.7,3960399
6-Mar-14,390.8,392.8,385.4,385.9,3849944
5-Mar-14,397.6,397.6,385.4,387.8,4167714
4-Mar-14,380.7,397.7,380.7,397,5480300
3-Mar-14,391.8,392.6,376.3,378.5,5316933
28-Feb-14,380,398.5,378,397.6,7297439
27-Feb-14,372.8,377.1,369.8,374.8,2756019
26-Feb-14,377.4,379.9,368.4,374,3971969
25-Feb-14,373.3,377.4,366.6,377.3,5788567
24-Feb-14,356.2,371.4,355.6,371.4,4105930
21-Feb-14,356.2,357.6,351.7,357.4,3622463
20-Feb-14,352.4,356.2,349.2,356.2,5160364
19-Feb-14,345.6,346.2,344.4,345.8,3359698
18-Feb-14,348.3,348.3,345,346.2,2770682
17-Feb-14,348.8,348.8,344.8,346.9,2459119
14-Feb-14,348.1,348.9,347,347.1,2642845
13-Feb-14,347.1,350.9,344.2,347.2,3200512
12-Feb-14,354.1,356.4,352,353.3,3029936
11-Feb-14,343.7,354.4,343.7,353.1,5203356
10-Feb-14,347.5,348.9,341.3,343.2,2230575
7-Feb-14,345.9,349.2,345.2,347,2493210
6-Feb-14,344.6,345.8,339.9,345.6,4724887
5-Feb-14,334.4,343.9,333,343.9,4871753
4-Feb-14,334.6,339.5,333.6,334.7,3755712
3-Feb-14,331.6,339.5,331.4,337,3764644
31-Jan-14,328.7,332.4,320.9,332.4,4851509
30-Jan-14,329.5,333.1,328,329,4445092
29-Jan-14,342.1,345.4,329.2,330.5,5369237
28-Jan-14,337.1,342.7,336.5,341,3256705
27-Jan-14,337,339.9,334.4,336.9,3188668
24-Jan-14,344,346,334.9,336.9,3380207
23-Jan-14,340,344.5,340,342.8,5432818
22-Jan-14,355.2,356.5,338.5,341.6,6865878
21-Jan-14,363.9,363.9,352,355.4,4807388
20-Jan-14,359.5,363,358,362,2646920
17-Jan-14,380,381.8,359,360.1,11865096
16-Jan-14,375,380.8,370.7,372.7,4868150
15-Jan-14,372.1,373,366,372.6,3655633
14-Jan-14,377.9,378.9,371.8,372,3358457
13-Jan-14,383.4,383.6,378.2,380.7,3031320
10-Jan-14,371.5,383.5,371.5,382.6,3433329
9-Jan-14,380.7,384.7,367.3,371.1,13085025
8-Jan-14,411.3,412.4,399.7,399.8,3754752
7-Jan-14,405.8,410.2,403.4,410.2,3283546
6-Jan-14,402.7,406.4,400.1,404.6,1582337
3-Jan-14,398.8,406.1,398.8,404,1820473
2-Jan-14,401.4,401.9,396.2,398.3,1823952
31-Dec-13,399.4,401.9,397.5,401.9,972895
30-Dec-13,398.1,399.4,394.4,398.2,1470724
27-Dec-13,395,396,393.5,395.6,1064574
24-Dec-13,391,394.3,391,392.6,255150
23-Dec-13,384.4,390.4,382.5,390.3,1060840
20-Dec-13,390.5,390.8,382.6,384.5,4104132
19-Dec-13,376.4,391.2,376.4,391.2,3200238
18-Dec-13,371.3,376.8,370.5,375.6,2553408
17-Dec-13,372.1,373.9,370.6,372.5,1666924
16-Dec-13,368.4,374.1,367.8,373.4,1864728
13-Dec-13,372.1,373.6,370,370,1376396
12-Dec-13,373.6,375,369.4,372.4,1650195
