Date,Open,High,Low,Close,Volume
27-May-14,3359,3386,3333.83,3333.83,579726
23-May-14,3365,3388,3327,3344,527101
22-May-14,3328,3353,3303,3334.83,469701
21-May-14,3327,3345,3284,3325.83,553593
20-May-14,3335,3363,3333.83,3333.83,724214
19-May-14,3265,3317,3243,3315.83,680883
16-May-14,3326,3385.18,3201,3253,1185041
15-May-14,3425,3445,3311,3325.83,638570
14-May-14,3445,3445,3420,3433.83,292854
13-May-14,3420,3462,3411,3448,636329
12-May-14,3395,3400,3374,3400,523795
9-May-14,3390,3401,3382,3389,360313
8-May-14,3407,3417,3372,3396,594022
7-May-14,3432,3432,3380,3403,852246
6-May-14,3489,3523,3435,3437,620642
2-May-14,3461,3489,3448,3475,623736
1-May-14,3434,3464,3429,3451,300802
30-Apr-14,3377,3430,3362,3421,609764
29-Apr-14,3420,3434,3379,3390,683903
28-Apr-14,3431,3437.72,3397,3416,396273
25-Apr-14,3390,3427,3390,3425,693546
24-Apr-14,3440,3448,3378,3404,542349
23-Apr-14,3425,3436,3391,3417,1131920
22-Apr-14,3305,3364,3294.88,3361,609611
17-Apr-14,3252,3302,3247,3295,644065
16-Apr-14,3266,3278,3250,3260,379657
15-Apr-14,3263,3286,3234,3241,399663
14-Apr-14,3313,3320,3228,3260,738450
11-Apr-14,3328,3333,3292,3327,596677
10-Apr-14,3385,3399,3354,3370,432483
9-Apr-14,3401,3408.64,3368,3368,809638
8-Apr-14,3401,3410,3326,3386,699244
7-Apr-14,3500,3518,3401,3406,574164
4-Apr-14,3476,3533,3468,3531,864288
3-Apr-14,3447,3487,3429,3464,700589
2-Apr-14,3416,3459,3407,3443,647767
1-Apr-14,3425,3435.28,3394,3431,631824
31-Mar-14,3465,3480,3407,3411,717885
28-Mar-14,3448,3459.21,3421,3447,526085
27-Mar-14,3446,3454,3392,3434,598646
26-Mar-14,3430,3459,3419,3459,631524
25-Mar-14,3335,3471.59,3332,3412,923452
24-Mar-14,3369,3391,3300,3304,673365
21-Mar-14,3402,3422,3370,3392,848653
20-Mar-14,3417,3433,3377,3398,548808
19-Mar-14,3438,3448,3409,3436,522078
18-Mar-14,3376,3446,3369,3425,537087
17-Mar-14,3356,3385,3343,3384,625873
14-Mar-14,3307,3349,3295,3339,514623
13-Mar-14,3382,3396,3321,3325,435688
12-Mar-14,3395,3399,3357,3382,403713
11-Mar-14,3433,3438,3399,3410,440952
10-Mar-14,3441,3492,3418,3429,486960
7-Mar-14,3464,3500,3446,3451,538082
6-Mar-14,3495,3513,3458,3463,453141
5-Mar-14,3501,3518,3467,3487,626211
4-Mar-14,3470,3505,3445,3500,753670
3-Mar-14,3423,3454,3407,3443,443704
28-Feb-14,3485,3502,3461,3476,688067
27-Feb-14,3461,3486,3432,3480,911721
26-Feb-14,3404,3468,3387,3452,1049841
25-Feb-14,3385,3402,3352,3395,1445097
24-Feb-14,3356,3381,3330,3379,606119
21-Feb-14,3333,3369,3317,3360,702071
20-Feb-14,3344,3344,3283,3317,880364
19-Feb-14,3362,3384,3344,3370,543540
18-Feb-14,3355,3372,3324,3371,641559
17-Feb-14,3315,3347,3315,3345,399620
14-Feb-14,3297,3335,3289,3324,579567
13-Feb-14,3326,3341,3264,3281,831459
12-Feb-14,3360,3381,3329,3338,534999
11-Feb-14,3338,3348,3306,3344,954401
10-Feb-14,3350,3351,3322,3328,392657
7-Feb-14,3316,3358,3309,3342,565670
6-Feb-14,3246,3305,3223,3294,688392
5-Feb-14,3248,3272,3222,3225,537673
4-Feb-14,3243,3286,3223,3258,484146
3-Feb-14,3281,3323,3251,3272,558355
31-Jan-14,3308,3319,3231,3282,650528
30-Jan-14,3332,3337,3276,3314,427633
29-Jan-14,3349,3379,3279,3333,882661
28-Jan-14,3320,3335,3303,3315,697868
27-Jan-14,3334,3347,3291,3300,688243
24-Jan-14,3419,3444,3325,3331,549232
23-Jan-14,3475,3505,3400,3411,674024
22-Jan-14,3494,3499,3460,3478,743145
21-Jan-14,3496,3522,3486,3515,440360
20-Jan-14,3475,3507,3471,3486,250320
17-Jan-14,3501,3508,3467,3467,856990
16-Jan-14,3524,3537,3482,3492,644926
15-Jan-14,3488,3529,3465,3529,568215
14-Jan-14,3427,3482,3400,3476,394151
13-Jan-14,3428,3474,3427,3466,315827
10-Jan-14,3407,3444,3406,3429,496437
9-Jan-14,3400,3443,3302,3402,829403
8-Jan-14,3487,3493,3432,3440,445503
7-Jan-14,3454,3497,3434,3490,457775
6-Jan-14,3456,3480,3439,3442,570987
3-Jan-14,3444,3474,3403,3462,386175
2-Jan-14,3442,3490,3400,3453,638939
31-Dec-13,3431,3444,3405,3425,118685
30-Dec-13,3407,3432,3400,3420,358190
27-Dec-13,3376,3415,3365,3413,338958
24-Dec-13,3374,3406,3364,3366,55211
23-Dec-13,3342,3377,3320,3377,231711
20-Dec-13,3332,3357,3308,3343,650797
19-Dec-13,3307,3330,3297,3325,708952
18-Dec-13,3225,3286,3215,3265,886525
17-Dec-13,3218,3222,3195,3216,669121
16-Dec-13,3121,3207,3117,3206,523475
13-Dec-13,3120,3161,3102,3126,361821
