Date,Open,High,Low,Close,Volume
27-May-14,764.00,776.50,761.50,772.00,575997
23-May-14,765.50,771.00,754.50,768.46,528540
22-May-14,764.00,774.00,753.00,760.96,732999
21-May-14,751.50,769.50,751.50,764.96,586285
20-May-14,743.50,759.50,739.00,753.46,711041
19-May-14,746.50,758.50,741.50,745.00,660065
16-May-14,748.00,754.50,728.00,746.00,979834
15-May-14,778.50,784.50,747.50,748.50,666971
14-May-14,792.50,801.00,770.50,774.50,769858
13-May-14,780.00,785.50,762.50,769.50,594770
12-May-14,771.50,788.50,767.50,779.50,674755
9-May-14,801.00,801.00,764.50,770.00,1028527
8-May-14,804.00,806.00,799.00,806.00,446392
7-May-14,794.00,806.50,785.00,800.00,706430
6-May-14,796.00,798.00,783.00,797.00,594091
2-May-14,783.00,797.50,767.20,795.00,629024
1-May-14,782.50,789.00,775.00,775.00,209922
30-Apr-14,813.00,813.00,780.00,783.50,775589
29-Apr-14,800.00,813.50,795.50,800.12,973494
28-Apr-14,788.00,796.00,788.00,792.00,479750
25-Apr-14,786.00,793.00,779.00,791.50,659679
24-Apr-14,777.50,796.00,773.00,790.50,551422
23-Apr-14,772.00,773.50,764.50,772.50,352055
22-Apr-14,761.00,777.00,758.50,772.50,457323
17-Apr-14,745.50,761.00,737.50,756.00,391954
16-Apr-14,749.50,753.00,742.50,745.00,505375
15-Apr-14,746.50,750.35,737.00,740.50,504684
14-Apr-14,743.50,750.50,732.00,747.50,478835
11-Apr-14,755.00,758.50,734.36,747.00,532204
10-Apr-14,767.00,774.70,759.00,763.00,390467
9-Apr-14,759.50,768.66,759.00,762.50,540252
8-Apr-14,779.50,784.00,757.10,765.00,772476
7-Apr-14,787.50,789.50,773.96,785.00,622278
4-Apr-14,763.00,795.00,763.00,794.50,597141
3-Apr-14,767.50,767.50,758.50,761.00,364227
2-Apr-14,761.50,769.50,759.00,765.50,640281
1-Apr-14,770.50,779.00,760.00,761.75,471963
